Uniprot_AC	nb_obs
Q5MIZ7	7
P30613	24
Q5H9L2	14
P20930	6
P20933	26
P20936	21
Q8TBF2	14
P23919	35
Q8NHX9	1
Q6ZNW5	5
Q9C0H2	2
P40616	49
Q9C0H6	8
Q00535	18
Q00534	3
Q07960	150
Q9NXR7	11
O00712	6
Q9UBM1	1
Q9UBM7	35
Q13835	3
P40424	1
P40429	14
Q13838	67
Q9H2I8	9
P03891	4
P48960	1
Q9H6Q4	3
P02768	7860
P05386	10
P05387	15
P02760	67
P05388	66
P02765	45
P02766	112
Q9UJ70	61
Q9UQ03	2
Q15165	78
O15254	4
O15258	52
P29401	435
Q86XA9	8
P39023	31
Q01118	2
Q96CS3	23
Q5W111	3
P62807	114
P62805	156
Q92835	5
Q4G0I0	5
Q9BVC4	4
Q9BZG1	38
Q9BVC6	24
Q9NWM8	1
Q09161	29
Q09160	49
P09001	5
P53708	10
P60520	13
P53701	6
Q14568	369
Q02094	1
Q86TG7	57
Q8NFQ8	33
Q6P1A2	17
Q9H115	43
P41218	10
P41219	61
P41214	5
Q86VY4	1
Q92520	8
Q92523	6
Q92522	9
Q7L8L6	5
Q02878	35
P27449	5
P27448	2
Q96HA9	2
Q96HA8	1
O75165	99
O75167	2
Q96G23	23
Q5VZL5	1
P06865	60
Q9BWU0	1
Q9BWU1	1
Q13232	36
H0YIV9	6
Q9Y3X0	2
Q6UW02	36
P23743	5
Q8WUF8	1
Q8WUF5	1
O00244	1
P48147	76
Q99519	23
Q9BQG0	14
Q4VC31	8
Q6PL24	3
Q96RU3	2
Q96RU2	2
Q6VMQ6	2
Q9NYU1	23
Q9NYU2	222
Q96DR5	2
A4D1P6	15
P55145	29
P50395	223
Q9Y5A7	10
Q13643	5
Q9Y5A9	10
P40306	7
Q6XQN6	35
Q02127	19
Q96CN9	14
Q6ZRV2	1
Q96CN7	37
Q5RKV6	10
P10645	287
P10644	74
P48556	30
P45877	8
O15067	64
O15066	8
P60891	66
Q9H6R3	59
Q9NZM3	16
P07099	811
Q9NZM1	88
P02549	110
Q14CS0	1
A6NNZ2	262
Q8N5G2	5
Q8N5G0	3
Q9Y291	3
Q9Y296	22
Q9Y294	2
Q9Y295	18
H3BPE1	359
Q9NUQ3	2
P30281	1
P49790	6
P49792	86
P51116	19
P51114	23
Q9H7L9	1
Q587I9	2
Q9Y2T4	4
O60547	6
Q6NUQ1	13
Q9Y2T3	3
Q9Y2T2	27
J3KPV7	77
Q9P0L0	85
P31483	7
Q32MZ4	39
P03897	1
Q92738	1
O75420	2
P35250	1
Q08170	12
O75427	9
Q8IY17	29
Q8IY18	1
Q92733	1
Q92734	27
Q9H773	2
H0YBC6	6
Q00765	29
Q5T5P2	13
O00505	19
O00501	1
E3W994	9
Q8N2R8	1
P01009	964
P01008	160
Q01581	60
P02763	218
Q9BXB4	8
Q8IYD1	30
O75391	3
O75390	234
O75396	101
O75394	2
Q8IVD9	8
Q8WVD5	1
P46019	10
Q9BSD7	18
O94979	144
P42773	5
P42771	1
O94973	129
O60921	1
H0YAC1	30
Q8WXH0	24
Q8TC07	32
Q9NXE4	1
P28838	127
Q9UGC7	1
P62633	27
Q9UI09	13
J3KS54	24
Q5M8T2	1
A2RUS2	2
P22760	79
P19447	2
Q96LZ7	44
Q96LZ3	3
Q16512	16
Q16513	46
Q14005	2
Q9H3P7	30
Q8TDX7	23
Q9BUV8	1
Q9BTC0	1
Q8NCW5	43
Q9NUT2	14
Q6Y288	5
Q9HA77	44
O43325	7
O43324	31
O14933	10
P04839	9
P49406	13
Q7Z7F7	3
P56937	25
Q3SY17	1
Q9Y2K6	1
Q9Y2K7	1
Q9UHY1	12
Q9UHY7	34
O14681	2
O14683	1
O14686	1
Q9UNE7	37
Q9H0S4	1
A8MTT3	1
Q86SZ2	20
Q7Z2T5	10
Q9BYM8	1
P50895	44
P50897	81
Q63HM9	17
P35240	4
Q63HM1	1
O95757	91
Q8WWC4	8
O95758	4
Q9BWH6	3
Q9BWH2	20
Q6YP21	31
O75439	43
Q10589	7
Q10588	3
Q68DK2	2
Q96J42	2
O00267	28
O00264	316
P08865	107
P33947	7
Q9H2K0	11
Q9H2K8	11
Q9NQ55	2
Q9NQ50	4
P56557	2
P56556	21
O95340	131
O95347	1
Q13190	7
Q9H0Q0	20
P60174	614
Q96HJ9	8
P43234	1
Q9NQH7	25
Q12982	1
Q12981	2
Q9Y608	5
P29466	5
Q9Y606	16
Q8N6M3	8
P28482	72
P28332	2
P28330	1
P28331	104
P62829	24
P62820	127
Q5XPI4	13
P62826	122
P18615	1
Q5BKZ1	7
P51858	157
P02743	107
P02741	39
P02747	26
P02746	36
P02745	12
Q9Y6G5	9
Q9BZE1	4
P02748	99
Q9BZE4	11
P01210	5
O95967	1
Q9UKX7	3
Q9UKX3	22
A6NCE7	5
P43490	102
Q9H1U4	1
Q9Y6E2	6
P35625	9
Q9UHD9	35
Q14571	23
Q9UHD2	34
Q9UHD1	21
Q7Z5G4	5
Q92508	3
Q92506	30
Q92504	5
Q92503	3
P08195	15
P17480	11
P0CB43	7
Q96HC4	104
Q13214	13
Q13217	31
Q9H237	5
Q71DI3	26
Q99685	18
Q99683	67
P63010	172
Q13449	1
Q96BR5	4
Q6UW68	38
Q15746	117
Q96BR9	1
Q86X76	53
Q6ZSJ8	2
O15438	117
Q9BQE9	1
Q9NYK5	5
Q99538	15
Q99536	534
Q9BQE3	835
Q9BQE4	2
Q9BQE5	12
P11086	31
P41091	49
Q96RS6	8
P40855	21
Q9NS69	42
Q9NX18	5
Q9NX14	6
P16190	71
Q16891	162
Q16890	56
P13489	104
Q9H6L2	1
Q9HD34	21
Q14839	71
Q9HD33	7
O14745	85
O14744	38
Q9P2D3	8
P16444	3
P22413	24
P15259	83
P50402	27
P55160	27
P10599	50
Q14566	2
Q9BR61	1
Q5JTH9	19
Q96C01	1
Q9P2P6	2
Q969X6	1
Q969X5	48
O60830	3
O60831	12
O60832	13
Q00169	47
Q9Y2V7	8
Q12874	26
Q9Y2V2	30
Q9P0J0	17
Q9P0J1	32
Q9P0J7	2
P29144	81
Q8NBJ7	47
Q8NBJ5	17
Q8NBJ4	21
O75400	14
P01024	1209
P01023	793
P17677	13
P17900	23
Q9Y4D8	3
Q9BRQ6	16
P43003	1
Q92974	4
P43007	12
Q6AI08	4
Q9H2P0	4
Q92979	6
Q99942	3
Q99943	3
Q9BSF4	5
Q5RI15	20
Q66LE6	11
Q96JJ3	18
Q96JJ7	10
Q9UI26	19
P04179	269
Q7Z6J4	1
Q05397	34
Q14249	14
Q14247	79
Q5VTQ0	1
Q14240	112
Q14241	1
Q8IWX8	10
P24928	22
P15735	5
P07858	120
Q96SQ9	1
Q86YB7	32
O94952	5
Q14790	2
Q14061	12
P16298	10
Q68E01	22
Q96EV2	2
Q9GZR7	16
P15088	3
Q16795	58
Q16798	10
Q16799	12
P62280	34
P25786	69
P25787	86
P25788	46
P25789	59
O60220	5
O60229	1
Q8IZH2	19
P13591	140
P67936	287
P11413	121
Q9BUT1	71
P63220	4
P11142	830
Q86SX6	37
Q16134	95
Q8TBB5	1
P80404	28
G5E9V5	30
Q96GK7	33
Q2M3D2	6
O95777	3
Q13564	36
O95772	3
Q13561	52
Q9BWJ5	2
P01909	15
Q9Y279	4
O00203	121
P01903	50
Q9H2M9	69
Q96G28	1
Q96AQ8	1
O95365	2
O95361	6
Q96AQ6	46
O95363	5
Q9Y624	9
Q9BV79	14
P07686	104
Q00577	30
Q12965	9
Q9NXV6	4
Q96CW5	7
Q9P253	43
P62841	17
P62847	14
Q01628	15
Q01629	15
Q9P258	13
P09228	3
Q9Y6Y8	58
Q9GZM8	3
Q9UKV8	41
