Uniprot_AC	nb_obs
M0QYE9	36
O00625	1
Q9NQ79	890
O00622	3
P34998	3
P13073	1
Q9NQ76	1
Q9H0E2	2
P60880	18
P40227	6
P20933	110
P13693	13
O15075	2
O15072	4
Q9NZL4	1
P16435	3
Q86SJ6	2
Q9NZL9	2
Q13724	2
P59665	9
Q9UHA4	2
Q9P2K2	1
P09326	1
Q96J84	2
Q8N5F7	1
Q9BUF5	118
Q9C0H9	1
P51674	15
Q9BZQ8	2
Q6UXI7	4
O00244	9
Q9UP79	51
O00241	65
P0C0S8	83
Q9H8L6	54
P0C0S5	46
Q9UBM7	1
Q6UXI9	7
Q13835	13
P07711	127
O43597	1
Q5IJ48	25
P17050	38
Q13011	2
P40429	3
P13747	14
P13746	70
Q8TDF5	6
P38571	8
P48960	3
P49788	2
P58400	156
P02768	74888
P04259	1338
P05387	4
P02760	1271
P05388	4
P62979	225
P02765	3761
Q6UW49	2
P02766	8366
Q7L266	11
P27930	2
Q9UJ70	1
P20618	8
Q15166	34
Q7Z4H8	1
P52272	4
P09172	34
P01702	9
P01703	26
P01700	36
P01701	11
Q08188	26
P01707	7
Q15366	10
P01708	12
Q15365	20
O95292	8
P29401	55
Q9UMS4	4
O43915	2
P35247	6
P02745	50
Q8IY22	1
Q2VWP7	1
O75439	1
P35249	4
P43034	9
Q9NVP1	1
P10319	58
A6NDG6	2
Q96CS7	2
Q6ZVX7	2
Q8NBI3	9
P62805	197
Q8NBI6	45
P10316	59
O60613	11
Q9UKL0	1
Q92832	15
P17931	13
P17936	63
Q4G0I0	6
P06280	11
P13284	15
Q8TAL6	4
Q86T13	9
P01019	9909
Q9BZG9	233
Q9H1C7	6
Q8N2S1	273
P01011	7548
P01236	16
P48643	6
O43570	2
Q09160	30
P08195	123
Q96FV2	1
O95965	57
P60520	11
Q5MNZ6	1
Q8TE99	1
P30990	3
Q9Y4G6	4
Q8TCZ2	196
F5GYI5	16
P23229	1
P58658	1
Q9P1W3	1
Q14563	25
Q14566	3
P62714	3
P18075	9
P20039	20
Q15185	1
Q15181	2
Q66K79	5
P20036	7
Q9UHF0	5
Q9NPF0	6
P25774	37
Q9NPF2	2
P53680	1
B7WNR0	56622
P41217	36
Q2TAY7	1
Q92520	630
O43240	10
O43790	37
O75093	4
O75094	11
O75095	10
O75096	11
P50897	22
Q9UPN9	1
P28827	29
Q562R1	129
Q14108	1
Q9NUQ9	28
P68402	3
Q02878	9
O43424	3
O60704	3
Q641Q3	26
P16152	89
Q16851	2
P15927	1
Q16853	10
P99999	33
P54762	5
P54760	1
P06865	171
P54764	513
O75367	4
P26641	8
Q13232	13
P56817	16
Q13231	75
O75368	43
O75369	7
P26885	12
