NX_A0A075B6H9	ENSG00000211637
NX_A0A075B6I0	ENSG00000211638
NX_A0A075B6I1	ENSG00000211639
NX_A0A075B6I4	ENSG00000211642
NX_A0A075B6I9	ENSG00000211649
NX_A0A075B6J1	ENSG00000211654
NX_A0A075B6J6	ENSG00000211661
NX_A0A075B6J9	ENSG00000211664
NX_A0A075B6K0	ENSG00000211665
NX_A0A075B6K2	ENSG00000211667
NX_A0A075B6K4	ENSG00000211669
NX_A0A075B6K6	ENSG00000211672
NX_A0A075B6P5	ENSG00000244116
NX_A0A075B6Q5	ENSG00000223648
NX_A0A075B6R2	ENSG00000276775
NX_A0A075B6S2	ENSG00000243264
NX_A0A075B6S4	ENSG00000242766
NX_A0A075B6S5	ENSG00000244575
NX_A0A075B6S6	ENSG00000239571
NX_A0A075B759	ENSG00000271567
NX_A0A087WSX0	ENSG00000211650
NX_A0A087WSY6	ENSG00000224041
NX_A0A087WSZ0	ENSG00000239819
NX_A0A087WTH1	ENSG00000281991
NX_A0A087WTH5	ENSG00000276289
NX_A0A087WUL8	ENSG00000271383
NX_A0A087WVF3	ENSG00000274419
NX_A0A087WW87	ENSG00000273962
NX_A0A087WXM9	ENSG00000239642
NX_A0A087WXS9	ENSG00000274933
NX_A0A087X179	ENSG00000278599
NX_A0A087X1C5	ENSG00000205702
NX_A0A087X1G2	ENSG00000273513
NX_A0A096LP49	ENSG00000260220
NX_A0A096LP55	ENSG00000233954
NX_A0A096LPI5	ENSG00000279968
NX_A0A0A0MRZ7	ENSG00000211623
NX_A0A0A0MRZ8	ENSG00000211632
NX_A0A0A0MRZ9	ENSG00000211643
NX_A0A0A0MS14	ENSG00000211961
NX_A0A0A0MS15	ENSG00000211965
NX_A0A0A0MT36	ENSG00000225523
NX_A0A0B4J1U3	ENSG00000211655
NX_A0A0B4J1U7	ENSG00000211933
NX_A0A0B4J1V0	ENSG00000211943
NX_A0A0B4J1V1	ENSG00000211947
NX_A0A0B4J1V2	ENSG00000211951
NX_A0A0B4J1V6	ENSG00000211976
NX_A0A0B4J1X5	ENSG00000224650
NX_A0A0B4J1X8	ENSG00000232216
NX_A0A0B4J1Y8	ENSG00000223350
NX_A0A0B4J1Y9	ENSG00000225698
NX_A0A0B4J1Z2	ENSG00000242580
NX_A0A0B4J2A2	ENSG00000263464
NX_A0A0B4J2D9	ENSG00000276566
NX_A0A0B4J2F0	ENSG00000225973
NX_A0A0C4DH24	ENSG00000211611
NX_A0A0C4DH25	ENSG00000211625
NX_A0A0C4DH29	ENSG00000211935
NX_A0A0C4DH31	ENSG00000211945
NX_A0A0C4DH33	ENSG00000211950
NX_A0A0C4DH34	ENSG00000211952
NX_A0A0C4DH38	ENSG00000211966
NX_A0A0C4DH39	ENSG00000211968
NX_A0A0C4DH41	ENSG00000211970
NX_A0A0C4DH42	ENSG00000211972
