NX_A0A183 	IPI00807623
NX_A0A5B9 	IPI00956572
NX_A0AUZ9 	IPI00396341
NX_A0AUZ9 	IPI00884975
NX_A0AUZ9 	IPI00884987
NX_A0AUZ9 	IPI00885003
NX_A0AV02 	IPI00793608
NX_A0AV02 	IPI00855723
NX_A0AV02 	IPI00867607
NX_A0AV02 	IPI00867726
NX_A0AV02 	IPI00867740
NX_A0AV96 	IPI00005042
NX_A0AV96 	IPI00169342
NX_A0AVF1 	IPI00328172
NX_A0AVF1 	IPI00921448
NX_A0AVF1 	IPI00946826
NX_A0AVI2 	IPI00738284
NX_A0AVI2 	IPI00883989
NX_A0AVI2 	IPI00941524
NX_A0AVI4 	IPI00305609
NX_A0AVI4 	IPI00783798
NX_A0AVK6 	IPI00296318
NX_A0AVT1 	IPI00023647
NX_A0AVT1 	IPI00827491
NX_A0AVT1 	IPI00827864
NX_A0AVT1 	IPI00828006
NX_A0FGR8 	IPI00409635
NX_A0FGR8 	IPI00827663
NX_A0FGR8 	IPI00827794
NX_A0FGR8 	IPI00827920
NX_A0FGR8 	IPI00953221
NX_A0FGR9 	IPI00646453
NX_A0FGR9 	IPI00784300
NX_A0JLT2 	IPI00185518
NX_A0JLT2 	IPI00217978
NX_A0JNW5 	IPI00157895
NX_A0JNW5 	IPI00479669
NX_A0M8Q6 	IPI00642632
NX_A0MZ66 	IPI00448751
NX_A0MZ66 	IPI00854567
NX_A0MZ66 	IPI00854700
NX_A0MZ66 	IPI00854856
NX_A0MZ66 	IPI00921857
NX_A0MZ66 	IPI00921922
NX_A0MZ66 	IPI00922178
NX_A0PG75 	IPI00374235
NX_A0PJE2 	IPI00003025
NX_A0PJE2 	IPI00062441
NX_A0PJE2 	IPI00877089
NX_A0PJK1 	IPI00217554
NX_A0PJK1 	IPI00441079
NX_A0PJK1 	IPI00791625
NX_A0PJK1 	IPI00873252
NX_A0PJK1 	IPI00888822
NX_A0PJW6 	IPI00456888
NX_A0PJW8 	IPI00012682
NX_A0PJX0 	IPI00046468
NX_A0PJX2 	IPI00552055
NX_A0PJX4 	IPI00455600
NX_A0PJX8 	IPI00174997
NX_A0PJY2 	IPI00376675
NX_A0PJY2 	IPI00816263
NX_A0PJY2 	IPI00852828
NX_A0PJZ0 	IPI00455358
NX_A0PJZ3 	IPI00374227
NX_A0PK00 	IPI00815976
NX_A0PK05 	IPI00783225
NX_A0PK05 	IPI00884963
NX_A0PK11 	IPI00415041
NX_A0ZSE6 	IPI00787365
NX_A1A4F0 	IPI00455588
NX_A1A4F0 	IPI00788855
NX_A1A4F0 	IPI00908820
NX_A1A4F0 	IPI00983671
NX_A1A4S6 	IPI00290332
NX_A1A4T8 	IPI00401424
NX_A1A4T8 	IPI00854603
NX_A1A4V9 	IPI00787135
NX_A1A4V9 	IPI00885135
NX_A1A4V9 	IPI00885184
NX_A1A4V9 	IPI01009897
NX_A1A4Y4 	IPI00235330
NX_A1A519 	IPI00217198
NX_A1A519 	IPI00384045
NX_A1A519 	IPI00470952
NX_A1A519 	IPI00887622
NX_A1A580 	IPI00373962
NX_A1A5B4 	IPI00152780
NX_A1A5B4 	IPI00922125
NX_A1A5B4 	IPI00922523
NX_A1A5C7 	IPI00217176
NX_A1A5C7 	IPI00789245
NX_A1A5C7 	IPI00868919
NX_A1A5C7 	IPI00868990
NX_A1A5D9 	IPI00095032
NX_A1A5D9 	IPI00783304
NX_A1E959 	IPI00152784
NX_A1IGU5 	IPI00374285
NX_A1KXE4 	IPI00434875
NX_A1KXE4 	IPI00556592
NX_A1KZ92 	IPI00065049
NX_A1KZ92 	IPI00890814
NX_A1L020 	IPI00385217
NX_A1L0T0 	IPI00554541
NX_A1L0T0 	IPI01017876
NX_A1L157 	IPI00457075
NX_A1L162 	IPI01011080
NX_A1L167 	IPI00740385
NX_A1L168 	IPI00783496
NX_A1L170 	IPI00401682
NX_A1L170 	IPI01008902
NX_A1L188 	IPI00807537
NX_A1L190 	IPI00879804
NX_A1L1A6 	IPI00893880
NX_A1L390 	IPI00291711
NX_A1L390 	IPI00867518
NX_A1L390 	IPI00867678
NX_A1L3X0 	IPI00783761
NX_A1L3X4 	IPI00329471
NX_A1L429 	IPI00641015
NX_A1L443 	IPI00847848
NX_A1L453 	IPI00337614
NX_A1L4H1 	IPI00946928
NX_A1L4H1 	IPI00979213
NX_A1L4K1 	IPI00175833
NX_A1L4L8 	IPI00076612
NX_A1L4Q6 	IPI00419182
NX_A1X283 	IPI00023832
NX_A1XBS5 	IPI00064716
NX_A1XBS5 	IPI00167542
NX_A1XBS5 	IPI00845249
NX_A1XBS5 	IPI00845312
NX_A1XBS5 	IPI00852694
NX_A1YPR0 	IPI00719277
NX_A1Z1Q3 	IPI00827557
NX_A1Z1Q3 	IPI00856020
NX_A1Z1Q3 	IPI00893415
NX_A1Z1Q3 	IPI00910543
NX_A1Z1Q3 	IPI00914986
NX_A2A288 	IPI00854887
NX_A2A288 	IPI00943634
NX_A2A288 	IPI01009660
NX_A2A2V5 	IPI00296579
NX_A2A2Y4 	IPI00184358
NX_A2A2Y4 	IPI00217088
NX_A2A2Y4 	IPI00642471
NX_A2A2Y4 	IPI00657701
NX_A2A2Y4 	IPI00885145
NX_A2A2Z9 	IPI00852758
NX_A2A368 	IPI00738845
NX_A2A3K4 	IPI00376989
NX_A2A3K4 	IPI00419863
NX_A2A3L6 	IPI00657961
NX_A2A3N6 	IPI00419692
NX_A2AJT9 	IPI00166305
NX_A2AJT9 	IPI00477909
NX_A2AJT9 	IPI00746281
NX_A2CJ06 	IPI00827799
NX_A2IDD5 	IPI00216820
NX_A2IDD5 	IPI00418718
NX_A2IDD5 	IPI00640123
NX_A2IDD5 	IPI00640899
NX_A2IDD5 	IPI00641470
NX_A2IDD5 	IPI00847993
NX_A2PYH4 	IPI00374013
NX_A2PYH4 	IPI00852603
NX_A2RRD8 	IPI00413972
NX_A2RRH5 	IPI00867634
NX_A2RRH5 	IPI00902979
NX_A2RRH5 	IPI00908536
NX_A2RRH5 	IPI01008842
NX_A2RRL7 	IPI00927678
NX_A2RRL7 	IPI00927889
NX_A2RRL7 	IPI00940418
NX_A2RRL7 	IPI01010906
NX_A2RRP1 	IPI00333913
NX_A2RRP1 	IPI00847551
NX_A2RTX5 	IPI00328082
NX_A2RTX5 	IPI00892711
NX_A2RTY3 	IPI00065287
NX_A2RTY3 	IPI00384289
NX_A2RTY3 	IPI00910439
NX_A2RTY3 	IPI00922651
NX_A2RTY3 	IPI00922721
NX_A2RU14 	IPI00150515
NX_A2RU30 	IPI00853247
NX_A2RU30 	IPI00878268
NX_A2RU30 	IPI00879386
NX_A2RU37 	IPI00418866
NX_A2RU48 	IPI00168012
NX_A2RU49 	IPI00418966
NX_A2RU49 	IPI00783749
NX_A2RU49 	IPI00884281
NX_A2RU54 	IPI00398900
NX_A2RU67 	IPI00375879
NX_A2RUB1 	IPI00173449
NX_A2RUB1 	IPI00744856
NX_A2RUB1 	IPI00917217
NX_A2RUB1 	IPI00917572
NX_A2RUB6 	IPI00178568
NX_A2RUB6 	IPI00884155
NX_A2RUB6 	IPI00915755
NX_A2RUB6 	IPI00927406
NX_A2RUC4 	IPI00181373
NX_A2RUC4 	IPI00872995
NX_A2RUG3 	IPI00848083
NX_A2RUH7 	IPI00258522
NX_A2RUQ5 	IPI00410523
NX_A2RUR9 	IPI00334492
NX_A2RUR9 	IPI00479279
NX_A2RUR9 	IPI01009978
NX_A2RUS2 	IPI00442078
NX_A2RUS2 	IPI00448616
NX_A2RUS2 	IPI00856077
NX_A2RUS2 	IPI00981524
NX_A2RUT3 	IPI00455573
NX_A2RUU4 	IPI00796447
NX_A2VCK2 	IPI00739883
NX_A2VCL2 	IPI00151980
NX_A2VCL2 	IPI00868927
NX_A2VCL2 	IPI00982812
NX_A2VDF0 	IPI00815895
NX_A2VDF0 	IPI00845372
NX_A2VDJ0 	IPI00021671
NX_A2VDJ0 	IPI00384634
NX_A2VDJ0 	IPI00889612
NX_A2VDJ0 	IPI00936363
NX_A2VEC9 	IPI00446753
NX_A2VEC9 	IPI00843797
NX_A3KFT3 	IPI00183993
NX_A3KMH1 	IPI00158296
NX_A3KMH1 	IPI00376322
NX_A3KMH1 	IPI00900366
NX_A3KN83 	IPI00023649
NX_A3KN83 	IPI00879053
NX_A3KN83 	IPI00879170
NX_A3KN83 	IPI00879441
NX_A3QJZ6 	IPI00855983
NX_A4D0S4 	IPI00295437
NX_A4D0S4 	IPI00852842
NX_A4D0S4 	IPI00927194
NX_A4D0T2 	IPI00086419
NX_A4D0T7 	IPI00844352
NX_A4D0T7 	IPI00903087
NX_A4D0V7 	IPI00290995
NX_A4D0V7 	IPI00412991
NX_A4D0Y5 	IPI00081562
NX_A4D126 	IPI00894461
NX_A4D161 	IPI00395803
NX_A4D161 	IPI00852812
NX_A4D161 	IPI00853231
NX_A4D174 	IPI00807649
NX_A4D1B5 	IPI00871629
NX_A4D1B5 	IPI00893006
NX_A4D1B5 	IPI00894268
NX_A4D1B5 	IPI01013779
NX_A4D1E1 	IPI00328308
NX_A4D1E9 	IPI00167638
NX_A4D1E9 	IPI00217526
NX_A4D1E9 	IPI00552355
NX_A4D1F6 	IPI00887636
NX_A4D1F6 	IPI00935774
NX_A4D1N5 	IPI00167349
NX_A4D1P6 	IPI00302965
NX_A4D1P6 	IPI00477281
NX_A4D1P6 	IPI00879760
NX_A4D1S0 	IPI00394851
NX_A4D1S0 	IPI00719758
NX_A4D1S5 	IPI00478209
NX_A4D1S5 	IPI00923598
NX_A4D1T9 	IPI00555974
NX_A4D1U4 	IPI00401193
NX_A4D1Z8 	IPI00455031
NX_A4D250 	IPI01022128
NX_A4D256 	IPI00402094
NX_A4D263 	IPI00887869
NX_A4D2B0 	IPI00926544
