NX_A0A075B6H9	HGNC:5921
NX_A0A075B6I0	HGNC:5931
NX_A0A075B6I1	HGNC:5920
NX_A0A075B6I4	HGNC:5884
NX_A0A075B6I9	HGNC:5930
NX_A0A075B6J1	HGNC:5922
NX_A0A075B6J6	HGNC:5906
NX_A0A075B6J9	HGNC:5889
NX_A0A075B6K0	HGNC:5901
NX_A0A075B6K2	HGNC:5898
NX_A0A075B6K4	HGNC:5897
NX_A0A075B6K6	HGNC:5919
NX_A0A075B6P5	HGNC:5783
NX_A0A075B6Q5	HGNC:5617
NX_A0A075B6R2	HGNC:5652
NX_A0A075B6S2	HGNC:5800
NX_A0A075B6S4	HGNC:5749
NX_A0A075B6S5	HGNC:5735
NX_A0A075B6S6	HGNC:5801
NX_A0A075B759	HGNC:33997
NX_A0A087WSX0	HGNC:5924
NX_A0A087WSY6	HGNC:5824
NX_A0A087WSZ0	HGNC:5759
NX_A0A087WTH1	HGNC:51241
NX_A0A087WTH5	HGNC:52280
NX_A0A087WUL8	HGNC:31999
NX_A0A087WVF3	HGNC:28944
NX_A0A087WW87	HGNC:5789
NX_A0A087WXM9	HGNC:51253
NX_A0A087WXS9	HGNC:32709
NX_A0A087X179	HGNC:27071
NX_A0A087X1C5	HGNC:2624
NX_A0A087X1G2	HGNC:51245
NX_A0A096LP49	HGNC:30942
NX_A0A096LP55	HGNC:51714
NX_A0A096LPI5	HGNC:51715
NX_A0A0A0MRZ7	HGNC:5798
NX_A0A0A0MRZ8	HGNC:5823
NX_A0A0A0MRZ9	HGNC:5926
NX_A0A0A0MS14	HGNC:5553
NX_A0A0A0MS15	HGNC:5607
NX_A0A0A0MT36	HGNC:5837
NX_A0A0B4J1U3	HGNC:5876
NX_A0A0B4J1U7	HGNC:5662
NX_A0A0B4J1V0	HGNC:5582
NX_A0A0B4J1V1	HGNC:5586
NX_A0A0B4J1V2	HGNC:5575
NX_A0A0B4J1V6	HGNC:5623
NX_A0A0B4J1X5	HGNC:5624
NX_A0A0B4J1X8	HGNC:5604
NX_A0A0B4J1Y8	HGNC:5933
NX_A0A0B4J1Y9	HGNC:5622
NX_A0A0B4J1Z2	HGNC:5758
NX_A0A0B4J2A2	HGNC:33995
NX_A0A0B4J2D9	HGNC:5747
NX_A0A0B4J2F0	HGNC:50696
NX_A0A0C4DH24	HGNC:5836
NX_A0A0C4DH25	HGNC:5825
NX_A0A0C4DH29	HGNC:5552
NX_A0A0C4DH31	HGNC:5549
NX_A0A0C4DH33	HGNC:5551
NX_A0A0C4DH34	HGNC:5645
NX_A0A0C4DH38	HGNC:5659
NX_A0A0C4DH39	HGNC:5555
NX_A0A0C4DH41	HGNC:5655
NX_A0A0C4DH42	HGNC:5619
NX_A0A0C4DH55	HGNC:5829
NX_A0A0C4DH67	HGNC:5743
NX_A0A0C4DH68	HGNC:5781
NX_A0A0C4DH69	HGNC:5744
NX_A0A0C4DH72	HGNC:5742
NX_A0A0C4DH73	HGNC:5730
NX_A0A0C5B5G6	HGNC:7470
NX_A0A0G2JS06	HGNC:5923
NX_A0A0J9YWL9	HGNC:52277
NX_A0A183	HGNC:31824
NX_A0A5B9	HGNC:12157
NX_A0AUZ9	HGNC:26310
NX_A0AV02	HGNC:15595
NX_A0AV96	HGNC:30358
NX_A0AVF1	HGNC:21882
NX_A0AVI2	HGNC:19044
NX_A0AVI4	HGNC:25137
NX_A0AVK6	HGNC:24727
NX_A0AVT1	HGNC:25581
NX_A0FGR8	HGNC:22211
NX_A0FGR9	HGNC:24295
NX_A0JLT2	HGNC:29600
NX_A0JNW5	HGNC:29102
NX_A0JP26	HGNC:51240
NX_A0M8Q6	HGNC:5861
NX_A0MZ66	HGNC:29319
NX_A0PG75	HGNC:19952
NX_A0PJE2	HGNC:25832
NX_A0PJK1	HGNC:23155
NX_A0PJW6	HGNC:28464
NX_A0PJW8	HGNC:21490
NX_A0PJX0	HGNC:33703
NX_A0PJX2	HGNC:16112
NX_A0PJX4	HGNC:25159
NX_A0PJX8	HGNC:32350
NX_A0PJY2	HGNC:22788
NX_A0PJZ0	HGNC:33833
NX_A0PJZ3	HGNC:33383
NX_A0PK00	HGNC:32008
NX_A0PK05	HGNC:31658
NX_A0PK11	HGNC:33939
NX_A0ZSE6	HGNC:30443
NX_A1A4F0	HGNC:25146
NX_A1A4G5	HGNC:28014
NX_A1A4S6	HGNC:26099
NX_A1A4T8	HGNC:27503
NX_A1A4V9	HGNC:28078
NX_A1A4Y4	HGNC:29597
NX_A1A519	HGNC:27963
NX_A1A580	HGNC:18928
NX_A1A5B4	HGNC:20679
NX_A1A5C7	HGNC:21106
NX_A1A5D9	HGNC:33584
NX_A1E959	HGNC:26043
NX_A1IGU5	HGNC:34430
NX_A1KXE4	HGNC:27016
NX_A1KZ92	HGNC:26359
NX_A1L020	HGNC:33482
NX_A1L0T0	HGNC:6041
NX_A1L157	HGNC:30795
NX_A1L162	HGNC:44395
NX_A1L167	HGNC:37269
NX_A1L168	HGNC:37254
NX_A1L170	HGNC:34351
