path:mmu00010	Glycolysis / Gluconeogenesis - Mus musculus (mouse)
path:mmu00020	Citrate cycle (TCA cycle) - Mus musculus (mouse)
path:mmu00030	Pentose phosphate pathway - Mus musculus (mouse)
path:mmu00040	Pentose and glucuronate interconversions - Mus musculus (mouse)
path:mmu00051	Fructose and mannose metabolism - Mus musculus (mouse)
path:mmu00052	Galactose metabolism - Mus musculus (mouse)
path:mmu00053	Ascorbate and aldarate metabolism - Mus musculus (mouse)
path:mmu00061	Fatty acid biosynthesis - Mus musculus (mouse)
path:mmu00062	Fatty acid elongation - Mus musculus (mouse)
path:mmu00071	Fatty acid degradation - Mus musculus (mouse)
path:mmu00072	Synthesis and degradation of ketone bodies - Mus musculus (mouse)
path:mmu00100	Steroid biosynthesis - Mus musculus (mouse)
path:mmu00120	Primary bile acid biosynthesis - Mus musculus (mouse)
path:mmu00130	Ubiquinone and other terpenoid-quinone biosynthesis - Mus musculus (mouse)
path:mmu00140	Steroid hormone biosynthesis - Mus musculus (mouse)
path:mmu00190	Oxidative phosphorylation - Mus musculus (mouse)
path:mmu00220	Arginine biosynthesis - Mus musculus (mouse)
path:mmu00230	Purine metabolism - Mus musculus (mouse)
path:mmu00232	Caffeine metabolism - Mus musculus (mouse)
path:mmu00240	Pyrimidine metabolism - Mus musculus (mouse)
path:mmu00250	Alanine, aspartate and glutamate metabolism - Mus musculus (mouse)
path:mmu00260	Glycine, serine and threonine metabolism - Mus musculus (mouse)
path:mmu00270	Cysteine and methionine metabolism - Mus musculus (mouse)
path:mmu00280	Valine, leucine and isoleucine degradation - Mus musculus (mouse)
path:mmu00290	Valine, leucine and isoleucine biosynthesis - Mus musculus (mouse)
path:mmu00310	Lysine degradation - Mus musculus (mouse)
path:mmu00330	Arginine and proline metabolism - Mus musculus (mouse)
path:mmu00340	Histidine metabolism - Mus musculus (mouse)
path:mmu00350	Tyrosine metabolism - Mus musculus (mouse)
path:mmu00360	Phenylalanine metabolism - Mus musculus (mouse)
path:mmu00380	Tryptophan metabolism - Mus musculus (mouse)
path:mmu00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Mus musculus (mouse)
path:mmu00410	beta-Alanine metabolism - Mus musculus (mouse)
path:mmu00430	Taurine and hypotaurine metabolism - Mus musculus (mouse)
path:mmu00440	Phosphonate and phosphinate metabolism - Mus musculus (mouse)
path:mmu00450	Selenocompound metabolism - Mus musculus (mouse)
path:mmu00471	D-Glutamine and D-glutamate metabolism - Mus musculus (mouse)
path:mmu00472	D-Arginine and D-ornithine metabolism - Mus musculus (mouse)
path:mmu00480	Glutathione metabolism - Mus musculus (mouse)
path:mmu00500	Starch and sucrose metabolism - Mus musculus (mouse)
path:mmu00510	N-Glycan biosynthesis - Mus musculus (mouse)
path:mmu00511	Other glycan degradation - Mus musculus (mouse)
path:mmu00512	Mucin type O-glycan biosynthesis - Mus musculus (mouse)
path:mmu00514	Other types of O-glycan biosynthesis - Mus musculus (mouse)
path:mmu00515	Mannose type O-glycan biosynthesis - Mus musculus (mouse)
path:mmu00520	Amino sugar and nucleotide sugar metabolism - Mus musculus (mouse)
path:mmu00524	Neomycin, kanamycin and gentamicin biosynthesis - Mus musculus (mouse)
path:mmu00531	Glycosaminoglycan degradation - Mus musculus (mouse)
path:mmu00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Mus musculus (mouse)
path:mmu00533	Glycosaminoglycan biosynthesis - keratan sulfate - Mus musculus (mouse)
path:mmu00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Mus musculus (mouse)
path:mmu00561	Glycerolipid metabolism - Mus musculus (mouse)
path:mmu00562	Inositol phosphate metabolism - Mus musculus (mouse)
path:mmu00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Mus musculus (mouse)
path:mmu00564	Glycerophospholipid metabolism - Mus musculus (mouse)
path:mmu00565	Ether lipid metabolism - Mus musculus (mouse)
path:mmu00590	Arachidonic acid metabolism - Mus musculus (mouse)
path:mmu00591	Linoleic acid metabolism - Mus musculus (mouse)
path:mmu00592	alpha-Linolenic acid metabolism - Mus musculus (mouse)
path:mmu00600	Sphingolipid metabolism - Mus musculus (mouse)
path:mmu00601	Glycosphingolipid biosynthesis - lacto and neolacto series - Mus musculus (mouse)
path:mmu00603	Glycosphingolipid biosynthesis - globo and isoglobo series - Mus musculus (mouse)
path:mmu00604	Glycosphingolipid biosynthesis - ganglio series - Mus musculus (mouse)
path:mmu00620	Pyruvate metabolism - Mus musculus (mouse)
path:mmu00630	Glyoxylate and dicarboxylate metabolism - Mus musculus (mouse)
path:mmu00640	Propanoate metabolism - Mus musculus (mouse)
path:mmu00650	Butanoate metabolism - Mus musculus (mouse)
path:mmu00670	One carbon pool by folate - Mus musculus (mouse)
path:mmu00730	Thiamine metabolism - Mus musculus (mouse)
path:mmu00740	Riboflavin metabolism - Mus musculus (mouse)
path:mmu00750	Vitamin B6 metabolism - Mus musculus (mouse)
path:mmu00760	Nicotinate and nicotinamide metabolism - Mus musculus (mouse)
path:mmu00770	Pantothenate and CoA biosynthesis - Mus musculus (mouse)
path:mmu00780	Biotin metabolism - Mus musculus (mouse)
path:mmu00785	Lipoic acid metabolism - Mus musculus (mouse)
path:mmu00790	Folate biosynthesis - Mus musculus (mouse)
path:mmu00830	Retinol metabolism - Mus musculus (mouse)
path:mmu00860	Porphyrin and chlorophyll metabolism - Mus musculus (mouse)
path:mmu00900	Terpenoid backbone biosynthesis - Mus musculus (mouse)
path:mmu00910	Nitrogen metabolism - Mus musculus (mouse)
path:mmu00920	Sulfur metabolism - Mus musculus (mouse)
path:mmu00970	Aminoacyl-tRNA biosynthesis - Mus musculus (mouse)
path:mmu00980	Metabolism of xenobiotics by cytochrome P450 - Mus musculus (mouse)
path:mmu00982	Drug metabolism - cytochrome P450 - Mus musculus (mouse)
path:mmu00983	Drug metabolism - other enzymes - Mus musculus (mouse)
path:mmu01040	Biosynthesis of unsaturated fatty acids - Mus musculus (mouse)
path:mmu01100	Metabolic pathways - Mus musculus (mouse)
path:mmu01200	Carbon metabolism - Mus musculus (mouse)
path:mmu01210	2-Oxocarboxylic acid metabolism - Mus musculus (mouse)
path:mmu01212	Fatty acid metabolism - Mus musculus (mouse)
path:mmu01230	Biosynthesis of amino acids - Mus musculus (mouse)
path:mmu01521	EGFR tyrosine kinase inhibitor resistance - Mus musculus (mouse)
path:mmu01522	Endocrine resistance - Mus musculus (mouse)
path:mmu01523	Antifolate resistance - Mus musculus (mouse)
path:mmu01524	Platinum drug resistance - Mus musculus (mouse)
path:mmu02010	ABC transporters - Mus musculus (mouse)
path:mmu03008	Ribosome biogenesis in eukaryotes - Mus musculus (mouse)
path:mmu03010	Ribosome - Mus musculus (mouse)
