Uniprot_AC	nb_obs
Q9NSC7	5
P08575	75
P05534	15
Q92673	4
P08571	9
P05538	5
P08473	3
O43567	1
Q8WZ42	1
Q96JJ7	12
P35442	12
P08185	22
O14638	2
Q5QGZ9	2
P55011	7
Q8TDP1	1
P54753	3
Q9BZQ6	5
Q9C0H2	1
P49792	1
Q13201	4
Q9BYF1	33
Q9Y5Y7	31
Q9Y5Y6	14
Q08AG5	1
P07711	77
Q96AE7	2
P17050	4
Q6P179	10
O75356	4
P32004	29
P13746	16
A8K7I4	59
Q02930	1
P38570	1
Q86YB8	4
P48960	76
Q8NBK3	2
Q8IZA0	3
Q9H8L6	24
Q13224	1
Q9H7M9	3
P02763	273
P02765	383
P05997	5
P15088	11
P05546	6
Q13361	1
Q15165	1
P07358	1
Q30154	5
Q96JQ0	1
Q16819	14
Q16363	121
O15393	12
Q12841	2
Q86YW9	1
A6NMD2	1
Q86UQ4	2
Q99523	10
Q8IZF2	1
P04229	14
Q12797	7
Q13510	115
P04222	111
P36941	11
P69849	2
O15455	4
P17936	29
Q9H5V8	16
A6NMZ7	2
Q13753	10
P13284	4
Q86T13	2
P01019	47
P21757	1
P25445	6
P01011	117
Q03405	2
P10619	82
P30498	5
P30499	2
P30492	8
Q6ZR08	1
P23229	45
O14773	350
Q8N468	1
O14672	19
Q8NFQ8	2
P30464	163
P06213	4
Q6ZN80	1
Q8N0Z9	2
Q969P0	1
Q7Z5L7	1
Q9UKU9	13
P20036	2
P12314	3
O60487	29
P98160	53
P23946	4
P27169	1
Q6PL18	1
P01909	13
P22105	66
Q5VW38	16
Q685J3	7
P01903	53
Q8IVL1	2
Q6UX06	92
P05543	18
Q15223	1
P53634	137
P12821	29
Q14108	100
P00751	4
Q14517	2
Q3MIR4	4
P08962	58
Q07954	231
O76064	1
P00738	546
P01857	46
Q13332	1
Q16853	418
Q9P2C4	6
P04626	8
Q15043	13
Q96AQ6	9
P05107	147
Q12802	1
Q9Y624	4
O15118	9
Q8IUX7	3
