Uniprot_AC	nb_obs
Q9NQ79	14
Q8TBF2	54
Q5H9L2	41
P20930	99
P20933	64
P20936	104
Q6P1J6	1
H7C3M7	14
P30613	435
P23919	365
Q6ZNW5	16
Q9NXR8	2
Q9C0H2	51
C9JFK9	110
H0YIV9	32
Q00535	258
Q9NXR1	73
Q07960	1737
Q9NXR5	3
Q9NXR7	145
Q6UXI7	16
O00244	111
Q9H2V7	8
F5H760	281
G5EA28	12
Q9UBM1	1
Q9UBM7	220
Q6UXI9	29
Q13835	149
A0AVF1	1
P40424	9
P40425	5
P40429	636
Q7Z3T8	8
Q13838	2368
Q9H2I8	2
P08842	6
P03891	6
P48960	292
Q86WA6	187
P02768	108718
P05386	552
P05387	1742
P02760	962
P05388	2377
P02765	1022
P02766	1172
Q7L266	53
Q9UJ70	1168
Q9UQ03	1
Q9UJ72	298
Q15165	340
Q15166	34
O15254	67
Q6ZTI6	15
O15258	202
P29401	5319
P29400	429
Q9H0S4	253
A8MVZ9	2223
Q01118	11
O43399	1243
Q96CS3	333
Q9P219	3
Q5W111	20
P62807	8124
P62805	13441
Q92835	243
Q4G0I0	5
Q969K7	1
Q92839	3
Q9H3M7	12
Q8IY95	19
Q9Y6E2	533
O43933	278
Q9BZG9	15
Q5TZA2	186
P01236	7
Q92598	2429
Q9NWM8	1
P16402	3903
Q09161	465
Q09160	1269
B3EWG3	29
P09001	61
P53708	22
P60520	25
Q5DJT8	2
Q9UKZ1	33
P53701	71
Q14568	5330
Q14562	46
Q14566	768
Q8NFQ8	174
Q6P1A2	60
Q9NRH1	1
Q9UHF1	2
Q86VP6	3852
P41218	644
P41219	1614
Q9UHF7	3
P41214	31
Q86VP1	4
B7WNR0	80267
Q86VY4	4
Q92520	383
Q92522	533
Q7L8L6	24
Q53HV7	9
Q02878	2039
P27449	8
P27448	18
Q96PM5	5
Q96HA9	3
P07204	5
O75165	546
Q96G28	4
Q96G23	26
Q96G21	26
P31997	164
Q96G25	1
Q9BWU0	39
Q8TEH3	3
Q13232	322
Q01415	184
Q13231	18
Q5TBA9	6
Q13237	15
P19075	224
Q00534	216
P10915	43
P10916	273
Q6UW02	165
P23743	90
Q8WUF8	11
Q8WUF5	39
Q96J66	16
O00712	12
P48147	942
Q9BQG2	8
Q99518	8
Q9BQG0	1086
Q4VC31	67
Q6PL24	3
Q96RU3	109
Q6VMQ6	4
Q9NYU1	122
Q9NYU2	3407
Q96DR5	2
A4D1P6	20
P55145	1096
P50395	4705
Q9Y5A7	72
Q13643	76
Q13641	14
P40305	3
P40306	301
Q6XQN6	726
Q02127	147
P21217	142
P62380	5
P61165	53
Q96CN9	21
Q6ZRV2	235
Q96CN7	588
Q96N76	132
Q8IYL3	2
O15068	2
Q5RKV6	125
Q9H6R4	260
P10644	417
P48556	316
P10646	2
O15067	348
O15066	11
P60891	531
Q9H6R3	69
P07098	103
P16422	1258
Q9NZM1	3680
Q01968	41
A6NNZ2	6253
Q8N5G0	85
Q06609	1
Q9Y291	3
Q9Y296	65
Q9Y294	8
Q9Y295	716
H3BPE1	1695
Q9NUQ3	4
Q6ICB0	2
Q6IA17	23
Q99952	3
P49795	4
P49796	1
P49790	232
P49792	1727
B0I1T2	155
P51116	43
P51114	134
Q86VD7	8
P35070	2
Q587I9	39
Q9Y2T7	239
O60547	757
O60812	998
Q6NUQ1	22
Q9Y2T2	380
Q6ZVK8	3
Q8NC74	1
J3KPV7	1030
Q9P0L0	744
P31483	150
Q92665	190
P49788	12
P03897	30
Q92738	1
P35251	42
P35250	176
Q08170	253
O75427	30
Q8IY17	93
Q8IY18	6
Q92733	7
Q9H772	72
Q9H773	247
Q92736	43
Q00765	325
O60603	3
Q9NVQ4	4
Q8TEA1	1
O00506	307
O00507	477
O00505	380
P17927	9
O00501	2
P20132	17
P01009	15058
P01008	2111
Q9H7M9	1
Q01581	306
P02763	1610
Q9BXB4	15
Q9BXB5	20
Q8IYD1	314
O75391	29
O75390	2075
O75396	1242
O75394	6
Q8IVD9	51
Q8TE68	113
Q8TE67	535
Q9Y4F5	4
Q8N323	9
P46013	261
Q8WVD5	1
Q8WVD3	2
P46019	22
Q9UJ71	1
Q9NPG2	1
Q9BSD7	260
P42772	1
P42773	16
P42771	3
O94973	1639
P68543	1
H0YAC1	267
Q8WXH0	844
Q9NXE4	92
P28838	1907
Q9UGC7	3
Q04609	102
Q9UI09	220
Q8N4X5	11
Q5T7W0	1
J3KS54	525
A2RUS2	3
P22760	60
P19440	103
P19447	6
Q96LZ7	34
Q16512	34
Q16513	97
Q14002	156
Q14004	186
Q14005	99
Q9H3P7	612
Q8WY22	201
P19224	93
Q9BUV8	1
Q8NCW5	593
Q9NUT2	23
Q6Y288	10
Q8TBQ9	29
Q9HA77	163
Q7Z6L0	1
Q9HA72	4
Q9UFC0	22
O14939	3
O43324	161
O14933	169
I3L4J1	247
P04839	424
P49406	90
H7C2K6	87
Q7Z7F7	13
Q7Z7F0	2
P56937	57
Q9Y2K7	12
Q96D31	3
E7EX88	47
Q96MT3	1
Q9UHY7	301
O14681	6
O14683	53
O14684	12
Q8N1P7	1
O14686	1
P08172	1
Q9UNE7	144
Q86XA9	29
Q86SZ2	27
Q00978	37
Q7Z2T5	16
Q9BYM8	22
P50895	302
P39023	1540
Q63HM9	6
P49895	3
Q8IY21	204
Q63HM1	17
Q13586	153
Q8WWC4	126
P01825	241
P01824	18
O95758	663
Q6UY14	19
Q9BWH6	4
Q9BWH2	63
Q8NHV4	4
Q6YP21	129
Q8NHV1	22
O60243	2
Q9C0J8	29
Q10589	53
Q10588	76
P01920	262
O00268	16
O00267	300
O00264	975
P08865	2720
P33947	60
