Uniprot_AC	nb_obs
Q8TBF5	3
Q8TBF4	11
Q9NQ79	54
P30613	169
Q5H9L4	1
O14770	29
P20930	12
P20933	23
P20936	115
A6NJS3	31
H7C3M7	4
P23919	157
Q9P0L0	414
Q6ZNW5	10
Q9NXR8	2
Q9C0H2	8
Q9C0H5	10
Q9C0H6	4
Q00535	82
Q9NXR1	18
E9PN48	36
Q07960	606
Q9NXR7	51
Q6UXI7	5
O00712	96
Q86U70	23
O00241	3
G5EA28	20
Q8IX01	222
Q5H9L2	170
Q9UBM7	83
Q6UXI9	79
Q5VUM1	6
Q13835	5
A0AVF1	14
P40424	85
P40425	28
P40426	27
P40429	296
Q7Z3T8	31
Q13838	868
Q9H2I8	5
P08842	2
P03891	2
P48960	91
Q86WA6	101
P02768	47280
P05386	532
P05387	662
P07902	49
P02760	419
P05388	546
P02765	587
P02766	572
Q7L266	122
Q9UJ70	409
Q9UQ03	23
Q15165	159
Q15166	14
P35579	8786
O15254	36
Q86WA8	1
Q6ZTI6	1
P59282	6
Q6NZI2	1627
P29401	2040
P29400	37
Q9H0S4	76
P39023	760
Q9H992	1
Q01118	34
P21731	1
Q96CS2	8
Q96CS3	157
Q9P219	20
E9PEB9	236
Q5W111	15
Q9P215	2
P62807	2701
P62805	2893
Q9BVC3	4
Q92831	2
Q92835	69
Q4G0I0	6
Q9UJQ1	1
Q9H3M7	5
Q969K3	1
Q9H845	165
Q9Y6E2	104
Q8TAL6	1
O43933	30
Q9Y597	1
Q9BVC6	77
O43570	2
P16402	1444
Q09161	232
Q09160	334
P50225	166
P09001	40
P53708	20
P04035	122
P60520	40
Q5DJT8	27
Q9UKZ1	13
P53701	21
Q9UKZ4	4
H0Y659	361
Q14568	1756
Q9H967	2
B1AKV2	17
Q14562	44
Q8WYB5	6
Q14566	358
Q8NFQ8	57
Q8NI32	1
Q6P1A2	31
Q9NRH1	1
Q9NRH2	5
Q9NRH3	161
P58397	3
Q86VP6	1627
Q9UHF5	3
P41219	732
Q9UHF7	44
P41214	46
Q86VP1	18
P41212	32
Q86VY4	126
Q92526	177
Q92521	6
Q92520	147
Q92523	14
Q92522	301
Q7L8L6	7
Q86VY9	2
P23352	3
Q5T9C2	2
Q53HV7	9
Q02878	520
Q9HAP6	24
P27449	17
P27448	78
Q9HAP2	1
Q96HA7	5
Q96HA1	43
P86397	6
Q96PM5	2
Q96HA9	5
Q96HA8	5
P07204	2
O75164	3
O75165	331
O75167	3
O75161	5
Q96G23	33
Q5VZL5	50
Q96G21	17
P06865	167
Q96G25	17
Q9BWU0	149
Q8TEH3	23
Q13232	109
Q13233	6
Q13231	3
Q5TBA9	7
Q14671	158
E7ESL9	15
Q9C0H9	2
P19075	11
Q9UGK3	5
Q00534	53
H0YC40	1
P10915	10
Q00536	54
Q6UW02	115
Q15768	1
P40121	864
P23743	43
Q8WUF8	24
Q8WUF5	78
