Uniprot_AC	nb_obs
Q96I99	558
O00625	5
Q9NQ79	3
Q8TBF2	6
Q7Z392	12
Q9BZL4	22
Q96N67	5
O00629	15
Q96C19	53
P20930	3
P40227	282
Q9NWV8	5
P20933	10
Q96NU7	7
Q86WA6	173
P20936	2
Q9NQT4	1
Q9Y5X2	1
Q9NQT8	34
Q9NPF5	1
Q5JSH3	3
P04839	2
Q9NZL4	6
P16435	82
Q9NZL9	46
Q13724	26
P59665	14
Q9UQB8	8
P23919	17
Q96J84	114
Q9H4X1	1
Q01970	4
P04207	25
Q9BUF5	1229
Q9BUF7	1
O96005	16
Q9C0D5	8
P56378	4
H0YIV9	25
Q00535	16
Q00534	8
Q07960	119
P56377	7
Q9H0E2	43
O00244	20
F5H760	33
P0C0S8	1159
Q9NZZ3	4
Q96GY0	4
P0C0S5	302
Q6UXI9	159
Q5T5P2	12
Q9HB07	23
P07711	32
P40424	11
P17050	25
Q9BW83	6
P02549	261
P40429	60
Q12830	1
Q13838	125
Q15276	4
P13747	244
P13746	652
Q9H2I8	1
P62258	1182
P13693	63
O96007	9
P48960	4
O00399	4
P49789	56
O95562	2
P04259	3777
Q6ZMI0	14
P05386	95
Q9NRZ7	58
P07902	12
P78346	1
Q9C0D9	2
P05388	232
P62979	892
P02765	101
Q95365	828
Q04323	12
Q7L266	26
Q9NTZ6	9
Q9UJ70	66
Q9UQ03	19
Q9UJ72	16
Q15165	24
P17661	892
O76024	6
A0AVT1	36
Q9Y2U8	5
O76027	2
O15254	13
Q93034	26
P01700	15
P01701	13
P01707	7
Q96T66	6
Q15369	22
Q8TDX5	13
O60573	4
Q15365	268
Q9BVL4	4
Q15363	34
A6NDU8	2
O00400	2
B5ME19	42
Q96QG7	1
Q9UMS0	23
Q9UMS6	36
P29401	470
Q9UMS4	117
Q8IWT0	1
O95295	6
P35244	12
Q96AB3	309
O75431	73
O75436	74
P35241	1499
P08263	894
O75438	6
O75439	50
P43034	78
P08621	21
Q9NVP1	2
Q9UFN0	143
Q96CS3	2
P33176	114
A6NDG6	8
Q9Y6G5	13
A0M8Q6	854
A0AV96	9
Q9NVG8	14
P62805	1308
O60610	26
P10316	639
O60613	18
O00763	33
Q8NBQ7	1
P17931	88
Q9UKL6	4
Q9BXW7	21
P43304	108
Q99880	1614
P06280	4
Q9H845	49
O15320	3
Q6UX71	5
Q86T13	7
O43933	11
Q5VYK3	21
Q9H1C7	5
P01903	358
P01011	574
P43146	4
Q92598	38
Q99643	21
Q13011	1612
P35240	23
Q13017	5
P55145	21
Q9UKX5	3
Q09161	1
Q09160	315
Q13018	52
O75380	28
O75381	1
O75382	1
Q8N9L9	1
O95445	8
Q9UKX7	2
Q9UH03	6
P53708	85
P78560	2
Q8N4P3	20
Q9NQ88	1
P53701	3
Q8TCZ2	15
Q92616	105
P23229	70
P55017	6
Q8N465	17
Q8TF74	2
Q5TDH0	9
P50224	74
O60762	9
Q8N9N7	16
Q6IAN0	20
P18077	20
P62714	61
P20039	273
O75940	1
Q15185	68
P53384	6
Q66K74	21
P17844	86
Q6P1A2	24
Q92619	2
Q8WVV9	9
P20036	23
Q9NPF4	14
Q9NUJ3	1
Q9UHF3	62
Q86TU7	8
P41218	2
Q96FF7	2
O95678	907
B2RUZ4	8
P41214	1
O94906	8
O94905	74
Q9Y657	1
O94903	41
P49458	27
O94901	13
P11226	1
Q5TA50	1
P11498	1140
Q9NUQ8	3
Q92520	10
Q92523	4
Q92522	46
Q13126	45
Q9H9H4	4
O43242	65
Q7L8L6	8
Q8N3C0	4
Q9NRF8	2
O43795	155
Q9UGB7	74
Q9UPN3	314
P50897	82
A6NK44	1
Q9UPN7	1
Q8N684	3
Q17R31	3
Q8N9F7	1
P30455	574
P15428	10
Q9ULB4	2
P35030	5
Q14108	88
Q9UH62	2
Q96DC8	143
Q9Y3Y2	6
Q5SV97	1
P28161	94
Q02878	95
P51003	1
P27449	10
C9J406	542
P15531	201
O43426	1
O43427	3
Q641Q2	11
P16152	679
Q9UNX3	21
P16150	1
Q96HA9	4
Q92823	4
Q16851	165
Q16850	5
Q16853	371
P99999	113
Q9UGP4	1
O43181	31
Q96G23	6
P19474	3
P62633	13
Q16827	78
O75489	327
A5YKK6	16
O75367	276
Q9BWU0	1
O43164	1
P26640	148
P26641	268
Q16527	96
Q13232	48
Q99460	70
Q7L9L4	13
Q5TBA9	12
Q71UM5	9
O75368	65
O75369	1281
Q9H3Q1	3
P26885	39
Q14031	2
Q14746	1
P60709	30912
P18428	53
Q6P2I3	42
Q8NG11	1
Q8TCT8	1
Q8TCT9	11
A6NFY7	1
P51674	1
Q6UW02	7
P20851	6
O14786	24
P40763	56
Q9BVL2	1
Q9BY44	1
P40121	85
O60218	7
Q9HCC0	228
Q70E73	7
Q9NXR7	5
Q96RQ1	1
Q8TC12	86
P24821	761
P67870	25
Q13347	47
Q30134	217
Q8WZ82	4
Q96KG9	2
P04271	1
P49411	1068
P48147	53
P16083	160
Q99519	3
Q9BQG0	4
P49419	726
Q4VC31	8
Q86YQ8	23
P21980	396
Q96RU3	3
P63146	1
Q9UK41	10
P62491	318
Q9NVE7	12
P61619	26
P62495	26
Q9NYU1	8
Q9NYU2	156
Q86UF1	2
Q9Y2H1	1
Q9BUR5	38
A4D1P6	2
Q9P1Y5	1
Q9Y2H5	3
Q16270	46
P61006	216
Q6ICL3	12
P36639	1
P50395	653
Q9NWS8	17
Q3KQV9	11
Q5JVS0	1
Q96FZ7	5
Q9Y5A7	1
O95255	6
Q13643	29
Q9BQ52	2
P35625	15
Q9Y5A9	2
Q15311	1
Q8TEQ0	1
P40306	48
Q16186	15
Q9HCE1	22
Q9P0P8	9
O15523	76
Q6XQN6	136
Q02127	20
Q14CN4	32
P12429	73
G3V0J0	7
Q9BTD8	6
Q6ZTN6	1
P05937	412
P21549	18
Q96B97	3
Q9UPR3	1
Q9BZ29	1
P17987	216
A0MZ66	7
Q9BZ23	1
Q96HS1	19
P55210	1
O14558	34
F8VXG0	9
Q9NWW5	2
Q9BYN8	3
P05165	526
Q9NVM1	72
Q96CN7	42
Q15024	1
Q96CN5	5
Q6YN16	241
P01892	582
Q9Y259	1
Q12931	298
Q5RKV6	3
O15155	1
P06703	95
P06702	286
P48556	34
Q9C099	4
O15067	47
A4UGR9	2
P60891	52
Q9H6R3	107
O95747	42
Q9BUE6	1
P01833	141
Q86SK9	4
O95741	19
Q9H6R4	1
Q9BXJ0	1
P16422	21
Q9NZM1	124
O95749	2
O95278	2
Q01968	2
P37235	38
A6NNZ2	1094
O15212	13
P68402	36
P30511	118
Q9BV23	10
O43264	1
P22626	1320
Q8N5G0	6
