Uniprot_AC	nb_obs
Q9NQ79	4
P30613	88
P20930	7
P20933	6
P20936	2
Q8TBF2	1
P23919	15
H0YIV9	33
Q00535	7
Q00534	5
Q07960	39
Q9NXR7	5
Q96J66	4
O00244	13
F5H760	35
Q9UBM1	4
Q9UBM7	13
Q13835	1
P40429	176
Q13838	70
P08842	3
P03891	5
P48960	1
P03897	2
P02768	7920
P05386	67
P05387	158
P02760	63
P05388	339
P02765	55
P02766	68
Q7L266	1
Q9UJ70	38
Q9UJ72	12
Q15165	20
Q15166	32
O15254	23
O15258	45
P29401	293
P29400	45
Q9H0S4	11
P39023	189
Q01118	16
O43399	43
Q96CS3	16
Q5W111	1
P62807	291
P62805	620
P21453	1
Q9H3M7	1
Q9BVC4	1
Q9BZG1	16
O43933	13
Q5TZA2	13
A8TX70	16
Q09161	43
Q09160	33
P09001	8
P53708	2
Q9UKZ1	1
P53701	2
Q14563	1
Q02094	2
Q14566	15
Q8NFQ8	12
Q6P1A2	56
P41218	29
P41219	93
P41214	2
Q92520	16
Q92522	59
Q7L8L6	8
Q02878	211
P27449	3
P27448	38
Q96HA7	2
Q96HA9	3
O75165	33
Q96G23	16
Q96G21	2
P06865	16
Q9BWU0	9
Q13232	27
Q9HCE5	1
P19075	5
Q6UW02	10
P23743	1
Q8WUF5	2
P48147	47
Q9BQG2	1
Q9BQG0	48
Q4VC31	3
Q6PL24	2
Q96RU3	1
Q9NYU2	150
A4D1P6	1
Q96L58	2
E5RJG7	118
P55145	40
P50395	162
Q9Y5A7	1
Q13643	4
Q9Y5A9	11
P40306	15
Q6XQN6	56
Q02127	11
P61165	3
Q6ZRV2	5
Q96CN7	48
Q96N76	107
Q5RKV6	20
P10644	32
O15061	5
P45877	6
O15067	27
P10643	21
Q9H6R3	64
P07093	2
Q9NZM5	3
P16422	13
Q9NZM1	162
P02549	213
A6NNZ2	408
Q8N5G0	7
Q9Y291	3
Q9Y296	4
Q9Y294	3
Q9Y295	26
H3BPE1	444
P49792	21
B0I1T2	20
P51116	7
P51114	27
Q86VD7	11
Q587I9	7
O60814	289
O60547	8
O43633	8
Q9Y2T3	36
Q9Y2T2	9
J3KPV7	106
Q9P0L0	88
Q9P0L2	17
Q92665	16
O00399	6
Q08174	9
P35251	15
P35250	8
Q08170	30
O75427	2
Q8IY17	19
Q92734	10
Q9H773	18
Q92736	2
Q00765	46
Q5T5P2	3
Q5BKT4	1
O00506	7
O00505	16
O00501	10
E3W994	21
P20132	27
P01009	840
P01008	139
Q01581	51
P02763	238
O75390	84
O75396	82
O75394	3
Q8IVD9	2
Q9Y4F5	12
P46013	3
P46019	36
Q9BSD7	14
O94979	134
O94973	157
Q8WXH0	40
P62633	24
Q9UI09	29
P22760	39
P19440	8
P19447	1
Q96LZ7	7
P08237	34
Q16512	1
Q16513	2
Q14008	2
Q8TDX7	8
P19224	82
Q9BUV8	1
Q8NCW5	18
Q9NUT2	3
Q8TBQ9	9
Q9HA77	4
O14936	27
O43324	34
O14933	9
I3L4J1	2
P04839	26
P49406	7
Q7Z7F7	9
P56937	12
Q9Y2K2	1
Q9UHY1	2
Q9UHY7	14
O14681	11
O14683	4
O14684	1
Q9UNE7	12
A8MTT3	1
Q86SZ2	2
Q6P6B1	1
Q7Z2T5	15
P50895	210
O75431	22
P49895	1
Q8IY21	3
Q63HM1	23
O95757	40
O95751	2
Q8WWC4	15
P01824	1
O95758	12
Q15517	2
Q9BWH2	9
Q6YP21	1
Q8NHV1	4
Q10589	14
Q10588	11
P01920	54
O00267	31
O00264	48
P08865	253
P33947	20
Q7Z3Z0	126
Q9H2K8	1
Q9NQ55	2
Q9NQ50	13
P56557	1
P56556	13
O95342	29
O95340	69
O95347	1
Q8IWV8	7
Q9H0Q0	7
P60174	318
F8W543	45
Q9NQH7	9
Q12981	2
Q9Y608	3
P29466	2
Q9Y606	9
P28482	52
Q53GS7	2
P28332	276
P28330	5
P28331	134
P62829	118
P62820	111
P62826	70
Q5BKZ1	1
P51858	59
P51857	51
Q969I3	9
Q969I6	5
