Uniprot_AC	nb_obs
Q8TBF4	4
Q9NQ79	32
Q8TBF2	31
Q5H9L4	24
Q5H9L2	181
P20930	20
P20933	68
P20936	82
P30613	103
P23919	78
Q6ZNW5	6
Q9C0H2	1
Q9C0H5	5
H0YIV9	15
Q00535	65
Q9NXR1	15
Q00537	17
Q00536	20
Q9NXR5	1
Q9NXR7	42
Q6UXI7	19
O00244	86
Q9H2V7	6
F5H760	51
Q9UBM1	1
Q9UBM7	85
Q6UXI9	13
Q13835	29
A0AVF1	18
P40424	25
P40425	8
P40429	119
Q7Z3T8	21
Q13838	624
Q9H2I8	3
P08842	6
O15078	9
P48960	26
Q86WA6	71
P02768	39211
P05386	91
P05387	140
P07902	23
P02760	427
P05388	196
P02765	625
P02766	744
Q7L266	57
Q9UJ70	255
Q9UQ03	10
Q569K6	1
Q15165	184
Q15166	21
P35579	6710
O15254	21
Q49A88	3
P59282	5
P29401	1598
P29400	82
Q9H0S4	24
P39023	322
Q9H992	1
Q01118	22
Q96CS2	1
Q96CS3	118
Q9P219	2
E9PEB9	925
Q5W111	18
P62807	1420
P62805	2206
P07099	974
Q92830	1
Q92835	9
Q4G0I0	4
Q9H3M7	1
Q969K3	2
Q8IY95	29
Q9Y6E2	74
O43934	1
O43933	21
O43930	6
Q9Y597	4
Q5TZA2	93
O43570	3
Q8N865	3
Q09160	154
P50225	97
Q9H7D7	17
Q9UKZ9	4
P09001	10
P53708	75
P04035	140
P60520	40
Q5DJT8	28
Q9UKZ1	14
P53701	19
Q14568	1035
Q14562	25
Q14566	102
Q8NFQ8	42
Q6P1A2	15
Q9NRH1	1
Q9NRH2	3
Q496J9	1
Q9UHF1	21
Q86VP6	1176
P41218	37
P41219	358
P41214	17
B7WNR0	29100
P41217	35
P41212	1
Q92527	2
Q92526	123
Q92521	4
Q92520	70
Q92523	19
Q92522	162
Q7Z5L2	3
Q7L8L6	8
Q9H4P4	1
P23352	29
Q5T9C2	5
Q53HV7	12
Q02878	212
Q9HAP6	11
P27449	15
P27448	38
P86397	4
P07205	727
Q96HA9	7
Q96HA8	5
O75165	196
Q96G28	17
O75161	2
Q96G23	26
Q5VZL5	11
Q96G21	2
Q8N1A6	3
Q96G25	4
Q9UK32	45
Q9BWU1	7
Q8TEH3	3
Q13232	96
Q9C0H6	12
Q5TBA9	3
Q14671	27
P19075	9
Q00534	41
Q86XN7	1
P10915	27
P10916	72
Q6UW02	146
P40121	312
P23743	45
Q8WUF8	24
Q8WUF5	34
O00712	40
P48147	533
Q9BQG2	4
Q9BQG0	144
Q4VC31	30
Q6PL24	15
Q96RU3	112
Q96RU2	6
Q6VMQ6	11
Q9NYU1	135
Q9NYU2	746
Q96DR4	1
Q96DR5	13
A4D1P6	50
Q96L58	3
P55145	245
P50395	1119
Q9Y5A7	47
Q13643	21
