Uniprot_AC	nb_obs
Q96I99	64
Q9NQ79	6870
P30613	308
Q9NQ76	1358
Q9H0E2	10
O00629	35
Q9NQ75	148
P20930	148
P40227	511
P20933	1181
P13693	192
Q86WA6	6
P20936	5
O15075	5
Q12905	269
P16435	3
Q86SJ6	51
Q9NZL9	121
Q0VD83	79
O00116	5
Q96J84	92
Q01973	266
Q01970	29
Q9BUF5	3773
Q07960	881
Q9BZQ8	14
Q6UXI7	31
O00244	6
Q9BU40	83
O00241	1464
Q8NF20	108424
Q9UBM7	3
Q13835	329
P07711	621
P02545	365
P17050	194
P02549	2944
O43813	5
P51991	151
Q13838	28
P13747	1731
P78310	6
O00391	45637
P38571	22
Q96NU7	62
P48960	112
P49788	2
P49789	3
P02768	1992701
P05386	54
P05387	63
P07902	23
P02760	251633
P78344	12
P02765	342104
Q04323	4
P27930	875
Q9UJ70	94
A0A075B6S5	49784
P20618	701
Q15166	7188
P52272	51
A0AVT1	3
P09172	25603
P01703	18656
P01701	11894
Q08188	956
Q9UL73	4701
P01704	18449
Q15369	35
Q8TDX5	4
Q8TDX7	3
Q15365	620
P16401	51
Q9UL78	65291
P29401	4809
Q9UMS4	3
P84085	306
Q8N8Z6	725
P35247	285
O75436	7
P35241	2996
Q8IY22	63
Q7RTW8	17
O75439	18
P01127	20
P43034	138
P08621	8
O43399	127
A6NDG6	14
P01031	328975
Q6ZVX7	108
P62805	912
Q8NBI6	13
O60613	42
Q92832	34
P17931	135
P17936	51379
O95390	39
P43304	669
P10619	720
P06280	127
Q6UX71	9746
Q9Y6E0	265
P21695	355
O15327	2
Q9BZG9	97
Q8N2S1	642
P01011	335578
P01236	224
P01210	9
Q13011	385
Q16787	192
Q9H8H3	21
Q86SJ2	36
Q13018	28
Q2MKA7	2
O75380	8
O75891	122
P53708	32
P30990	16
P22352	62142
Q8TCZ2	81
P23229	2345
Q9UKX2	2541
O60760	23
O60763	15
Q8NFQ8	2
Q15080	2
Q15185	71
O75947	141
Q15181	26
P17844	37
Q6P1A2	2
Q6YHK3	4294
P20036	14
P63104	11241
Q9BSE5	39
P41218	25
P25774	785
Q9NPF2	8
B2RUZ4	28
Q6N030	314413
O94903	7
Q2TAY7	7
Q92520	1826
Q13126	278
O43242	77
Q13033	6
O75095	95
Q9NRF8	7
P43490	74
P53634	889
Q562R1	29822
Q99418	5
O75487	33
Q02878	41
O94766	149
S6BAP0	106318
Q9Y6I3	3
O60704	9
P20273	2
P16152	676
P16157	2085
Q16363	88
Q9Y5S2	8
Q16851	765
P15169	114388
P99999	3275
P04626	76
Q96G23	7
P54760	155
P04629	27
P54764	633
A5YKK6	71
O75367	307
Q96P70	12
P26640	11
P26641	390
Q13232	508
Q99460	18
Q13231	1932
Q6UWB1	307
O75368	578
O75369	2688
P26885	42
Q14032	56
Q14749	29
A6NI73	47
Q15762	991
Q9UDT6	166
P10916	32
P20851	17262
P10912	833
P40763	49
P48788	4
P24821	19308
P67870	2
Q13347	7
P12644	3
Q8IXQ3	38
P49411	321
P48147	211
P16083	417
Q96KG7	1296
Q99519	22
P49419	31
Q6PL24	2
P21980	197
Q9UP79	225
Q9UK41	6
Q8NDA2	960
P61619	3
P62495	9
Q7Z7G0	12376
Q86UF1	3
P01857	688467
Q16270	5240
P61006	797
P55145	406
P50395	3166
Q96FZ7	8
P49773	243
Q9BQ51	1185
Q13641	51
Q9H4F8	9
P40306	111
Q96MU8	59
P62140	473
Q16181	829
O95633	338
O95630	5
O95631	34
Q13509	5225
P21549	370
Q96M27	13
Q92688	32
Q9H6Z4	2
P05165	37
Q9UL81	32621
Q9UL80	18107
Q96CN7	127
Q96N76	81
P20929	3
Q96NZ9	5040
P10645	2309
P06702	14647
P10646	2242
O15067	72
P48551	65
P60891	28
O95747	1038
P01833	28200
P01834	719466
P07093	77
Q9Y6F6	61
P07099	21
Q9NZM1	11
P37235	13
Q08380	84982
P30511	1170
P22626	624
P69905	80862
P13598	16809
P30519	129
Q9Y6R7	16632
P23284	3091
P05062	13971
P05060	1331
Q7Z4H3	6
P51606	12
M0QZL2	425
Q96GX9	22
P27144	7
Q96BY9	6
Q15833	2213
Q13822	17934
Q08623	4
Q9C005	3
P55072	4022
P48426	498
P29279	461
Q01813	362
B0I1T2	36
Q14563	165
Q93009	2
P60981	788
Q71U42	3
Q00610	2826
P29508	706
P35813	111
S6C4S0	64560
P42768	51
O95336	529
O60547	16
Q9Y2T3	173
P38570	7
P09493	5716
Q9UJ68	9
P09496	114
P09497	39
P26022	50
O15240	290
O15247	45
P01714	13561
Q15375	66
Q96T76	3
Q7Z2W4	2
O95479	3499
P49862	88
Q9P0L0	317
O15084	2
P03971	15
Q9BXD5	38
Q9Y617	177
Q969T9	67
P07476	612
Q9Y613	312
P09543	119
Q08174	52
Q01105	69
Q9UGM3	594
P01130	857
P01133	12
Q92734	3
Q9H773	44
Q9UGM5	38365
Q9NWD8	94
