Uniprot_AC	nb_obs
Q96I99	61
O00625	17
Q9NQ79	1
P31749	17
Q8TBF2	1
Q7Z460	5
Q96N66	17
Q96N67	12
O00629	25
Q5H9L2	9
P20930	90
P40227	67
F8VQZ7	23
P20933	2
P40222	5
Q86WA6	7
P20936	3
P33527	9
O15075	4
Q9NQT8	11
Q9NZL4	9
P16435	32
Q9NZL9	16
Q13724	10
P59665	8
Q9NVV4	1
P23919	7
Q96J84	1
Q01970	8
P04207	12
Q9BUF5	404
Q01974	2
O96005	10
P30457	37
P56378	2
Q00535	5
Q9NXR1	8
Q07960	106
P56377	2
O60524	1
Q9H0E2	6
P61769	10
O00244	4
Q8N5H3	1
Q7Z4S6	2
Q9NZZ3	8
Q96GY0	3
P0C0S5	20
Q9BR39	38
Q9UBM7	1
Q13835	16
P07711	1
P40424	8
P17050	3
Q9BW83	3
P02549	9
P40429	18
P51858	38
Q13838	62
Q15276	1
P00338	223
P13747	11
P13746	45
O00391	11
P98160	4965
P13693	34
P16989	23
P48960	16
O00399	9
P49789	10
O43374	2
P04259	735
Q6ZMI0	11
P05386	5
Q9NRZ7	3
Q06587	4
Q99598	8
P78346	2
P02760	56
P78344	28
P62979	170
P02765	46
P82921	1
Q04323	11
Q9NTZ6	1
Q9UJ70	49
Q9UJ72	7
P20618	25
Q8IVN3	4
O76024	35
A0AVT1	29
Q9Y2U8	9
P09172	4
O15254	1
Q93034	22
P01700	8
P01701	6
Q08188	2
Q15369	13
O60573	3
Q15365	75
O15258	8
Q15363	12
A6NDU8	5
Q969U6	1
Q9BYX2	1
Q9UMS6	533
P29401	274
Q9UMS4	32
Q9UNM6	32
O95295	3
P35244	2
O75431	12
O75436	30
Q09019	1
Q6UXH1	1
Q53FP2	9
O75438	1
O75439	11
P43034	54
P08621	7
Q01118	1
Q9NVP1	2
Q9UFN0	28
Q96CS3	9
Q30167	6
A6NDG6	8
P01031	90
Q6ZVX7	6
P51798	3
Q9NVG8	4
C4AMC7	6
O60610	4
O60613	6
P02748	80
Q9UKL6	2
Q9BXW7	4
P43304	42
Q9H3M7	2
Q8IWB9	1
P06280	2
Q9H845	13
O15320	7
P13284	1
P21695	12
Q9BYM8	1
P01036	3
O15327	3
Q6ZSZ5	1
Q9H1A4	1
Q5TZA2	3
O95139	2
Q8N2S1	19
P01011	542
K7EJH8	167
Q99643	4
Q13011	54
Q13017	4
O95967	14
Q09161	7
Q09160	30
Q8WUZ0	3
O75380	6
O75381	7
O75382	6
O75891	38
Q9H6U8	3
Q9UKX7	4
Q9UH03	3
P78563	5
P78560	7
Q7Z5L9	1
Q92633	1
Q9UKZ1	1
P53701	2
Q8NFF5	1
P23229	22
Q9Y3L5	11
Q5SNT6	13
O60762	4
Q92614	11
Q6IAN0	4
P18077	12
P62714	61
Q7Z304	40
Q15185	16
Q9BS40	14
P53384	7
Q66K74	19
P17844	39
Q6P1A2	6
Q86VW0	4
Q92619	2
Q86VW2	7
P20036	3
Q9NPF4	3
P58335	8
Q86TU7	5
P41218	5
P41219	103
Q09013	15
P41214	2
O94906	7
O94905	36
P41217	3
O94903	21
P49458	12
Q2TAY7	6
Q86VY4	2
P11498	1
Q9NUQ8	2
Q92520	5
Q92522	11
Q13126	53
O43242	44
Q8N9B5	2
Q8N3C0	2
Q9NRF8	20
O43795	20
Q8WU90	11
P22033	22
Q9UPN7	7
Q53GL7	3
Q8N684	5
P28827	4
P15428	41
Q562R1	2711
P18074	1
Q14108	26
Q9UH62	4
Q9Y3Y2	4
Q02878	35
P27449	4
C9J406	117
P48426	14
O43427	3
P16152	136
Q9UNX3	18
P16157	6
Q9UNX4	1
Q13268	97
Q16851	56
Q16850	2
P15169	2
P99999	51
Q9UGP4	4
O43181	13
Q9UGP8	11
P19474	10
P54760	2
P06865	12
Q13751	1
O75489	35
A5YKK6	4
O75367	62
P26640	55
P26641	66
Q16527	25
Q8TEH3	2
Q13232	14
Q99460	63
Q9HCE5	1
Q5TBA9	1
O75368	40
O75369	586
Q9H3Q1	2
O60925	1
P26885	14
Q14031	14
Q8WVV4	21
P60709	8455
Q00534	4
