FAname,FAmass,FAcarbon,FAdoublebond
10,172.1463,10,0
12,200.1776,12,0
13,214.1932,13,0
14,228.2089,14,0
15,242.2245,15,0
16,256.2402,16,0
16.1,254.2243,16,1
17,270.2558,17,0
17.1,268.2399,17,1
17.2,266.2245,17,2
18,284.2715,18,0
18.1,282.2558,18,1
18.2,280.2402,18,2
18.3,278.2245,18,3
19.1,296.2709,19,1
19,298.2866,19,0
20,312.3028,20,0
20.1,310.2871,20,1
20.2,308.2715,20,2
20.3,306.2558,20,3
20.4,304.2402,20,4
20.5,302.2245,20,5
21,326.3184,21,0
22,340.3341,22,0
22.2,336.3028,22,2
22.4,332.2715,22,4
22.5,330.2553,22,5
22.6,328.2396,22,6
24.1,366.3497,24,1
16.0L,272.2938,16,0
0,0,0,0
