Uniprot_AC	nb_obs
Q8TBF5	1
Q8TBF4	1
Q9NQ79	104
P30613	209
Q8TBF8	13
Q5H9L2	60
P20930	8
P20933	6
P20936	93
Q8TBF2	45
P23919	46
Q6ZNW5	6
Q8IZF3	18
Q9C0H2	10
Q9C0H5	65
Q4VXU2	98
H0YIV9	58
Q00535	359
Q00534	48
Q00537	57
Q07960	482
Q9NXR7	15
Q96J66	46
O00244	26
Q92917	3
O00241	336
Q6ZNF7	22
Q9UBM7	17
Q6UXI9	1
Q13835	12
P40424	12
P40426	7
P40429	86
Q7Z3T8	2
Q13838	315
P08842	6
P03891	31
P48960	2
Q86WA6	85
P02768	30554
P05386	120
P05387	244
P07902	6
P02760	131
P05388	342
B4E388	1637
P02766	1660
Q7L266	118
Q3B7X4	253
Q9UJ70	271
Q9UQ03	121
Q15165	123
O15254	33
O15258	51
P29401	2215
P29400	101
Q86XA9	8
P39023	126
A0A075B6Z2	144
Q01118	9
C3UMV2	17
Q96CS3	69
E9PEB9	866
Q5W111	9
P62807	1586
Q9P217	17
P62805	1634
Q9UK17	7
Q92835	4
Q4G0I0	3
Q9UJQ1	13
P51878	112
Q9H845	134
Q9Y6E2	39
O43934	1
O43933	51
O43930	2
Q9BZG8	3
Q5TZA2	48
P16402	587
Q09161	37
P09001	10
P04035	1
P60520	100
Q9UKZ1	5
P53701	7
Q9UKZ4	13
Q14568	2462
Q14562	2
Q86TG7	28
Q8NFQ8	15
Q9NY46	126
Q562L3	1791
Q6P1A2	4
Q9NRH2	2
Q9NRH3	48
Q9H115	1117
P41218	2
P41219	626
Q6ZMG9	5
P41217	69
Q8N1K5	8
Q86VY4	3
Q92526	226
Q92520	107
Q92522	54
Q92529	25
P23352	1
Q53HV7	1
Q5T9C9	5
Q02878	161
Q9HAP6	27
P27449	60
P27448	85
Q96HA7	3
P31994	4
Q96HA8	3
O75164	4
O75165	120
Q96G28	4
Q96G23	8
Q5VZL5	9
P06865	31
Q9BWU0	5
Q8TEH3	8
Q13232	59
Q9HCE5	6
Q5TBA9	28
Q71UM5	32
P19075	10
Q9NXR1	15
A0A060VHF3	110
Q15762	2
