Uniprot_AC	nb_obs
Q8TBF5	51
Q5TH30	1214
Q9NQ79	161
Q8TBF4	389
Q5H9L1	11
Q5H9L2	792
P20930	1
P20933	203
P20936	1650
A6NJS3	154
H7C3M7	185
P30613	1049
Q15572	5
P23919	1611
Q8TAQ2	5597
Q6ZNW5	590
Q9NXR8	135
Q9C0H2	83
C9JFK9	1634
H0YIV9	861
Q00535	1298
Q00534	455
E9PN48	749
Q00536	953
Q9NXR5	65
Q9NXR7	1041
Q6UXI7	20
O00244	2359
P06400	1567
Q9H2V7	78
F5H760	137
O00716	29
G5EA28	248
Q9NQ75	78
Q9UBM7	395
Q6BEB4	10
Q13835	1396
A0AVF1	226
P40424	561
P40425	327
P40426	227
P40429	1347
Q7Z3T8	1751
Q13838	7380
Q9H2I8	61
P08842	6
P03891	17
P48960	1105
Q9H6Q4	1019
P02768	231739
P05386	3278
P05387	5229
P21815	7
P02760	3047
P05388	8622
P02765	6350
P02766	4966
Q7L266	819
Q9NZV1	29
Q9UQ03	303
Q6DT37	889
Q15165	1095
Q15166	189
Q9UJ78	17
Q86WA9	4
O15254	1535
H0Y8W5	319
Q86WA8	711
H0Y8W3	455
Q6ZTI6	68
O15258	338
O15259	9
Q96QG7	535
O15072	16
P29401	14901
P29400	116
Q5VWT5	5
Q86XA9	858
P39023	4736
Q5T5X7	322
Q6UXH1	672
Q96CS2	260
Q96CS3	1462
Q9P219	2110
A6ZJ12	66
Q5W111	292
Q96CS7	35
Q9P215	351
P62807	13512
Q9UK11	22
P62805	4916
Q9UK17	2
Q8IY92	302
P07099	2253
Q92833	3
Q92831	29
Q92830	115
Q92837	5
Q5SRI9	5
Q92835	2290
Q92834	36
Q969K7	1
Q969K4	6
Q9H3M7	316
Q9H3M0	31
Q969K3	247
Q08462	4
Q9Y6E2	2363
Q8TAL6	93
O43933	1340
Q5T481	27
Q9BZG8	352
Q9Y597	831
Q5TZA2	2340
Q9Y592	64
O43570	753
Q09161	1924
Q09160	1564
Q6NX49	33
B3EWG3	4
Q9UKZ9	7
P09001	768
P04035	9
P60520	498
Q5DJT8	63
Q9UKZ1	364
P53701	710
Q8NFQ6	13
H0Y659	3568
Q14568	10677
Q9H967	82
Q14562	1275
Q8WYB5	277
H7C5B0	16
H7C5B7	72
Q9NUQ9	2994
Q8NFQ8	760
Q8NI32	25
Q6P1A2	146
Q9NRH1	71
Q9NRH2	207
Q9NRH3	1504
Q9UHF1	9
Q96MC2	1
Q86VP6	10920
P41218	1848
P41219	3592
Q9UHF7	5088
P41214	1313
Q86VP1	885
B7WNR0	176716
P41217	19
Q8N1K5	97
Q86VY4	970
Q92526	1901
Q92521	39
Q92520	689
Q6NX45	24
Q92522	992
Q7L8L6	556
Q8NHX9	2
P51786	43
Q8N5F7	478
Q9H4P4	164
P23352	163
Q5T9C2	594
Q2QGD7	43
Q02878	2660
Q9HAP6	154
P27449	42
P07203	4132
Q7Z5P9	1
Q9HAP2	84
Q96HA7	413
Q96HA1	731
P86397	34
P31994	154
Q96HA9	3
Q96HA8	170
Q6Q788	1
P07204	35
O75164	385
O75165	4781
Q96G28	358
Q9H211	10
O75161	28
Q9H213	13
Q96G23	494
Q7L3V2	13
Q96G21	481
P06865	3337
Q96G25	402
P11597	2
Q9BWU0	1763
Q9BWU1	160
Q4VXU2	1730
Q8TEH3	867
Q13232	1225
Q13233	365
Q13231	71
Q5TBA9	657
Q14671	2478
O60381	223
Q8HWS3	1
P19075	27
P53041	2648
Q00537	903
P10915	152
P10914	92
P10916	71
Q6UW02	529
P10912	1
Q9HCE6	956
Q15768	17
Q76NI1	3
P23743	1546
O95528	39
Q8WUF8	618
Q5MY95	3
Q8WUF5	3055
Q96BT3	54
Q96BT7	152
Q02297	8
O00712	962
P48147	5519
Q9BQG2	768
Q99518	60
Q9BQG0	2901
Q4VC31	659
Q6PL24	521
Q96J65	4
Q96RU3	1719
O00241	79
Q9NYU1	441
Q9NYU2	6941
F5GXE4	928
A4D1P6	903
Q96DR7	420
Q96L58	41
P55145	2029
P50395	14499
Q96DR8	176
Q96L50	23
Q9Y5A7	1361
Q9Y5A6	62
Q8NDW4	26
Q13643	1344
C9JH25	11
Q13641	356
P40305	14
P40306	1467
Q9UBM1	2
Q6XQN6	3303
Q02127	461
B4DKF8	123
P62380	137
P61165	24
P21673	3
Q96CN9	1282
P06239	264
Q6ZRV2	4758
Q96KM6	50
Q92917	1667
Q96CN7	2534
P49448	5939
Q96N77	16
Q96CN4	327
Q03188	741
O15069	18
O15068	598
Q5RKV6	539
Q8IYL2	36
P33552	263
O15062	45
Q9H6R6	29
P10646	91
Q9H6R0	302
O15066	1210
P10643	2598
Q9H6R3	1608
E7EQD6	898
H0YD26	210
P07093	1009
O15063	117
Q8NAP3	16
Q9NZM5	103
Q9HC62	85
Q9NZM3	1857
P16422	968
Q9NZM1	10376
Q01968	1331
Q14CS0	319
A6NNZ2	16397
Q8N5G2	405
Q8N5G0	97
Q03989	33
Q96NH3	65
Q06609	36
P16520	372
Q8NCJ5	187
Q9Y296	823
Q9Y297	116
Q9Y294	321
Q9Y295	2015
P29084	488
B4DY52	170
H3BPE1	17807
Q6ICB4	61
O15061	3106
Q6ICB0	85
Q6IA17	264
P30281	14
P49795	68
Q15937	86
P49796	624
P49790	4511
P49792	12066
B0I1T2	1809
P23246	10399
Q969I3	74
P51116	1931
P51114	2969
Q86VD7	21
P35070	2
Q587I9	95
Q9Y2T4	431
Q9Y2T7	1317
O60547	1935
O60812	3259
Q5T7V8	413
Q9Y2T3	17
Q9Y2T2	1575
O43633	1162
O60548	34
Q7L5N7	511
Q02363	3
E7ERK9	1745
P78356	974
J3KPV0	422
Q8TB52	508
J3KPV7	2127
Q9P0L0	2423
P31483	1551
Q9P0L2	550
Q32MZ4	5248
P49788	271
P03897	2
Q92738	365
O75420	838
P35251	1403
P35250	1042
O75425	1
Q08170	1761
O75427	1038
Q8IY17	766
Q8IY18	973
Q9H777	16
Q92733	1802
Q9H772	87
Q9H773	1576
Q92736	64
Q8IU68	1
M0QXZ5	690
O60609	13
Q00765	681
Q6IQ19	122
O60603	135
Q5T2D3	27
H0Y6E7	3802
Q5T5P2	6271
Q8TEA1	368
C9JM79	1111
P20138	6
O00505	1880
P17927	13
Q99612	31
P20132	329
Q99613	4926
P01009	25809
P01008	5301
Q01581	2102
Q8N2R0	13
P02763	7267
B4DLH4	2289
Q9BXB5	961
Q8IYD1	3527
O75398	107
Q13009	370
O75391	693
Q8IYD8	15
O75396	2508
O75394	197
Q8IVD9	1392
Q8TE68	1715
Q9Y6I3	1801
Q9Y4F1	2866
Q9Y4F3	547
Q99075	1
Q9Y4F5	2616
Q9Y4F4	8
Q6PJP8	18
Q5JPB2	13
Q7Z6J9	336
P46013	2614
Q66K89	96
Q8WVD5	93
Q32P51	9487
Q8WVD3	53
P46019	1016
Q2M218	45
Q9NPG3	524
Q9BSD7	1269
O94979	8303
P42772	125
P42773	181
Q9NPG4	26
O94972	63
O94973	4485
P68543	52
Q9NPG8	12
Q5T3J3	320
P30154	2865
Q8WXH0	6979
Q8TC07	1930
H0YAC7	964
Q8TC05	236
P28838	9978
Q9UGC7	104
Q6NT76	75
Q9UI09	1218
Q8N4X5	1211
A6NMK8	1
Q5T7W0	477
Q8WV16	10
Q8WV19	2
Q6UWS5	13
J3KS54	2377
E7EWM2	521
Q96DV4	968
Q6NUI6	10
A4FUP2	184
P19447	552
P26651	85
Q96LZ7	130
Q96LZ2	5
Q16514	187
Q16512	1423
Q16513	2360
Q14004	1506
Q14005	1906
Q14008	6607
O77932	73
Q8WY22	16
P19224	10
Q8NCW0	1
Q9BTC0	3263
Q8NCW5	3538
Q9NUT2	162
Q6Y288	458
Q8NCW6	7
Q9BUV0	2
Q9HA77	858
Q9Y3A5	1534
Q9HA72	9
E7EV07	7
Q9UFC0	907
P07197	1114
O14939	99
Q9NPB8	573
O43325	146
O43324	794
O14933	2068
I3L4J1	1372
P49407	2506
P49406	916
Q6PEV8	23
Q96KF7	8
Q8IZJ3	1
Q8IZJ1	77
H7C2K6	1066
Q7Z7F7	304
Q7Z7F0	400
P56937	339
Q3SY17	6
Q9Y2K9	19
B1AH90	71
Q9Y2K6	219
Q9NWR8	25
Q9Y2K1	193
Q9Y2K3	18
E7EX88	184
Q96MT3	11
Q9UHY7	2230
Q9UHY8	332
O14681	112
O14682	26
O14684	84
Q8N1P7	2
O14686	2263
B1AN89	400
H7C2C7	775
E9PQT8	473
Q9UNE7	2694
Q9UNE2	3
Q9H0S4	997
Q6FHJ7	1012
O60610	5489
Q00973	2
Q6P6B7	290
Q86SZ2	517
Q00978	831
Q6P6B1	34
Q7Z2T5	1501
Q9BYM8	1097
F8VXH9	3786
P50895	1606
P50897	3938
Q63HM9	7
P61550	2
P49895	7
Q8IY21	2567
Q63HM1	241
I3L3P1	88
Q99811	131
O95757	3939
D6RIF6	870
O95751	1
O95750	3
Q8WWC4	427
Q06730	41
P01825	686
P01824	157
Q13588	153
Q96GI7	14
Q15517	6
Q9BWH6	424
H0Y9M9	517
Q9BWH2	335
Q8NHV4	900
H3BRF9	1425
Q6YP21	1198
Q8NHV1	389
Q9H5H4	585
O60243	25
Q9C0J9	95
Q9C0J8	1800
Q10587	6
Q10586	51
Q10589	166
Q10588	23
M0QZM1	7514
M0QZM0	260
Q68DK2	649
Q96J42	52
O00268	888
O00267	3888
O00264	1448
O43374	312
P08865	6414
P33947	17
Q9H2K2	33
Q9H2K0	378
Q7Z3Z0	266
C9JWJ8	1062
Q9NQ55	279
P56559	17
Q9NQ50	632
Q9NV23	16
P81408	5
P56557	1
P56556	941
Q9H9E1	1
