Uniprot_AC	nb_obs
Q8TBF2	5
Q5H9L2	9
P20930	15
P20936	22
P30613	170
P23919	51
Q6ZNW5	1
Q9NXR8	1
Q9C0H2	1
C9JFK9	102
H0YIV9	20
Q00535	9
Q00534	29
Q07960	243
Q9NXR7	10
Q96J66	4
O00244	20
Q86U70	2
Q9UBM1	1
Q9UBM7	8
Q6UXI9	6
Q13835	1
P40424	14
P40429	105
Q7Z3T8	3
Q13838	303
P03891	22
P48960	4
Q86WA6	31
P02768	22429
P05386	97
P05387	130
P02760	114
P05388	372
P02765	203
P02766	122
Q9UJ70	148
Q9UQ03	2
Q15165	23
O15254	7
O15258	16
P29401	310
Q9H0S4	7
P39023	141
Q9H992	1
Q01118	9
Q96CS3	27
Q5W111	3
Q9P215	1
P62807	1500
P62805	1992
Q4G0I0	2
Q8IY95	6
Q9Y6E2	80
Q5T481	16
Q5TZA2	25
P16402	600
Q09161	48
Q09160	30
P09001	14
P53708	11
P60520	9
Q5DJT8	1
Q9UKZ1	2
P53701	13
Q14568	955
Q86TG7	6
Q8NFQ8	3
Q6P1A2	14
Q9UHF1	3
P41218	1
P41219	312
P41214	2
P41212	2
Q86VY4	4
Q92520	14
Q92523	775
Q92522	56
Q7L8L6	3
Q02878	155
Q9HAP6	4
P27448	9
P86397	3
P07205	390
O75165	55
O75167	1
Q96G23	5
Q5VZL5	7
Q96G21	2
P06865	20
Q9BWU0	9
Q9BWU1	1
Q13232	33
Q9HCE5	6
Q5TBA9	10
Q71UM5	28
Q9NXR1	7
P10915	14
P10916	2820
Q6UW02	6
Q15768	3
P23743	1
H7C482	107
Q8WUF8	9
Q8WUF5	28
O00712	26
P48147	276
Q9BQG0	28
Q4VC31	15
Q96RU3	2
Q96RU2	59
Q6VMQ6	4
Q9NYU1	6
Q9NYU2	136
A4D1P6	4
P55145	57
P50395	571
Q9Y5A7	5
Q13643	7
Q9Y5A9	11
P40306	1
Q6XQN6	59
Q02127	9
P62380	2
Q9BQ15	2
Q96CN9	2
Q96KM6	3
Q96CN7	276
Q03188	2
O15068	1
Q5RKV6	13
P33552	1
P10644	264
P48556	56
P45877	23
O15067	82
P60891	92
Q9H6R3	57
O15063	1
Q9NZM5	1
Q9NZM3	1
P16422	16
Q9NZM1	73
P02549	115
A6NNZ2	1696
Q8N5G0	9
Q9Y291	6
Q9Y296	7
Q9Y294	6
Q9Y295	35
H3BPE1	264
Q6ICB0	2
P49796	1
P49790	19
P49792	60
P51116	40
P51114	62
Q9H7L9	4
Q587I9	2
O60814	1494
O60547	11
O43633	12
Q9Y2T2	14
Q9HCD6	1
A6NDT1	102
J3KPV7	139
Q9P0L0	151
P31483	16
Q9P0L2	6
Q32MZ4	24
P03897	20
P35251	11
P35250	8
Q08170	34
O75427	2
Q92733	3
Q92734	65
Q9H773	26
Q92736	1499
Q00765	61
Q5T5P2	19
O00506	11
O00505	73
O00501	1
E3W994	18
P01009	2580
P01008	489
Q01581	9
P02763	264
Q9BXB4	4
Q9BXB5	3
Q8IYD1	33
O75391	7
O75390	970
O75396	118
O75394	2
Q8IVD9	13
D6RHY3	30
P46013	3
P46019	9
Q9NPG3	8
Q9BSD7	35
O94979	90
P42773	2
O94973	134
Q8WXH0	111
P28838	513
Q9UGC7	1
Q04609	3
Q9UI09	233
Q8N4X5	6
Q5T7W0	4
J3KS54	41
P19447	1
Q96LZ7	1
Q16512	17
Q16513	31
Q14004	9
Q14008	87
Q8WY22	5
Q8NCW5	107
Q9NUT2	13
Q6Y288	15
Q9HA77	31
Q9HA72	1
Q9UFC0	2
O14936	22
O43325	4
O43324	42
O14933	1
I3L4J1	24
P49407	27
P49406	27
Q7Z7F7	5
Q7Z7F0	1
Q3SY17	1
Q9Y2K3	638
E7EX88	32
Q96MT3	4
Q9UHY7	34
O14681	2
O14683	2
E7EX87	55
Q9UNE7	13
Q86XA9	2
A8MTT3	2
Q86SZ2	3
Q7Z2T5	6
Q9BYM8	2
Q7L2H7	64
P50895	366
P50897	54
Q63HM9	98
P35240	11
Q13586	6
Q8WWC4	17
O95758	18
Q6UY14	1
Q9BWH6	1
Q9BWH2	44
Q8NHV4	4
Q6YP21	7
Q8NHV1	2
O75069	1
Q9C0J8	4
Q10589	9
Q10588	1
M0QZM1	218
O00268	1
O00267	21
O00264	67
P08865	408
P33947	7
Q9H2K0	7
Q9NQ55	1
Q9NQ50	12
P56557	2
P56556	149
O95340	15
O95347	19
Q13190	6
Q9H0Q3	7
P10451	2
Q9H0Q0	5
P60174	1946
Q96HJ9	25
Q8NBI6	2
F8W543	122
Q12983	3
Q12982	1
Q12981	5
Q9Y608	26
P29466	5
Q9Y605	2
Q12988	59
H0YA55	17061
Q8N6M3	22
Q8N6M0	6
Q53GS7	1
P28331	2512
P62829	68
Q96CU9	9
P62820	197
Q5XPI4	23
P62826	251
P18615	10
P51858	89
P51857	2
P00540	1
P02743	118
P02741	14
P02747	23
P02746	38
P02745	2
Q9Y6G5	5
P02749	242
P02748	158
Q9Y6G3	2
O95967	34
Q9UKX7	4
Q9UKX2	12135
Q9UKX3	7409
A6NCE7	8
P43490	272
Q9BZG1	38
Q9H987	524
P35625	7
Q9UHD9	48
Q9UHD8	189
Q9UHD2	5
Q9UHD1	18
Q7Z5G4	2
Q92506	63
Q92504	3
P08195	12
P23378	14
P17480	56
P0CB43	5
Q96HC4	1576
Q58EX2	6
Q13217	16
Q13017	5
Q99685	59
P14618	4911
Q9BWW4	4
P63010	227
Q8IUG5	44
Q13449	6
Q6UW63	8
Q96BR5	3
Q6UW68	29
Q15746	150
Q86X76	51
O15439	1
Q9NYK5	25
Q99538	16
Q99536	136
Q9BQE3	4109
Q9BQE4	5
Q9BQE5	20
P41091	134
Q96RS6	16
P40855	16
P21941	33
Q9NS69	60
B0YJC4	5662
Q9NX18	6
Q9NX14	59
P16190	55
Q16891	2091
Q16890	1
P13489	345
Q9H6L2	1
Q9HD34	9
Q14839	130
Q9HD33	20
O14745	19
O14744	93
Q9P2D3	3
P22415	1
P15259	840
P50402	118
P55160	4
O00305	2
P10599	61
Q14566	94
Q9BR61	2
P52803	1
Q5JTH9	10
P55290	238
Q96C01	37
Q96C03	1
Q9P2P5	3
Q9P2P1	1
Q86WX3	1
Q86VF7	206
Q969X5	27
Q6P5R6	1
O60830	13
O60831	16
O60832	33
Q00169	30
Q9Y2V7	7
Q9Y2V2	47
Q9P0J0	212
Q9P0J1	57
Q9P0J7	6
P29144	111
Q8NBJ7	7
Q8NBJ5	31
O75400	14
Q6IQ32	1
P01024	1815
P01023	737
P17677	16
P17900	9
Q9Y4D1	20
Q9Y4D7	5
Q9H8G2	1
Q9BRQ6	17
Q8N300	3
P43003	12
Q92974	38
P43007	2
Q6AI08	6
Q9H2P0	26
Q8WVF1	1
Q8WVF2	2
Q92759	1
Q92979	6
Q02447	5
Q99942	2
Q99943	6
Q9BSF4	1
Q9NPI1	3
Q5RI15	39
Q9BSF0	1
Q9Y3C6	41
Q66LE6	42
Q96JJ3	12
Q96JJ7	26
Q9UI26	27
P04179	545
Q7Z6J6	4
Q05397	29
Q14249	17
Q14247	118
Q14240	265
Q14241	3
Q8IWX8	16
P24928	37
P19429	1210
Q8IWX7	509
P15735	2
P07858	153
Q86YB7	14
O94952	4
O94953	1
Q14061	44
Q86YB8	3
Q86XZ4	2
P16298	40
H0YDN1	218
Q68E01	19
Q8NCU4	1
Q9GZR7	4
P15088	41
Q16795	869
O14910	15
Q16798	87
P62280	91
O43347	1
P25786	191
P25787	178
P25788	94
P25789	155
O60220	12
Q8IZH2	3
Q75T13	4
P67936	1304
P11413	60
Q9BUT1	62
P63220	81
P11142	3484
Q9BUT9	1
Q86SX6	44
Q16134	834
P80404	167
Q96GK7	65
O95777	26
Q13564	124
Q8WWA0	1
Q13563	1
Q13561	146
Q9BWJ5	10
Q8NE62	5
P01909	33
O00203	30
O00204	2
P01903	72
Q9H2M9	27
Q96AQ8	3
Q7Z333	1
O95365	1
O95361	1
Q96AQ6	12
O95363	3
Q9Y625	25
Q9Y624	9
Q9Y623	10434
Q9BV79	40
P24311	5
P07686	28
Q9C040	16
Q00577	71
Q12965	6
Q9BRD0	1
Q9NXV6	20
Q12962	2
Q96CW5	15
Q9P253	7
P62841	41
P62847	77
Q6NZ67	4
Q9P258	66
Q9H3F6	1
Q9Y6Y0	2
Q9Y6Y8	29
Q9UKV8	39
Q9GZM5	1
Q9GZM7	215
Q9UKV3	64
P35606	147
P46199	24
P35609	14021
P42566	17
Q8NFU3	11
Q6P1M0	9
P39060	219
P78537	1
O60884	92
Q9Y6J0	1
O95239	1
