Uniprot_AC	nb_obs
P30613	1306
B1AHD1	66
P20930	3
P20933	14
P20936	34
Q8TBF2	1
P23919	49
Q6ZNW5	1
Q9NXR8	1
Q9C0H2	2
H0YIV9	66
Q9C0H9	8
Q00534	17
E9PN48	21
Q07960	132
Q9NXR7	17
Q96J66	7
O00712	3
Q96J65	4
F5H760	981
Q5H9L2	25
Q9UBM7	111
P40424	1
P40429	134
Q7Z3T8	3
Q13838	354
Q9H2I8	2
P08842	3
P03891	5
P48960	8
P03897	7
P02768	50490
E7EVL8	456
P05386	218
P05387	584
P02760	132
P05388	704
P02765	176
P02766	332
I3L200	2
Q9UJ70	185
Q15165	244
Q15166	362
O15254	45
P59282	5
Q96QG7	2
P29401	1426
P29400	32
Q9H0S4	13
P39023	353
Q96CS3	36
Q5W111	2
P62807	4859
P62805	4513
Q92835	12
Q4G0I0	1
Q9BVC4	4
Q9BZG1	63
O43933	27
Q9BZG8	27
Q9Y597	2
Q09161	47
Q09160	134
P09001	5
P04035	17
P60520	7
Q9UKZ1	3
P53701	12
Q14568	1298
Q14562	4
Q86TG7	14
Q8NFQ8	56
Q6P1A2	103
Q9UHF1	4
P41218	38
P41219	143
P41214	4
Q92526	85
Q92520	40
Q92522	87
Q7Z5L2	2
Q7L8L6	1
Q9BQP7	1
Q02878	441
P27449	7
P27448	17
P86397	1
Q96HA9	20
O75165	96
Q96G23	97
Q96G21	2
P06865	57
Q96G25	1
Q9BWU0	6
Q8TEH3	5
Q13232	40
Q9HCE5	3
Q14671	3
Q00535	18
P19075	5
P10916	31
Q6UW02	53
P23743	4
O95528	1
Q8WUF8	2
Q5MY95	2
O00244	68
P48147	169
B7Z493	15
Q99519	11
Q99518	8
Q9BQG0	83
Q4VC31	44
Q96RU3	4
Q96RU2	2
Q9NYU1	27
Q9NYU2	627
A4D1P6	23
P55145	176
P50395	1554
Q9Y5A7	9
Q13643	3
Q9Y5A9	21
P40306	56
Q9UBM1	15
Q6XQN6	483
Q02127	29
Q5XXA6	9
Q8TCC7	1
Q96CN9	3
Q6ZRV2	5
Q96KM6	3
Q92917	4
Q96CN7	206
Q96N76	368
Q03188	1
Q5RKV6	9
Q9H6R4	29
P10644	114
P48556	65
P45877	28
O15067	113
O15066	1
P60891	203
Q9H6R3	280
P07093	1
Q9NZM5	1
Q9NZM4	1
Q9NZM3	12
P16422	21
Q9NZM1	153
P02549	778
A6NNZ2	2233
Q8N5G2	4
Q8N5G0	19
Q06609	1
Q9Y291	2
Q9Y296	16
Q9Y294	10
Q9Y295	44
H3BPE1	704
Q9NUQ3	3
Q6ICB0	1
Q99952	1
P49796	1
P49790	47
P49792	135
B0I1T2	20
P51116	14
P51114	28
Q86VD7	43
Q587I9	12
Q9Y2T7	144
O60547	27
O60812	388
O43633	34
Q9Y2T3	203
Q9Y2T2	25
J3KPV7	1141
Q9P0L0	263
P31483	13
Q32MZ4	207
O75420	2
P35251	16
P35250	9
Q08170	90
O75427	1
Q8IY17	38
Q8IY18	3
Q92733	6
Q92734	111
Q9H773	11
Q92736	9
Q00765	86
O60603	13
Q5T5P2	34
Q99614	34
O00506	22
O00505	45
E3W994	17
P20132	96
P01009	2408
P01008	351
Q01581	557
P02763	527
Q9BXB4	9
Q8IYD1	69
P08034	10
O75391	11
O75390	241
O75396	305
O75394	3
Q8IVD9	4
Q9Y4F1	115
Q9Y4F3	1
Q9Y4F5	1
P46013	105
P46019	81
Q9BSD7	25
P42773	1
P42771	3
O94973	367
H0YAC1	21
Q8WXH0	193
Q9NXE4	4
