Uniprot_AC	nb_obs
Q8TBF5	1
Q8TBF4	1
Q9NQ79	1
Q9Y6C9	26
Q8TBF2	7
Q5H9L2	11
P20930	1
P20933	21
P20936	13
P23919	9
Q6ZNW5	2
Q9C0H2	2
H0YIV9	5
Q00535	18
Q00534	8
Q00537	5
Q07960	149
Q9NXR7	12
O00244	5
Q9H2V7	1
G5EA28	2
Q6UXI9	11
P40424	4
P40426	1
P40429	74
Q7Z3T8	6
Q13838	176
P08842	3
P48960	6
Q86WA6	10
P02768	9557
P05386	63
P05387	77
P02760	110
P05388	134
P02765	113
P02766	188
Q7L266	12
Q9UJ70	82
Q9UJ72	5
Q15165	4
Q15166	6
O15254	2
O15258	18
P29401	330
P29400	46
Q9H0S4	8
P39023	167
Q9H992	1
Q01118	8
O43399	48
Q96CS3	23
Q9P219	2
Q5W111	11
P62807	411
P62805	399
Q92835	30
Q4G0I0	2
Q9H3M7	1
Q8IY95	5
Q9Y6E2	23
O43933	6
Q9BVC6	28
Q9Y592	4
Q09161	46
Q09160	28
P09001	8
P60520	5
Q9UKZ1	2
Q14568	267
Q14562	7
Q14566	10
Q8NFQ8	8
Q6P1A2	6
Q9NRH2	2
Q9UHF1	2
Q9H115	17
P41218	31
P41219	150
Q9UHF7	1
P41214	9
Q86VY4	1
Q92520	43
Q92522	57
Q7Z5L2	1
Q7L8L6	3
Q5T9C2	1
Q53HV7	2
Q02878	180
Q9HAP6	4
Q96PM5	1
O75165	26
Q96G28	3
Q96G23	2
Q5VZL5	3
Q96G21	1
P06865	38
P11597	2
Q9BWU0	14
Q8TEH3	1
Q13232	23
P04118	139
Q13231	10
Q71UM5	41
Q9C0H9	1
P19075	6
Q9NXR1	5
E9PN48	9
Q6UW02	23
P23743	9
Q8WUF8	6
Q8WUF5	18
O00712	3
P48147	99
Q9BQG2	4
Q9BQG0	43
Q4VC31	11
Q6PL24	7
Q96RU3	14
Q96RU2	2
Q6VMQ6	2
Q9NYU1	10
Q9NYU2	408
A4D1P6	11
P55145	68
P50395	267
Q9Y5A7	25
Q13643	16
Q9Y5A9	8
P40306	30
Q6XQN6	30
Q02127	4
P62380	3
