Uniprot_AC	nb_obs
Q5MIZ7	2
P30613	26
Q5H9L2	6
P20930	4
P20933	21
P20936	28
Q8TBF2	15
P23919	27
Q6ZNW5	8
Q00535	14
Q00534	5
Q07960	310
Q9NXR7	22
O00244	6
O00241	4
Q13835	2
P40429	1
Q7Z3T8	10
Q13838	122
Q9H2I8	1
P08842	2
P48960	19
Q86WA6	6
P02768	4811
P05386	2
P05387	1
P02760	36
P05388	19
P02765	42
P02766	62
Q7L266	4
Q9UJ70	171
Q15165	21
O15254	3
O15258	11
P29401	704
Q9H0S4	5
P39023	1
Q96CS2	1
Q96CS3	1
Q9P219	4
P62805	32
Q92835	244
Q9H3M7	6
Q8IY95	1
Q9BZG1	8
Q09161	59
Q09160	82
P53708	16
Q9UKZ1	9
P53701	5
Q14562	4
Q14566	12
Q8NFQ8	7
Q6P1A2	7
Q9H115	8
P41218	87
P41219	171
Q8N1K5	2
Q92520	14
Q92522	36
Q02878	1
P27449	1
P27448	9
Q96HA8	1
P07204	2
O75165	96
O75167	2
Q96G23	3
P06865	49
Q96G25	1
Q9BWU0	2
Q13239	1
Q8TEH3	6
Q13232	9
Q13231	17
Q71UM5	3
Q15762	7
Q6UW02	18
P23743	43
Q8WUF8	1
P48147	102
Q99519	3
Q9BQG0	15
Q4VC31	5
Q6PL24	7
Q96RU3	81
Q96RU2	1
Q9NYU1	28
Q9NYU2	427
A4D1P6	12
P55145	28
P50395	419
Q9Y5A7	16
Q13643	3
Q9Y5A9	19
P40306	64
Q6XQN6	54
Q02127	5
P62380	2
Q96CN9	9
P61160	265
Q96CN7	31
Q03188	3
Q5RKV6	1
Q9H6R4	2
P10644	54
O15061	9
P45877	8
O15067	120
O15066	6
P10643	18
Q9H6R3	12
P07093	4
O15063	1
Q9NZM3	42
P07099	95
Q9NZM1	270
Q01968	7
Q8N5G0	1
Q8NCJ5	1
Q9Y296	18
Q9Y295	15
H3BPE1	754
Q6ICB0	1
Q6IA17	6
P49796	5
P49790	12
P49792	99
P51114	8
Q9H7L9	3
O60814	46
O60547	26
Q6NUQ1	1
Q9Y2T2	24
Q9P0L0	52
P31483	13
Q92738	1
P35251	3
P35250	2
Q08170	13
O75427	3
Q8IY18	13
Q92734	13
Q9H773	4
Q00765	24
O60603	5
Q5T5P2	9
O00506	19
O00505	42
P17927	29
P01009	840
P01008	139
Q01581	7
P02763	87
Q9BXB4	10
Q8IYD1	36
O75391	3
O75390	146
O75396	37
Q9Y4F9	10
Q8IVD9	4
Q9Y4F1	9
Q9Y4F3	2
Q5JPB2	1
P46013	1
P46019	6
Q9NPG3	4
Q9BSD7	7
O94979	118
P42773	3
O94973	224
Q8WXH0	659
Q8TC07	9
Q04609	19
Q9UI09	1
Q8N4X5	62
A2RUS2	3
P19440	3
P19447	6
Q96LZ7	7
Q16512	33
Q16513	4
Q14005	103
Q14008	87
Q8WY22	6
P08236	70
Q8NCW5	28
Q6Y288	8
Q9HA77	6
Q9UFC0	3
O14936	19
O43324	12
O14933	33
P04839	32
P49406	1
P56937	3
Q9Y2K7	2
Q9Y2K2	2
Q9UHY1	28
Q9UHY7	41
Q9UHY8	1
O14683	1
Q9UNE7	6
Q86SZ2	7
Q00978	7
Q7Z2T5	1
Q9BYM8	1
Q7L2H7	40
P50895	3
P50897	80
P35240	9
Q13586	14
Q8WWC4	3
Q13588	3
O95758	49
Q15517	1
Q9BWH6	1
Q9BWH2	14
Q8NHV4	1
Q6YP21	22
Q8NHV1	17
Q9C0J8	1
Q10589	9
Q10588	3
P01920	14
O00267	14
O00264	25
P08865	25
Q9H2K0	3
Q7Z3Z0	35
Q9H2K8	17
E9PL57	8
O95340	23
O95347	57
Q13190	6
Q9H0Q0	35
P60174	464
Q9NQH7	3
Q12982	2
Q12981	4
Q9Y608	28
P29466	91
Q9Y606	12
P28482	95
P28332	10
P28331	19
Q9UIB8	5
P62829	3
Q96CU9	1
P62820	104
Q5XPI4	33
P62826	150
P18615	1
P51858	75
P02743	64
P02741	17
O43913	1
P02747	12
P02746	25
P02745	14
Q9Y6G5	18
P02749	50
P02748	58
Q9BZE4	2
Q9UKX7	16
A6NCE7	2
P43490	130
Q9H1U4	1
P35626	33
Q9NRV9	59
Q9UHD9	17
Q9UHD8	206
Q9UHD2	36
Q9UHD1	32
Q92506	11
Q92504	1
P08195	54
P23378	1
P17480	55
P0CB43	8
Q96HC4	94
Q58EX2	17
Q6KCM7	1
Q13217	25
O75182	1
Q99685	34
Q99683	33
Q5TBC7	2
P63010	287
Q6UW63	2
Q96BR1	2
Q96BR5	1
Q6UW68	3
Q15746	476
Q96BR9	1
Q86X76	16
P23769	1
Q9NYK5	2
Q99538	73
Q99536	133
Q9BQE3	436
Q9BQE4	5
Q9BQE5	12
P41091	53
Q96RS6	14
P40855	5
Q9NX14	1
P16190	93
Q16891	19
P12755	1
P13489	102
Q9HD34	1
Q14839	101
Q9HD33	1
O14745	108
P06127	3
Q96I24	39
Q9NZK5	40
P22413	39
P50402	4
P55160	207
Q96IK1	1
P10599	52
Q86TG7	1
Q9BR61	1
Q5JTH9	3
P55290	1
Q96C01	2
Q3T906	5
O60831	1
O60832	9
Q674X7	5
Q00169	85
Q9Y2V7	11
E7ERI8	24
Q9Y2V2	13
Q9P0J1	14
P29144	165
Q8NBJ7	37
Q8NBJ5	62
O75400	16
Q02880	128
Q7LDG7	7
O00522	1
P01024	1189
P01023	844
P17900	16
E7EQM6	1
Q8TCE6	6
Q9Y4D7	10
O94903	41
Q9Y4D8	2
Q8IYJ3	9
Q92974	32
Q9H2P0	7
Q92759	2
Q9H2P9	1
Q9NPI6	2
Q9BSF0	1
Q8TC76	1
Q66LE6	7
Q96JJ3	60
Q96JJ7	39
P18136	42
Q9UI26	9
P04179	274
Q7Z6J4	22
Q05397	17
Q05823	7
Q14247	48
Q14240	156
Q8IWX8	10
P24928	74
P15735	1
P07858	153
Q96SQ9	12
O94952	1
Q14790	20
Q14061	7
Q86YB8	6
Q9GZR7	10
Q16795	2
Q16798	7
Q16799	69
P62280	7
O14917	1
P25786	84
P25787	74
P25788	47
P25789	59
O60220	1
O60229	6
Q8IZH2	43
P67936	200
P11413	128
Q9BUT1	26
P63220	4
P11142	1168
Q86SX6	5
Q16134	36
A6NJW9	1
Q8TBB5	1
P80404	15
Q15532	2
Q96GK7	13
Q7Z591	2
Q13568	1
O95777	3
Q13564	26
Q13561	101
Q9BWJ5	9
P01909	16
O00203	95
P01903	58
I3L398	208
Q9H2M9	23
Q9BYK8	21
Q96AQ6	4
O95363	5
Q9Y624	24
Q9BV73	5
Q9BV79	7
P07686	65
Q9C040	17
Q00577	26
Q12965	14
P43304	137
Q9NXV6	26
Q96CW5	2
Q9P253	39
P62841	7
P62847	4
Q6NZ67	2
Q9P258	43
Q9H3F6	1
O60739	9
Q9Y6Y8	44
Q9GZM8	1
Q9UKV8	91
Q9UKV3	31
P35606	214
P46199	7
F8W835	9
P42566	57
Q8NFU3	5
Q6P1M3	3
P39060	65
Q8TDB6	23
P78536	4
B3KR12	4
Q92569	10
Q6ZMZ3	52
Q05707	455
Q92562	1
P52566	347
P52564	23
P52565	163
P42694	2
P42696	1
P57088	9
Q495W5	1
Q8WU76	2
Q8WU79	25
Q96HE7	45
Q9Y3S1	8
P08311	8
Q9H254	15
Q9H257	4
P08319	43
Q8N9Z2	1
P08670	1676
Q8TED1	2
P07992	1
O43598	23
P07996	558
P07998	1
O43592	23
A5PLN9	5
P40121	103
O95563	1
P40123	14
Q96BP3	8
Q9BQC3	1
Q86X55	16
O43818	1
Q96RQ9	1
K7ENF0	5
Q96RQ3	9
Q8N3U4	85
Q9NQP4	4
Q8IUI8	23
Q13177	141
P07333	35
P07332	109
P07339	294
P61764	16
P61769	45
P69891	211
P69892	216
Q86WJ1	8
P10606	5
Q9NZI7	7
Q9HD15	5
P62072	3
P62070	17
Q96II8	4
Q9UJV9	2
Q9HBR0	1
Q9NUM4	2
Q8NCN5	65
Q5JTJ3	6
Q96TA1	80
Q9P2R3	99
Q96C23	30
Q9ULD2	2
Q9P2R7	68
Q6P3X3	2
P51153	45
P51151	19
P51157	5
Q9BTU6	28
Q9Y2P8	1
Q9UMX0	19
Q9UMX1	1
Q9UMX5	10
Q13795	2
Q13797	67
Q13790	1
Q9Y478	5
Q9NVU7	2
Q00722	146
P02461	4
Q9Y3L5	19
P78406	19
P23142	8
Q9Y3L3	51
P17655	144
P05204	16
P14384	1
Q9UM54	3
P01042	73
Q6PJ69	2
Q15025	2
Q15024	3
Q15027	22
Q15021	1
Q15020	38
Q86V81	25
O15173	19
P09693	4
Q8TCG2	1
Q3V6T2	51
P62987	216
P34741	2
Q9BVG4	15
Q92954	8
P42229	76
Q99963	2
Q99969	1
Q6UX53	8
P42224	525
P42226	52
P22234	31
Q01459	19
P04150	4
P26927	1
Q96JH7	31
O75689	19
O75688	28
Q9H081	3
Q9H082	7
Q9H8E8	1
Q8N584	1
P19404	2
P02808	3
Q6NUM9	10
Q68CQ4	1
Q8N6R0	5
P54687	1
O14972	14
Q9NUP9	14
O14976	24
O14974	64
Q9NUP1	4
O14979	61
O95302	7
Q9GZP4	24
Q9H9A6	10
P49448	131
O75027	8
Q9H9A5	11
O75023	2
O75022	19
P49441	11
Q05519	8
Q9HCU5	7
P11387	12
P11388	33
Q96PP8	112
Q96PP9	69
Q9UNA1	2
Q13405	2
Q13404	52
Q7Z2X4	1
P05787	101
P05783	46
P11169	12
P63208	14
P11166	12
P01861	356
P01860	578
Q96GE6	1
P25311	39
Q13542	1
Q13546	14
Q13547	50
Q5T750	1
O00221	2
Q96J01	1
Q96J02	5
Q9UBC2	64
P50148	37
Q96BM9	63
P24557	91
P33908	8
Q6ZS17	7
P18433	25
Q5QJ74	2
P10415	3
Q6K0P9	13
Q5VWZ2	26
P10412	121
P60896	1
P48556	49
P29317	4
P35998	80
