Uniprot_AC	nb_obs
Q8TBF5	20
Q8TBF4	31
Q5MIZ7	180
P30613	738
Q5H9L4	165
Q5H9L2	732
P20930	493
P20933	626
P20936	527
P40617	47
Q8TBF2	139
Q15573	20
Q15572	14
P23919	497
Q8NHX4	45
Q6ZNW5	159
Q9C0H2	2
Q9C0H5	17
Q9C0H6	105
Q00535	440
Q00534	188
Q00537	112
Q00536	154
Q9NXR7	204
Q6UXI7	13
O00244	252
Q86U70	21
Q9UBM1	79
A8MTA8	37
Q6UXI9	51
Q13835	203
A0AVF1	480
P40424	81
P40425	19
G3V3A5	12
P40429	837
Q7Z3T8	211
Q13838	3501
A6H8Z2	50
Q9H2I8	22
P08842	26
P03891	23
P48960	39
Q9H6Q4	79
P02768	68405
P05386	425
P05387	879
P02760	503
P05388	1897
P02765	1126
P02766	2418
Q7L266	1768
Q9UJ70	1291
Q9UQ03	53
Q15165	927
Q15166	298
Q9H061	457
O15254	318
Q86WA8	66
Q8WVM8	2203
O15258	630
O15259	21
Q96QG7	438
Q86XA0	6
P29401	8549
P29400	45
Q86XA9	183
P39023	2120
Q01118	50
Q96CS2	45
Q96CS3	1215
Q9P219	17
Q5W111	502
Q96CS7	5
Q8N6K0	31
P62805	7532
Q92830	2
Q9H3M9	81
Q4G0I0	31
Q969K3	36
Q8IY95	149
Q9BZG1	620
Q9Y6E0	559
O43933	359
Q9BZG8	87
Q9Y597	21
Q9BVC6	181
Q9Y592	24
P01236	39
Q9NWM8	22
Q2NKQ1	25
P09001	74
P53708	10
P04035	327
P60520	272
Q9UKZ1	223
P53701	209
Q14568	11774
Q14562	273
Q8WYB5	54
Q14566	986
Q14565	86
Q562L6	3835
Q6P1A2	168
Q9NRH1	94
Q9NRH2	13
Q9NRH3	871
Q9UHF1	24
P58335	26
Q9H115	503
P41218	231
P41219	2504
P41214	143
Q86VP1	108
P41217	8
Q9UHC6	3
P41212	3
Q86VY4	1696
Q92526	3415
Q92521	15
Q92520	354
Q92523	1408
Q92522	417
Q9Y3E0	233
Q92597	1999
Q7L8L6	75
Q8N5F7	7
Q9H4P4	11
P23352	28
Q5T9C2	8
Q53HV7	47
Q02878	1241
Q9HAP6	221
P27449	229
P27448	203
Q96HA7	24
P86397	33
Q86XX4	4
Q96HA9	260
Q96HA8	85
O75165	1671
O75167	4
Q96G23	134
Q5VZL5	16
Q96G21	35
P06865	928
Q96G25	43
Q9BWU0	559
Q9BWU1	51
Q8TEH3	15
Q13232	327
P15923	5
Q13231	2
Q5TBA9	27
Q14671	114
Q9C0H9	2
P19075	27
Q9NXR1	62
Q07960	1450
Q6UW02	725
P23743	152
P59910	500
Q8WUF8	87
Q9H596	39
Q8WUF5	36
O00712	124
P48147	3749
Q9BQG2	132
Q9BQG0	329
Q4VC31	66
Q6PL24	143
