Uniprot_AC	nb_obs
Q96I99	1
Q9NQ79	12
O00622	1
P30613	29
Q9H0E2	14
Q7Z465	1
P20930	21
P40227	5
P20933	24
P13693	6
P16435	1
Q0VD83	1
P59665	20
P84077	127
Q96J84	22
Q01973	10
P09327	1
Q9BUF5	76
Q01974	12
Q9C0H2	26
Q07960	5
O00244	10
Q9BU40	1
O00241	68
Q9NZZ3	87
Q9H8L6	130
P0C0S5	22
Q13835	36
P07711	54
P02545	39
P17050	62
P02549	9
P40429	2
Q6PK18	17
O00391	349
P38571	3
P48960	4
P49788	2
P02768	32782
P04259	1117
P05386	7
P05387	5
P02760	6987
P05388	17
P02765	1369
P02766	300
P27930	1
Q9UJ70	7
Q9UJ72	15
P20618	5
P52272	1
A0AVT1	4
Q9NUQ9	8
P01703	56
P01700	75
P01701	28
Q08188	8
P01707	22
Q15366	6
Q15365	8
Q15363	3
O00401	2
P29401	17
P20810	3
O75436	2
P35241	219
O75438	1
P01127	2
P10319	16
A6NDG6	1
Q96CS7	1
Q6ZVX7	12
P62805	87
O60610	3
O60613	2
P17931	56
P17936	26
P43304	1
P06280	85
P13284	60
P21695	48
P01019	357
Q9BZG9	86
P01037	7
Q8N2S1	23
P01011	889
Q13011	4
Q16787	1
Q09160	11
Q13018	3
O75891	130
Q9UKZ9	3
P22352	108
P01215	2
O60763	1
P62714	4
P20039	7
Q15185	3
O75947	3
Q15181	8
P17844	6
Q9NPF0	4
P25774	3
B2RUZ4	1
B7WNR0	23306
P41217	5
Q92520	102
Q13126	3
Q9H9H4	37
O43790	90
O75094	2
O75095	2
O43795	16
P43490	15
P28827	4
P15428	9
Q562R1	348
Q14108	19
P68402	8
Q02878	10
P27449	4
Q96HA4	1
P16152	141
P16157	5
Q9Y5S2	1
Q16851	5
O75165	3
Q16853	1
P99999	24
P54760	64
P06865	75
P54764	13
O75367	11
P26641	14
Q99460	3
Q13231	4
O75368	10
O75369	59
P19075	1
P60709	1684
A6NI73	7
Q8NHG7	1
O14786	3
P40763	1
Q96RQ3	1
Q8WUF5	1
P24821	196
Q96CF2	15
P16083	24
Q99519	64
Q86YQ8	51
O60664	2
Q8NDA2	21
Q7Z7G0	10
Q16270	761
P61006	82
P55145	1
P36639	32
P50395	203
Q96FZ7	12
P49773	6
Q9BQ51	23
Q16186	1
P62140	23
Q6XQN6	4
O95633	6
P12429	65
Q9UPR5	2
P05937	91
O95159	2
P09923	6
