biosequence_name	is_covering	presence_level	probability	confidence	n_observations	norm_PSMs_per_100K	n_distinct_peptides	chromosome	genetic_locus	start_in_chromosome	end_in_chromosome	strand	relationship_phrase	reference_biosequence	represented_by_biosequence_id	group_number	seq_unique_prots_in_group	protein_group_seq_align_link	is_keratin	is_immunoglobulin	biosequence_description	organism_full_name
A0A075B6I4	C	canonical	  0.999	  0.000	316	  4.504	10								A0A075B6I4	1	4				nP20K IGLV10-54 NX_A0A075B6I4-1 Immunoglobulin lambda variable 10-54 isoform Iso 1 PE=1 CONCAT=1121	Homo sapiens
A0AVT1	C	canonical	  0.999	  0.000	3	  0.003	2								A0AVT1	5	5				nP20K UBA6 NX_A0AVT1-1 Ubiquitin-like modifier-activating enzyme 6 isoform Iso 1 PE=1 CONCAT=1570	Homo sapiens
A0FGR8	C	canonical	  1.000	  0.000	36	  0.043	22								A0FGR8	6	4				nP20K ESYT2 NX_A0FGR8-1 Extended synaptotagmin-2 isoform Iso 1 PE=1 CONCAT=1210	Homo sapiens
A0FGR8-2	C	canonical	  1.000	  0.000	47	  0.060	24								A0FGR8	6	4				nPvarsplic ESYT2 NX_A0FGR8-2 Extended synaptotagmin-2 isoform Iso 2 PE=1	Homo sapiens
A1A4S6	C	canonical	  0.999	  0.000	2	  0.002	2								A1A4S6	7	7				nP20K ARHGAP10 NX_A1A4S6-1 Rho GTPase-activating protein 10 isoform Iso 1 PE=1 CONCAT=1735	Homo sapiens
A1L4H1	C	canonical	  1.000	  0.000	2110	  1.694	39								A1L4H1	9	4				nP20K SSC5D NX_A1L4H1-1 Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D isoform Iso 1 PE=1 CONCAT=932	Homo sapiens
A2VDF0	C	canonical	  1.000	  0.000	141	  1.148	8								A2VDF0	11	9				nP20K FUOM NX_A2VDF0-1 Fucose mutarotase isoform Iso 1 PE=1 CONCAT=227	Homo sapiens
A5YKK6	C	canonical	  0.999	  0.000	71	  0.030	2								A5YKK6	15	4				nP20K CNOT1 NX_A5YKK6-1 CCR4-NOT transcription complex subunit 1 isoform Iso 1 PE=1 CONCAT=1065	Homo sapiens
A6ND91	C	canonical	  1.000	  0.000	14	  0.050	7								A6ND91	17	4				nP20K ASPDH NX_A6ND91-1 Putative L-aspartate dehydrogenase isoform Iso 1 PE=1 CONCAT=875	Homo sapiens
A6NDG6	C	canonical	  0.999	  0.000	14	  0.042	3								A6NDG6	18	1				nP20K PGP NX_A6NDG6-1 Glycerol-3-phosphate phosphatase isoform Iso 1 PE=1 CONCAT=242	Homo sapiens
