NX_A0A075B6H9-1	ENSP00000374817
NX_A0A075B6I0-1	ENSP00000374818
NX_A0A075B6I1-1	ENSP00000374819
NX_A0A075B6I4-1	ENSP00000374822
NX_A0A075B6I9-1	ENSP00000374830
NX_A0A075B6J1-1	ENSP00000374835
NX_A0A075B6J6-1	ENSP00000374842
NX_A0A075B6K6-1	ENSP00000374853
NX_A0A075B6P5-1	ENSP00000419353
NX_A0A075B6Q5-1	ENSP00000401707
NX_A0A075B6R2-1	ENSP00000410711
NX_A0A075B6S2-1	ENSP00000417637
NX_A0A075B6S4-1	ENSP00000418292
NX_A0A075B6S5-1	ENSP00000418903
NX_A0A075B6S6-1	ENSP00000418948
NX_A0A075B759-1	ENSP00000463419
NX_A0A087WSX0-1	ENSP00000374831
NX_A0A087WSY6-1	ENSP00000403672
NX_A0A087WSZ0-1	ENSP00000420285
NX_A0A087WTH1-1	ENSP00000477871
NX_A0A087WTH5-1	ENSP00000477875
NX_A0A087WTH5-1	ENSP00000478461
NX_A0A087WTH5-1	ENSP00000485125
NX_A0A087WUL8-1	ENSP00000478752
NX_A0A087WVF3-1	ENSP00000478426
NX_A0A087WXM9-1	ENSP00000488568
NX_A0A087WXS9-1	ENSP00000481258
NX_A0A087X179-1	ENSP00000483965
NX_A0A087X1C5-1	ENSP00000484065
NX_A0A087X1G2-1	ENSP00000484181
NX_A0A096LP49-1	ENSP00000485393
NX_A0A096LP49-2	ENSP00000456543
NX_A0A096LP49-2	ENSP00000485393
NX_A0A096LP55-1	ENSP00000485401
NX_A0A096LPI5-1	ENSP00000485629
NX_A0A0A0MRZ7-1	ENSP00000374803
NX_A0A0A0MRZ8-1	ENSP00000374812
NX_A0A0A0MRZ9-1	ENSP00000374824
NX_A0A0A0MS14-1	ENSP00000375030
NX_A0A0A0MS15-1	ENSP00000375034
NX_A0A0A0MT36-1	ENSP00000413304
NX_A0A0B4J1U3-1	ENSP00000374836
NX_A0A0B4J1U7-1	ENSP00000375002
NX_A0A0B4J1V0-1	ENSP00000375012
NX_A0A0B4J1V1-1	ENSP00000375016
NX_A0A0B4J1V2-1	ENSP00000375020
NX_A0A0B4J1V6-1	ENSP00000375045
NX_A0A0B4J1X5-1	ENSP00000394447
NX_A0A0B4J1X8-1	ENSP00000399826
NX_A0A0B4J1Y8-1	ENSP00000414456
NX_A0A0B4J1Y9-1	ENSP00000416201
NX_A0A0B4J1Z2-1	ENSP00000417961
NX_A0A0B4J2A2-1	ENSP00000463057
NX_A0A0B4J2D9-1	ENSP00000480959
NX_A0A0B4J2F0-1	ENSP00000482636
NX_A0A0B4J2F0-1	ENSP00000484893
NX_A0A0C4DH24-1	ENSP00000374791
NX_A0A0C4DH25-1	ENSP00000374805
NX_A0A0C4DH29-1	ENSP00000375004
NX_A0A0C4DH31-1	ENSP00000375014
NX_A0A0C4DH33-1	ENSP00000375019
NX_A0A0C4DH34-1	ENSP00000375021
NX_A0A0C4DH38-1	ENSP00000375035
NX_A0A0C4DH39-1	ENSP00000375037
NX_A0A0C4DH41-1	ENSP00000375039
NX_A0A0C4DH42-1	ENSP00000375041
NX_A0A0C4DH55-1	ENSP00000402914
NX_A0A0C4DH67-1	ENSP00000419211
NX_A0A0C4DH68-1	ENSP00000419300
NX_A0A0C4DH69-1	ENSP00000419598
NX_A0A0C4DH72-1	ENSP00000420361
NX_A0A0C4DH73-1	ENSP00000420576
NX_A0A0G2JS06-1	ENSP00000487241
NX_A0A0J9YWL9-1	ENSP00000488022
NX_A0A183-1	ENSP00000411070
NX_A0A5B9-1	ENSP00000417300
NX_A0AUZ9-1	ENSP00000281772
NX_A0AUZ9-2	ENSP00000405724
NX_A0AUZ9-3	ENSP00000393432
NX_A0AUZ9-3	ENSP00000401408
NX_A0AV02-1	ENSP00000377112
NX_A0AV02-1	ENSP00000418783
NX_A0AV02-3	ENSP00000415713
NX_A0AV02-5	ENSP00000377112
NX_A0AV02-5	ENSP00000415713
NX_A0AV02-5	ENSP00000418783
NX_A0AV02-5	ENSP00000419424
NX_A0AV96-1	ENSP00000295971
NX_A0AV96-1	ENSP00000371212
NX_A0AV96-2	ENSP00000371214
NX_A0AVF1-1	ENSP00000419279
NX_A0AVF1-2	ENSP00000410655
NX_A0AVF1-3	ENSP00000339135
NX_A0AVI2-1	ENSP00000485044
NX_A0AVI2-2	ENSP00000485238
NX_A0AVI2-2	ENSP00000485490
NX_A0AVI4-1	ENSP00000372394
NX_A0AVI4-1	ENSP00000441812
NX_A0AVI4-2	ENSP00000305243
NX_A0AVK6-1	ENSP00000250024
NX_A0AVK6-1	ENSP00000434199
NX_A0AVK6-1	ENSP00000481103
NX_A0AVT1-1	ENSP00000313454
NX_A0AVT1-2	ENSP00000313454
NX_A0AVT1-3	ENSP00000399234
NX_A0FGR8-1	ENSP00000481296
NX_A0FGR8-2	ENSP00000251527
NX_A0FGR9-1	ENSP00000374218
NX_A0FGR9-2	ENSP00000417388
NX_A0JLT2-1	ENSP00000416227
NX_A0JLT2-2	ENSP00000337340
NX_A0JNW5-1	ENSP00000279907
NX_A0JNW5-2	ENSP00000349285
NX_A0JP26-1	ENSP00000483103
NX_A0MZ66-1	ENSP00000347532
NX_A0MZ66-2	ENSP00000480109
NX_A0MZ66-4	ENSP00000376636
NX_A0MZ66-5	ENSP00000260777
NX_A0MZ66-5	ENSP00000347532
NX_A0MZ66-7	ENSP00000260777
NX_A0MZ66-7	ENSP00000347532
NX_A0MZ66-8	ENSP00000376636
NX_A0PG75-1	ENSP00000390111
NX_A0PG75-1	ENSP00000417184
NX_A0PG75-2	ENSP00000418626
NX_A0PJE2-1	ENSP00000411565
