NX_A0A075B6J9	ENSP00000374845
NX_A0A075B6K0	ENSP00000374846
NX_A0A075B6K2	ENSP00000374848
NX_A0A075B6K4	ENSP00000374850
NX_A0A075B6S2	ENSP00000483567
NX_A0A087WTH5	ENSP00000480511
NX_A0A087WUL8	ENSP00000358229
NX_A0A087WUL8	ENSP00000462298
NX_A0A087WUL8	ENSP00000480326
NX_A0A087WUL8	ENSP00000484655
NX_A0A087WUL8	ENSP00000484787
NX_A0A087WW87	ENSP00000480029
NX_A0A087WW87	ENSP00000483585
NX_A0A087WXM9	ENSP00000481155
NX_A0A087WXM9	ENSP00000488457
NX_A0A087WXS9	ENSP00000479474
NX_A0A087WXS9	ENSP00000482914
NX_A0A087X1C5	ENSP00000437680
NX_A0A087X1C5	ENSP00000439604
NX_A0A087X1C5	ENSP00000445124
NX_A0A087X1C5	ENSP00000481168
NX_A0A096LP49	ENSP00000457438
NX_A0A0B4J1Y9	ENSP00000480035
NX_A0A0B4J2F0	ENSP00000481097
NX_A0A5B9	ENSP00000482915
NX_A0A5B9	ENSP00000489750
NX_A0A5B9	ENSP00000490957
NX_A0AUZ9	ENSP00000388182
NX_A0AUZ9	ENSP00000402261
NX_A0AUZ9	ENSP00000407495
NX_A0AUZ9	ENSP00000489299
NX_A0AV02	ENSP00000418636
NX_A0AV02	ENSP00000420197
NX_A0AV96	ENSP00000421589
NX_A0AV96	ENSP00000422564
NX_A0AV96	ENSP00000422945
NX_A0AV96	ENSP00000423243
NX_A0AV96	ENSP00000423398
NX_A0AV96	ENSP00000423527
NX_A0AV96	ENSP00000424019
NX_A0AV96	ENSP00000425111
NX_A0AV96	ENSP00000425507
NX_A0AV96	ENSP00000426542
NX_A0AVF1	ENSP00000418788
NX_A0AVF1	ENSP00000419178
NX_A0AVF1	ENSP00000419639
NX_A0AVF1	ENSP00000443253
NX_A0AVI2	ENSP00000485487
NX_A0AVI4	ENSP00000417259
NX_A0AVI4	ENSP00000417412
NX_A0AVK6	ENSP00000437326
NX_A0AVT1	ENSP00000421984
NX_A0AVT1	ENSP00000425091
NX_A0FGR8	ENSP00000275418
NX_A0FGR9	ENSP00000289135
NX_A0JNW5	ENSP00000444824
NX_A0JNW5	ENSP00000447043
NX_A0JNW5	ENSP00000447809
NX_A0JNW5	ENSP00000448226
NX_A0JNW5	ENSP00000448420
NX_A0JNW5	ENSP00000449112
NX_A0JNW5	ENSP00000449189
NX_A0JP26	ENSP00000483189
NX_A0JP26	ENSP00000485523
NX_A0M8Q6	ENSP00000374859
NX_A0PJE2	ENSP00000478573
NX_A0PJW6	ENSP00000431804
NX_A0PJW6	ENSP00000436670
NX_A0PJW8	ENSP00000385306
NX_A0PJW8	ENSP00000386422
NX_A0PJW8	ENSP00000479225
NX_A0PJW8	ENSP00000479872
NX_A0PJX2	ENSP00000394804
NX_A0PJY2	ENSP00000406919
NX_A0PJZ3	ENSP00000417239
NX_A0PJZ3	ENSP00000420426
NX_A0PK00	ENSP00000442105
NX_A0PK00	ENSP00000446159
NX_A1A4F0	ENSP00000417372
NX_A1A4F0	ENSP00000420049
NX_A1A4G5	ENSP00000417985
NX_A1A4G5	ENSP00000419213
NX_A1A4S6	ENSP00000422358
NX_A1A4V9	ENSP00000442644
NX_A1A4V9	ENSP00000442648
NX_A1A4V9	ENSP00000455034
NX_A1A4Y4	ENSP00000429819
NX_A1A519	ENSP00000423697
NX_A1A519	ENSP00000425939
NX_A1A5C7	ENSP00000410245
NX_A1A5C7	ENSP00000418134
NX_A1A5C7	ENSP00000418985
NX_A1E959	ENSP00000422100
NX_A1E959	ENSP00000423070
NX_A1E959	ENSP00000426106
NX_A1IGU5	ENSP00000425621
NX_A1KZ92	ENSP00000428114
NX_A1L0T0	ENSP00000433355
NX_A1L0T0	ENSP00000434734
NX_A1L0T0	ENSP00000435516
NX_A1L0T0	ENSP00000470834
NX_A1L0T0	ENSP00000470942
NX_A1L0T0	ENSP00000471762
NX_A1L157	ENSP00000443890
NX_A1L157	ENSP00000445503
NX_A1L170	ENSP00000398035
NX_A1L188	ENSP00000461155
NX_A1L1A6	ENSP00000407344
NX_A1L1A6	ENSP00000410629
NX_A1L1A6	ENSP00000465887
NX_A1L390	ENSP00000450501
NX_A1L390	ENSP00000450880
NX_A1L390	ENSP00000450973
NX_A1L390	ENSP00000451256
NX_A1L390	ENSP00000489373
NX_A1L3X0	ENSP00000421043
NX_A1L3X0	ENSP00000422602
NX_A1L3X0	ENSP00000424081
NX_A1L3X0	ENSP00000425127
NX_A1L3X0	ENSP00000426400
NX_A1L429	ENSP00000354603
NX_A1L443	ENSP00000343865
NX_A1L4H1	ENSP00000467434
NX_A1L4H1	ENSP00000470226
NX_A1L4K1	ENSP00000453127
NX_A1L4L8	ENSP00000423992
NX_A1X283	ENSP00000428076
NX_A1X283	ENSP00000430890
NX_A1X283	ENSP00000490082
NX_A1XBS5	ENSP00000352391
NX_A1XBS5	ENSP00000427991
NX_A1XBS5	ENSP00000428446
NX_A1XBS5	ENSP00000428633
NX_A1XBS5	ENSP00000428739
NX_A1XBS5	ENSP00000428751
NX_A1XBS5	ENSP00000428874
NX_A1XBS5	ENSP00000429722
NX_A1XBS5	ENSP00000429955
NX_A1XBS5	ENSP00000430069
NX_A1XBS5	ENSP00000430217
NX_A1XBS5	ENSP00000430812
NX_A1XBS5	ENSP00000478089
NX_A1YPR0	ENSP00000464724
NX_A1YPR0	ENSP00000465160
NX_A1YPR0	ENSP00000465265
NX_A1YPR0	ENSP00000465494
NX_A1YPR0	ENSP00000465760
NX_A1YPR0	ENSP00000465832
NX_A1YPR0	ENSP00000465835
NX_A1YPR0	ENSP00000466006
NX_A1YPR0	ENSP00000466088
NX_A1YPR0	ENSP00000466944
NX_A1YPR0	ENSP00000467147
NX_A1YPR0	ENSP00000467323
NX_A1YPR0	ENSP00000467338
NX_A1YPR0	ENSP00000467456
NX_A1YPR0	ENSP00000467758
NX_A1YPR0	ENSP00000468019
NX_A1YPR0	ENSP00000468087
NX_A1YPR0	ENSP00000468152
NX_A1YPR0	ENSP00000468306
NX_A1YPR0	ENSP00000468502
NX_A1YPR0	ENSP00000468537
NX_A1YPR0	ENSP00000468659
NX_A1YPR0	ENSP00000468752
NX_A1YPR0	ENSP00000468814
NX_A2A288	ENSP00000387062
NX_A2A288	ENSP00000395209
NX_A2A2Y4	ENSP00000412719
NX_A2A2Z9	ENSP00000350607
NX_A2A2Z9	ENSP00000473566
NX_A2A2Z9	ENSP00000474332
NX_A2A3K4	ENSP00000477817
NX_A2AJT9	ENSP00000342104
NX_A2AJT9	ENSP00000437272
NX_A2IDD5	ENSP00000316851
NX_A2IDD5	ENSP00000458590
NX_A2PYH4	ENSP00000387661
NX_A2PYH4	ENSP00000388900
NX_A2PYH4	ENSP00000397369
NX_A2PYH4	ENSP00000409827
NX_A2RRD8	ENSP00000468995
NX_A2RRD8	ENSP00000470403
NX_A2RRD8	ENSP00000471548
NX_A2RRD8	ENSP00000471938
NX_A2RRD8	ENSP00000472651
NX_A2RRH5	ENSP00000411915
NX_A2RRH5	ENSP00000449696
NX_A2RRP1	ENSP00000390920
NX_A2RRP1	ENSP00000391476
NX_A2RRP1	ENSP00000392421
NX_A2RRP1	ENSP00000396501
NX_A2RRP1	ENSP00000398411
NX_A2RRP1	ENSP00000402458
NX_A2RRP1	ENSP00000403119
NX_A2RTX5	ENSP00000439899
NX_A2RTX5	ENSP00000452740
NX_A2RTX5	ENSP00000478827
NX_A2RTY3	ENSP00000474337
NX_A2RTY3	ENSP00000474391
NX_A2RTY3	ENSP00000479676
NX_A2RTY3	ENSP00000487778
NX_A2RTY3	ENSP00000488053
NX_A2RTY3	ENSP00000488224
NX_A2RTY3	ENSP00000488334
NX_A2RU14	ENSP00000431411
NX_A2RU14	ENSP00000432624
NX_A2RU14	ENSP00000433023
NX_A2RU14	ENSP00000433996
NX_A2RU14	ENSP00000436151
NX_A2RU14	ENSP00000436578
NX_A2RU30	ENSP00000433187
NX_A2RU30	ENSP00000433895
NX_A2RU30	ENSP00000434039
NX_A2RU30	ENSP00000434811
NX_A2RU30	ENSP00000435734
NX_A2RU30	ENSP00000436286
NX_A2RU30	ENSP00000436635
NX_A2RU30	ENSP00000436753
NX_A2RU49	ENSP00000457154
NX_A2RU67	ENSP00000437974
NX_A2RUB1	ENSP00000397957
NX_A2RUB1	ENSP00000399809
NX_A2RUB1	ENSP00000404941
NX_A2RUB1	ENSP00000467305
NX_A2RUB6	ENSP00000390652
NX_A2RUB6	ENSP00000401451
NX_A2RUB6	ENSP00000410510
NX_A2RUB6	ENSP00000420192
NX_A2RUC4	ENSP00000398447
NX_A2RUR9	ENSP00000344740
NX_A2RUR9	ENSP00000353685
NX_A2RUR9	ENSP00000382215
NX_A2RUR9	ENSP00000394201
NX_A2RUR9	ENSP00000398774
NX_A2RUS2	ENSP00000428155
NX_A2RUS2	ENSP00000429533
NX_A2RUS2	ENSP00000429725
NX_A2RUS2	ENSP00000429780
NX_A2RUS2	ENSP00000430625
NX_A2RUS2	ENSP00000430786
NX_A2RUS2	ENSP00000430912
NX_A2RUU4	ENSP00000396556
NX_A2VDF0	ENSP00000357539
NX_A2VDF0	ENSP00000413379
NX_A2VDJ0	ENSP00000240487
NX_A2VDJ0	ENSP00000413054
NX_A2VEC9	ENSP00000485256
NX_A3QJZ6	ENSP00000446004
NX_A3QJZ7	ENSP00000488085
NX_A3QJZ7	ENSP00000490306
NX_A4D0S4	ENSP00000402353
NX_A4D0S4	ENSP00000416562
NX_A4D0V7	ENSP00000345235
NX_A4D0V7	ENSP00000391952
NX_A4D0V7	ENSP00000398082
