NX_A0A075B6H9-1	ENST00000390282
NX_A0A075B6I0-1	ENST00000390283
NX_A0A075B6I1-1	ENST00000390284
NX_A0A075B6I4-1	ENST00000390287
NX_A0A075B6I9-1	ENST00000390295
NX_A0A075B6J1-1	ENST00000390300
NX_A0A075B6J6-1	ENST00000390307
NX_A0A075B6K6-1	ENST00000390318
NX_A0A075B6P5-1	ENST00000482769
NX_A0A075B6Q5-1	ENST00000454421
NX_A0A075B6R2-1	ENST00000455737
NX_A0A075B6S2-1	ENST00000491977
NX_A0A075B6S4-1	ENST00000483379
NX_A0A075B6S5-1	ENST00000498435
NX_A0A075B6S6-1	ENST00000474213
NX_A0A075B759-1	ENST00000581164
NX_A0A087WSX0-1	ENST00000390296
NX_A0A087WSY6-1	ENST00000417279
NX_A0A087WSZ0-1	ENST00000471857
NX_A0A087WTH1-1	ENST00000615541
NX_A0A087WTH5-1	ENST00000618699
NX_A0A087WTH5-1	ENST00000622690
NX_A0A087WTH5-1	ENST00000623803
NX_A0A087WUL8-1	ENST00000621744
NX_A0A087WVF3-1	ENST00000616101
NX_A0A087WXM9-1	ENST00000442687
NX_A0A087WXS9-1	ENST00000621034
NX_A0A087X179-1	ENST00000621587
NX_A0A087X1C5-1	ENST00000612115
NX_A0A087X1G2-1	ENST00000620247
NX_A0A096LP49-1	ENST00000624277
NX_A0A096LP49-2	ENST00000569961
NX_A0A096LP49-2	ENST00000624277
NX_A0A096LP55-1	ENST00000483273
NX_A0A096LPI5-1	ENST00000624173
NX_A0A0A0MRZ7-1	ENST00000390268
NX_A0A0A0MRZ8-1	ENST00000390277
NX_A0A0A0MRZ9-1	ENST00000390289
NX_A0A0A0MS14-1	ENST00000390621
NX_A0A0A0MS15-1	ENST00000390625
NX_A0A0A0MT36-1	ENST00000436451
NX_A0A0B4J1U3-1	ENST00000390301
NX_A0A0B4J1U7-1	ENST00000390593
NX_A0A0B4J1V0-1	ENST00000390603
NX_A0A0B4J1V1-1	ENST00000390607
NX_A0A0B4J1V2-1	ENST00000390611
NX_A0A0B4J1V6-1	ENST00000390636
NX_A0A0B4J1X5-1	ENST00000424969
NX_A0A0B4J1X8-1	ENST00000434710
NX_A0A0B4J1Y8-1	ENST00000427632
NX_A0A0B4J1Y9-1	ENST00000433072
NX_A0A0B4J1Z2-1	ENST00000468879
NX_A0A0B4J2A2-1	ENST00000585245
NX_A0A0B4J2D9-1	ENST00000611391
NX_A0A0B4J2F0-1	ENST00000436697
NX_A0A0B4J2F0-1	ENST00000567948
NX_A0A0C4DH24-1	ENST00000390256
NX_A0A0C4DH25-1	ENST00000390270
NX_A0A0C4DH29-1	ENST00000390595
NX_A0A0C4DH31-1	ENST00000390605
NX_A0A0C4DH33-1	ENST00000390610
NX_A0A0C4DH34-1	ENST00000390612
NX_A0A0C4DH38-1	ENST00000390626
NX_A0A0C4DH39-1	ENST00000390628
NX_A0A0C4DH41-1	ENST00000390630
NX_A0A0C4DH42-1	ENST00000390632
NX_A0A0C4DH55-1	ENST00000443397
NX_A0A0C4DH67-1	ENST00000495489
NX_A0A0C4DH68-1	ENST00000484817
NX_A0A0C4DH69-1	ENST00000493819
NX_A0A0C4DH72-1	ENST00000464162
NX_A0A0C4DH73-1	ENST00000480492
NX_A0A0G2JS06-1	ENST00000630493
NX_A0A0J9YWL9-1	ENST00000632600
NX_A0A183-1	ENST00000431011
NX_A0A5B9-1	ENST00000466254
NX_A0AUZ9-1	ENST00000281772
NX_A0AUZ9-2	ENST00000418791
NX_A0AUZ9-3	ENST00000452086
NX_A0AUZ9-3	ENST00000457374
NX_A0AV02-1	ENST00000393469
NX_A0AV02-1	ENST00000469902
NX_A0AV02-3	ENST00000430155
NX_A0AV02-5	ENST00000393469
NX_A0AV02-5	ENST00000430155
NX_A0AV02-5	ENST00000469902
NX_A0AV02-5	ENST00000473262
NX_A0AV02-5	ENST00000479352
NX_A0AV96-1	ENST00000295971
NX_A0AV96-1	ENST00000381793
NX_A0AV96-2	ENST00000381795
NX_A0AVF1-1	ENST00000464848
NX_A0AVF1-2	ENST00000430935
NX_A0AVF1-3	ENST00000343187
NX_A0AVI2-1	ENST00000623019
NX_A0AVI2-2	ENST00000436930
NX_A0AVI2-2	ENST00000457909
NX_A0AVI2-2	ENST00000623246
NX_A0AVI2-2	ENST00000624922
NX_A0AVI2-3	ENST00000505256
NX_A0AVI4-1	ENST00000382936
NX_A0AVI4-1	ENST00000536901
NX_A0AVI4-2	ENST00000303277
NX_A0AVK6-1	ENST00000250024
NX_A0AVK6-1	ENST00000527884
NX_A0AVK6-1	ENST00000620009
NX_A0AVT1-1	ENST00000322244
NX_A0AVT1-2	ENST00000322244
NX_A0AVT1-3	ENST00000420827
NX_A0AVT1-4	ENST00000429659
NX_A0FGR8-1	ENST00000613624
NX_A0FGR8-2	ENST00000251527
NX_A0FGR8-5	ENST00000435514
NX_A0FGR9-1	ENST00000389567
NX_A0FGR9-2	ENST00000490835
NX_A0JLT2-1	ENST00000431606
NX_A0JLT2-2	ENST00000337672
NX_A0JNW5-1	ENST00000279907
NX_A0JNW5-2	ENST00000356828
NX_A0JP26-1	ENST00000611217
NX_A0MZ66-1	ENST00000355371
NX_A0MZ66-2	ENST00000615301
NX_A0MZ66-4	ENST00000392903
NX_A0MZ66-5	ENST00000260777
NX_A0MZ66-5	ENST00000355371
NX_A0MZ66-5	ENST00000497044
NX_A0MZ66-6	ENST00000497044
NX_A0MZ66-7	ENST00000260777
NX_A0MZ66-7	ENST00000355371
NX_A0MZ66-7	ENST00000497044
NX_A0MZ66-8	ENST00000392903
NX_A0PG75-1	ENST00000443512
NX_A0PG75-1	ENST00000492200
NX_A0PG75-2	ENST00000482567
NX_A0PJE2-1	ENST00000444610
NX_A0PJE2-2	ENST00000218981
NX_A0PJE2-3	ENST00000280056
NX_A0PJK1-1	ENST00000395645
NX_A0PJK1-2	ENST00000395643
NX_A0PJK1-3	ENST00000317977
NX_A0PJK1-4	ENST00000395647
NX_A0PJK1-5	ENST00000417251
NX_A0PJW6-1	ENST00000307366
NX_A0PJW8-1	ENST00000309950
NX_A0PJX0-1	ENST00000288861
NX_A0PJX2-1	ENST00000217320
NX_A0PJX2-1	ENST00000602922
NX_A0PJX4-1	ENST00000319234
NX_A0PJX8-1	ENST00000375782
NX_A0PJY2-1	ENST00000442488
NX_A0PJY2-2	ENST00000427185
NX_A0PJZ0-1	ENST00000581935
NX_A0PJZ3-1	ENST00000389617
NX_A0PK00-1	ENST00000342607
NX_A0PK00-1	ENST00000449592
NX_A0PK05-1	ENST00000389583
NX_A0PK05-2	ENST00000389583
NX_A0PK05-2	ENST00000544540
NX_A0PK11-1	ENST00000511148
NX_A1A4F0-1	ENST00000449199
NX_A1A4F0-2	ENST00000312275
NX_A1A4F0-3	ENST00000459838
NX_A1A4F0-4	ENST00000426338
NX_A1A4G5-1	ENST00000383693
NX_A1A4S6-1	ENST00000336498
NX_A1A4T8-1	ENST00000528300
NX_A1A4T8-2	ENST00000399206
NX_A1A4V9-1	ENST00000543610
NX_A1A4V9-2	ENST00000543128
NX_A1A4V9-3	ENST00000433909
NX_A1A4V9-3	ENST00000541260
NX_A1A4V9-3	ENST00000543128
NX_A1A4V9-3	ENST00000543610
NX_A1A4V9-3	ENST00000546006
NX_A1A4V9-4	ENST00000545825
NX_A1A4Y4-1	ENST00000522154
NX_A1A519-1	ENST00000515256
NX_A1A519-2	ENST00000335286
NX_A1A519-2	ENST00000613773
NX_A1A519-3	ENST00000379555
NX_A1A519-3	ENST00000620555
NX_A1A580-1	ENST00000334160
NX_A1A5B4-1	ENST00000332826
NX_A1A5B4-2	ENST00000534161
NX_A1A5B4-3	ENST00000528927
NX_A1A5C7-1	ENST00000406686
NX_A1A5C7-2	ENST00000380302
NX_A1A5C7-2	ENST00000406686
NX_A1A5C7-2	ENST00000490273
NX_A1A5C7-3	ENST00000380302
NX_A1A5C7-3	ENST00000406686
NX_A1A5C7-3	ENST00000490273
NX_A1A5C7-3	ENST00000497691
NX_A1A5C7-4	ENST00000380298
NX_A1A5D9-1	ENST00000389347
NX_A1A5D9-1	ENST00000572449
NX_A1A5D9-2	ENST00000389347
NX_A1A5D9-2	ENST00000572449
NX_A1A5D9-2	ENST00000573514
NX_A1E959-1	ENST00000396094
NX_A1IGU5-1	ENST00000333677
NX_A1KXE4-1	ENST00000389915
NX_A1KXE4-1	ENST00000409185
NX_A1KZ92-1	ENST00000356297
NX_A1KZ92-3	ENST00000522628
NX_A1L020-1	ENST00000532414
NX_A1L0T0-1	ENST00000263383
NX_A1L157-1	ENST00000261177
NX_A1L157-1	ENST00000546076
NX_A1L162-1	ENST00000409885
NX_A1L167-1	ENST00000399816
NX_A1L168-1	ENST00000400633
NX_A1L170-1	ENST00000426197
NX_A1L170-1	ENST00000458626
NX_A1L170-2	ENST00000426197
NX_A1L188-1	ENST00000431388
NX_A1L190-1	ENST00000402753
NX_A1L190-1	ENST00000406915
NX_A1L1A6-1	ENST00000402988
NX_A1L390-1	ENST00000247226
NX_A1L390-2	ENST00000471182
NX_A1L390-3	ENST00000394691
NX_A1L3X0-1	ENST00000425382
