biosequence_name	is_covering	presence_level	probability	confidence	n_observations	norm_PSMs_per_100K	n_distinct_peptides	chromosome	genetic_locus	start_in_chromosome	end_in_chromosome	strand	relationship_phrase	reference_biosequence	represented_by_biosequence_id	group_number	seq_unique_prots_in_group	protein_group_seq_align_link	is_keratin	is_immunoglobulin	biosequence_description	organism_full_name
A0PJW6	C	canonical	  1.000	  1.000	4	  0.620	2	11	11q12.3	62557443	62559493	-			A0PJW6	1	1				TM223_HUMAN Transmembrane protein 223 OS=Homo sapiens GN=TMEM223 PE=1 SV=1 CONCAT=4	Homo sapiens
A1L188	C	canonical	  1.000	  1.000	6	  2.324	2	17	17q25.3	79213039	79215081	+			A1L188	2	1				CQ089_HUMAN Uncharacterized protein C17orf89 OS=Homo sapiens GN=C17orf89 PE=2 SV=1 CONCAT=1	Homo sapiens
Q9Y312	C	canonical	  1.000	  1.000	4	  0.310	3	20	20q11.23	34824387	34844855	+			Q9Y312	3	2				AAR2_HUMAN Protein AAR2 homolog OS=Homo sapiens GN=AAR2 PE=1 SV=2 CONCAT=3	Homo sapiens
P42696	C	canonical	  1.000	  1.000	2	  0.119	2	1	1q42.3	235294499	235324571	-			P42696	4	5				RBM34_HUMAN RNA-binding protein 34 OS=Homo sapiens GN=RBM34 PE=1 SV=2 CONCAT=1	Homo sapiens
P29372	C	canonical	  1.000	  1.000	5	  0.456	5	16	16p13.3	0	0	 			P29372	5	5				3MG_HUMAN DNA-3-methyladenine glycosylase OS=Homo sapiens GN=MPG PE=1 SV=3 CONCAT=13	Homo sapiens
Q9Y6G3	C	canonical	  1.000	  1.000	2	  0.620	2	12	12q22	93862965	93896640	+			Q9Y6G3	6	5				RM42_HUMAN 39S ribosomal protein L42, mitochondrial OS=Homo sapiens GN=MRPL42 PE=1 SV=1 CONCAT=4	Homo sapiens
A6NDU8	C	canonical	  1.000	  1.000	7	  0.638	5	5	5p13.1	41904451	41921738	+			A6NDU8	7	1				CE051_HUMAN UPF0600 protein C5orf51 OS=Homo sapiens GN=C5orf51 PE=1 SV=1 CONCAT=4	Homo sapiens
Q92733	C	canonical	  1.000	  1.000	3	  0.245	3	1	1q23.1	156737292	156770607	+			Q92733	8	3				PRCC_HUMAN Proline-rich protein PRCC OS=Homo sapiens GN=PRCC PE=1 SV=1 CONCAT=2	Homo sapiens
A6NHZ5	C	canonical	  1.000	  1.000	4	  0.221	4	5	5p15.33	191626	195468	+			A6NHZ5	9	1				LR14B_HUMAN Leucine-rich repeat-containing protein 14B OS=Homo sapiens GN=LRRC14B PE=3 SV=3 CONCAT=1	Homo sapiens
A6NJ78	C	canonical	  1.000	  1.000	4	  0.269	3	11	11p14.1	28131859	28355054	+			A6NJ78	10	1				MET15_HUMAN Probable methyltransferase-like protein 15 OS=Homo sapiens GN=METTL15 PE=2 SV=1 CONCAT=5	Homo sapiens
