biosequence_name	is_covering	presence_level	probability	confidence	n_observations	norm_PSMs_per_100K	n_distinct_peptides	chromosome	genetic_locus	start_in_chromosome	end_in_chromosome	strand	relationship_phrase	reference_biosequence	represented_by_biosequence_id	group_number	seq_unique_prots_in_group	protein_group_seq_align_link	is_keratin	is_immunoglobulin	biosequence_description	organism_full_name
A0A5B9	C	canonical	  1.000	  1.000	2	  1.305	2	7	7q34	0	0	 			A0A5B9	1	6				TRBC2_HUMAN T-cell receptor beta-2 chain C region OS=Homo sapiens GN=TRBC2 PE=1 SV=1	Homo sapiens
Q13813	C	canonical	  1.000	  1.000	4	  0.164	4	9	9q33-q34	0	0	 			Q13813	2	4				SPTN1_HUMAN Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTAN1 PE=1 SV=3 CONCAT=9	Homo sapiens
O95460	C	canonical	  1.000	  1.000	42	  6.668	5	20	20q13.1-q13.2	0	0	 			O95460	3	5				MATN4_HUMAN Matrilin-4 OS=Homo sapiens GN=MATN4 PE=1 SV=3 CONCAT=9	Homo sapiens
P18124	C	canonical	  1.000	  1.000	5	  2.448	4	8	8q21.11	74202874	74206133	-			P18124	4	2				RL7_HUMAN 60S ribosomal protein L7 OS=Homo sapiens GN=RPL7 PE=1 SV=1 CONCAT=1	Homo sapiens
Q8NHJ6	C	canonical	  1.000	  1.000	3	  0.881	2	19	19q13.42	55174124	55179844	+			Q8NHJ6	5	29				LIRB4_HUMAN Leukocyte immunoglobulin-like receptor subfamily B member 4 OS=Homo sapiens GN=LILRB4 PE=1 SV=3 CONCAT=18	Homo sapiens
P09601	C	canonical	  1.000	  1.000	8	  3.133	5	22	22q12.3	35776828	35790207	+			P09601	6	2				HMOX1_HUMAN Heme oxygenase 1 OS=Homo sapiens GN=HMOX1 PE=1 SV=1 CONCAT=4	Homo sapiens
O43570	C	canonical	  1.000	  1.000	11	  4.039	4	15	15q22.2	63613577	63674360	-			O43570	7	3				CAH12_HUMAN Carbonic anhydrase 12 OS=Homo sapiens GN=CA12 PE=1 SV=1 CONCAT=7	Homo sapiens
Q15185	C	canonical	  1.000	  1.000	3	  1.762	2	12	12q13.3	57057127	57082084	-			Q15185	8	5				TEBP_HUMAN Prostaglandin E synthase 3 OS=Homo sapiens GN=PTGES3 PE=1 SV=1 CONCAT=1	Homo sapiens
P28331	C	canonical	  1.000	  1.000	7	  1.003	7	2	2q33-q34	0	0	 			P28331	9	6				NDUS1_HUMAN NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Homo sapiens GN=NDUFS1 PE=1 SV=3 CONCAT=9	Homo sapiens
P36542	C	canonical	  1.000	  1.000	8	  3.357	3	10	10p14	7830140	7849778	+			P36542	10	3				ATPG_HUMAN ATP synthase subunit gamma, mitochondrial OS=Homo sapiens GN=ATP5C1 PE=1 SV=1 CONCAT=4	Homo sapiens
