NextprotID	SeqLength	MW	IsoPoint	TMDomains	SubcellLocations	Diseases	ProteinExistence	Chr
NX_Q7RTS7	529	57865	7.59	0	NA	Ectodermal dysplasia 7, hair/nail type;Woolly hair autosomal dominant;Hypotrichosis 3	PE1	12
NX_Q7RTS9	669	75935	5.56	0	Golgi apparatus;Cytoplasm;Golgi apparatus;Membrane	Smith-McCort dysplasia 1;Dyggve-Melchior-Clausen syndrome	PE1	18
NX_Q7RTT3	188	21553	9.19	0	NA	NA	PE2	X
NX_Q7RTT4	187	21859	9.46	0	NA	NA	PE2	X
NX_Q7RTT5	188	21591	9.19	0	NA	NA	PE2	X
NX_Q7RTT6	188	21688	9.32	0	NA	NA	PE5	X
NX_Q7RTT9	530	58059	7.64	10	Cytoskeleton;Cytoskeleton;Apical cell membrane;Cell membrane	NA	PE1	7
NX_Q7RTU0	167	17516	10.24	0	Nucleus	NA	PE3	8
NX_Q7RTU1	214	23309	11.33	0	Nucleus	NA	PE2	2
NX_Q7RTU3	272	29358	9.54	0	Nucleus	NA	PE1	6
NX_Q7RTU4	235	24132	11.21	0	Nucleus;Cytoplasm	Camptosynpolydactyly, complex;Syndactyly, mesoaxial synostotic, with phalangeal reduction;Split-hand/foot malformation with long bone deficiency 3	PE1	17
NX_Q7RTU5	278	29462	8.71	0	Nucleus	NA	PE3	1
NX_Q7RTU7	201	21596	10.17	0	Nucleus	NA	PE3	8
NX_Q7RTU9	1775	192967	5.27	0	Kinocilium;Stereocilium;Cell surface	Deafness, autosomal recessive, 16;Deafness-infertility syndrome	PE2	15
NX_Q7RTV0	110	12405	8.79	0	Nucleoplasm;Nucleus;Nucleus speckle	NA	PE1	22
NX_Q7RTV2	222	25722	7.74	0	Cytoplasm	NA	PE1	6
NX_Q7RTV3	350	38411	8.07	0	Nucleus;Nucleoplasm	NA	PE1	9
NX_Q7RTV5	226	24857	9.07	0	NA	NA	PE1	9
NX_Q7RTW8	1153	128533	5.53	0	Extracellular matrix;Apical cell membrane	Deafness, autosomal recessive, 22	PE1	16
NX_Q7RTX0	852	93386	6.75	7	Cell membrane	NA	PE1	1
NX_Q7RTX1	841	93074	8.32	7	Cell membrane	NA	PE2	1
NX_Q7RTX7	472	54092	5.15	6	Flagellum membrane	NA	PE1	1
NX_Q7RTX9	510	56254	6.45	12	Cytosol;Cell membrane	NA	PE2	2
NX_Q7RTY0	426	44992	6.44	12	Golgi apparatus;Golgi apparatus membrane;Cell membrane	Diabetes mellitus, non-insulin-dependent	PE1	17
NX_Q7RTY1	509	55794	8.25	12	Cell membrane;Cell junction;Nucleus	NA	PE1	10
NX_Q7RTY3	260	29329	8.42	0	NA	NA	PE2	3
NX_Q7RTY5	328	35970	7.49	0	Secreted	NA	PE2	4
NX_Q7RTY7	1134	125066	8.67	0	Secreted	NA	PE1	12
NX_Q7RTY8	843	94415	8.84	1	Cell membrane	NA	PE2	3
NX_Q7RTY9	318	35078	9.36	0	Cell membrane	NA	PE1	16
NX_Q7RTZ1	564	62642	7.22	0	Secreted	NA	PE1	11
NX_Q7RTZ2	530	59590	7.81	0	Endoplasmic reticulum;Nucleus	NA	PE3	8
NX_Q7Z2D5	763	82983	9	6	Membrane	NA	PE1	1
NX_Q7Z2E3	356	40740	9.27	0	Cytoplasm;Nucleolus;Nucleus;Nucleoplasm;Nucleolus	Ataxia-oculomotor apraxia syndrome	PE1	9
NX_Q7Z2F6	126	14454	4.9	0	Nucleoplasm;Cytosol	NA	PE2	16
NX_Q7Z2G1	175	19618	10.69	0	Nucleus membrane;Chromosome	NA	PE1	X
NX_Q7Z2H8	476	53076	6.54	11	Endoplasmic reticulum;Cell membrane;Lysosome membrane	NA	PE1	5
NX_Q7Z2K6	904	100231	7.2	9	Nucleus;Nucleolus;Endoplasmic reticulum membrane	NA	PE1	9
NX_Q7Z2K8	1008	102399	8.33	0	Cell membrane;Cytoplasmic vesicle;Cell membrane;Growth cone	NA	PE1	5
NX_Q7Z2Q7	622	70301	9.02	1	Membrane	NA	PE2	5
NX_Q7Z2R9	100	10995	12.15	0	Secreted	NA	PE5	1
NX_Q7Z2T5	733	81747	8.11	0	Nucleolus;Nucleus	NA	PE1	1
NX_Q7Z2V1	217	23111	6.41	0	NA	NA	PE1	16
NX_Q7Z2W4	902	101431	8.72	0	Cytosol;Nucleus;Golgi apparatus;Cytoplasm	NA	PE1	7
NX_Q7Z2W7	1104	127685	6.91	6	Cell membrane;Membrane raft;Endoplasmic reticulum membrane	NA	PE1	2
NX_Q7Z2W9	205	22815	9.91	0	Nucleoplasm;Mitochondrion;Mitochondrion	NA	PE1	11
NX_Q7Z2X4	250	28272	6.53	0	Endoplasmic reticulum;Cytoplasm	NA	PE1	2
NX_Q7Z2X7	111	12090	4	0	NA	NA	PE1	X
NX_Q7Z2Y5	1582	178479	5.93	0	Cytoplasm;Cytosol;Nucleoplasm	NA	PE1	X
NX_Q7Z2Y8	2422	279048	6.12	0	Cytosol;Nucleus	NA	PE2	11
NX_Q7Z2Z1	1910	210857	9	0	Nucleus;Nucleoplasm	NA	PE1	15
NX_Q7Z2Z2	1120	125430	5.66	0	Cytosol	NA	PE1	15
NX_Q7Z304	686	77556	5.05	0	Endoplasmic reticulum;Extracellular matrix	NA	PE1	9
NX_Q7Z309	247	26928	5.98	0	Nucleus;Nucleoplasm	NA	PE1	X
NX_Q7Z333	2677	302880	6.83	0	Cytoskeleton;Nucleus;Nucleolus;Nucleus;Nucleoplasm;Cytoplasm;Chromosome;Telomere;Axon;Growth cone	Spinocerebellar ataxia, autosomal recessive, 1;Amyotrophic lateral sclerosis 4	PE1	9
NX_Q7Z340	670	77515	8.73	0	Nucleus speckle;Nucleus;Nucleoplasm	NA	PE1	19
NX_Q7Z353	690	77206	5.61	0	Nucleus;Cytosol	NA	PE1	X
NX_Q7Z388	723	83756	8.41	12	Endoplasmic reticulum;Cytoplasmic vesicle;Membrane	NA	PE1	8
NX_Q7Z392	1133	128881	6.72	0	Nucleus membrane;Nucleoplasm;cis-Golgi network;Golgi apparatus	Limb-girdle muscular dystrophy 2S	PE1	4
NX_Q7Z398	422	48381	8.95	0	Cytoskeleton;Cytoplasmic vesicle;Nucleus	NA	PE1	19
NX_Q7Z3B0	74	8625	9.82	1	Membrane	NA	PE1	5
NX_Q7Z3B1	354	38719	5.84	0	Cytosol;Cytoplasmic vesicle;Cell membrane;Cytoskeleton	NA	PE1	1
NX_Q7Z3B3	1105	121025	9	0	Nucleus;Nucleus;Nucleoplasm;Kinetochore	NA	PE1	17
NX_Q7Z3B4	507	55435	6.53	0	Nucleoplasm;Nuclear pore complex;Nucleus membrane;Nucleus membrane	NA	PE1	4
NX_Q7Z3C6	839	94447	6.19	6	Endoplasmic reticulum;Cytoplasmic vesicle;Autophagosome membrane;Late endosome membrane;trans-Golgi network membrane;Endoplasmic reticulum membrane	NA	PE1	2
NX_Q7Z3D4	306	34538	5.62	1	Membrane;Cytosol	NA	PE1	5
NX_Q7Z3D6	616	66437	6.32	0	Mitochondrion;Cytosol;Mitochondrion matrix	NA	PE1	14
NX_Q7Z3E1	657	76227	6.19	0	Nucleus;Cytoskeleton;Microtubule organizing center;Nucleoplasm	NA	PE1	3
NX_Q7Z3E2	898	103687	5.94	0	Golgi apparatus	NA	PE1	10
NX_Q7Z3E5	817	91762	5.83	0	Cytoplasm;Nucleolus;Cytosol	NA	PE1	2
NX_Q7Z3F1	870	96919	6.42	17	Endosome;Cytosol;Membrane;Nucleus	NA	PE1	2
NX_Q7Z3G6	844	95615	7.12	0	Cytoplasmic vesicle;Golgi apparatus;Nucleus membrane	NA	PE1	3
NX_Q7Z3H0	272	29011	5.63	0	NA	NA	PE2	12
NX_Q7Z3H4	446	49112	6.32	0	Nucleus;Cytoplasm	NA	PE1	3
NX_Q7Z3I7	529	61238	8.32	0	Nucleus;Nucleus speckle;Nucleus	NA	PE1	8
NX_Q7Z3J2	963	109563	6.82	1	Nucleus;Cytoplasm;Early endosome;Membrane;Mitochondrion	NA	PE1	16
NX_Q7Z3J3	1758	197289	5.9	0	NA	NA	PE1	2
NX_Q7Z3K3	1410	155344	7.14	0	Nucleus;Cytoplasm;Chromosome;Nucleus;Nucleoplasm;Cytoplasm	White-Sutton syndrome	PE1	1
NX_Q7Z3K6	550	61437	4.42	0	Nucleoplasm;Nucleus	NA	PE1	5
NX_Q7Z3Q1	461	51519	5.56	11	Endosome;Cytosol;Cytoskeleton;Cell membrane;Membrane	NA	PE1	13
NX_Q7Z3S7	1137	127938	5.18	1	Membrane	Retinal cone dystrophy 4	PE1	12
NX_Q7Z3S9	236	25835	5.44	0	Secreted;Cytoplasm	NA	PE1	1
NX_Q7Z3T1	314	34789	8.92	7	Cell membrane	NA	PE2	1
NX_Q7Z3T8	1539	168903	4.67	0	Cytosol;Cytoplasm;Cytoplasmic vesicle;Early endosome membrane	NA	PE1	5
NX_Q7Z3U7	1717	190359	5.72	0	Nucleoplasm;Nucleolus	NA	PE1	12
NX_Q7Z3V4	1068	123098	8.51	0	Nucleus speckle;Mitochondrion	Kaufman oculocerebrofacial syndrome	PE1	12
NX_Q7Z3V5	609	70792	8.71	0	Nucleus;Cell membrane;Nucleolus;Nucleus;Nucleus	NA	PE1	19
NX_Q7Z3Y7	464	50567	5.33	0	Cytoplasm	NA	PE1	17
