biosequence_name	is_covering	presence_level	probability	confidence	n_observations	norm_PSMs_per_100K	n_distinct_peptides	chromosome	genetic_locus	start_in_chromosome	end_in_chromosome	strand	relationship_phrase	reference_biosequence	represented_by_biosequence_id	group_number	seq_unique_prots_in_group	protein_group_seq_align_link	is_keratin	is_immunoglobulin	biosequence_description	organism_full_name
Q9BY42	C	canonical	  1.000	  1.000	5	  0.266	3	20	20q13.31	55043647	55093943	+			Q9BY42	1	3				RTF2_HUMAN Protein RTF2 homolog OS=Homo sapiens GN=RTFDC1 PE=1 SV=3 CONCAT=3	Homo sapiens
Q9Y312	C	canonical	  1.000	  1.000	4	  0.170	4	20	20q11.23	34824387	34844855	+			Q9Y312	2	2				AAR2_HUMAN Protein AAR2 homolog OS=Homo sapiens GN=AAR2 PE=1 SV=2 CONCAT=3	Homo sapiens
A6NDU8	C	canonical	  1.000	  1.000	7	  0.350	4	5	5p13.1	41904451	41921738	+			A6NDU8	3	1				CE051_HUMAN UPF0600 protein C5orf51 OS=Homo sapiens GN=C5orf51 PE=1 SV=1 CONCAT=4	Homo sapiens
P45378	C	canonical	  1.000	  1.000	2	  0.213	2	11	11p15.5	0	0	 			P45378	4	15				TNNT3_HUMAN Troponin T, fast skeletal muscle OS=Homo sapiens GN=TNNT3 PE=1 SV=3 CONCAT=4	Homo sapiens
A6NH11	C	canonical	  1.000	  1.000	5	  0.236	4	17	17p13.2	4692254	4693685	+			A6NH11	5	1				GLTD2_HUMAN Glycolipid transfer protein domain-containing protein 2 OS=Homo sapiens GN=GLTPD2 PE=1 SV=2 CONCAT=1	Homo sapiens
Q8IY57	C	canonical	  1.000	  1.000	3	  0.364	2	12	12q12	42553704	42632089	-			Q8IY57	6	6				YAF2_HUMAN YY1-associated factor 2 OS=Homo sapiens GN=YAF2 PE=1 SV=3 CONCAT=1	Homo sapiens
Q9P003	C	canonical	  1.000	  1.000	3	  0.638	2	1	1q42.11	224544573	224567154	+			Q9P003	7	2				CNIH4_HUMAN Protein cornichon homolog 4 OS=Homo sapiens GN=CNIH4 PE=1 SV=1 CONCAT=3	Homo sapiens
Q9C035	C	canonical	  1.000	  1.000	4	  0.106	3	11	11p15	0	0	 			Q9C035	8	10				TRIM5_HUMAN Tripartite motif-containing protein 5 OS=Homo sapiens GN=TRIM5 PE=1 SV=1 CONCAT=13	Homo sapiens
Q9UJC3	C	canonical	  1.000	  1.000	53	  1.073	32	1	1p32.1	60280533	60342050	+			Q9UJC3	9	2				HOOK1_HUMAN Protein Hook homolog 1 OS=Homo sapiens GN=HOOK1 PE=1 SV=2 CONCAT=2	Homo sapiens
A8MWD9	C	canonical	  1.000	  1.000	7	  1.190	2	19	19p13.12	0	0	 			A8MWD9	10	4				RUXGL_HUMAN Small nuclear ribonucleoprotein G-like protein OS=Homo sapiens PE=3 SV=2 CONCAT=1	Homo sapiens
P52179	C	canonical	  1.000	  1.000	7	  0.060	5	18	18p11.31	3066951	3219847	-			P52179	11	3				MYOM1_HUMAN Myomesin-1 OS=Homo sapiens GN=MYOM1 PE=1 SV=2 CONCAT=10	Homo sapiens
A8MXV4	C	canonical	  1.000	  1.000	5	  0.250	5	19	19q13.11	33182867	33204702	+			A8MXV4	12	1				NUD19_HUMAN Nucleoside diphosphate-linked moiety X motif 19, mitochondrial OS=Homo sapiens GN=NUDT19 PE=1 SV=1 CONCAT=5	Homo sapiens
A9UHW6	C	canonical	  1.000	  1.000	4	  0.227	2	17	17q25.1	73262314	73267254	-			A9UHW6	13	10				MI4GD_HUMAN MIF4G domain-containing protein OS=Homo sapiens GN=MIF4GD PE=1 SV=1 CONCAT=1	Homo sapiens
P30536	C	canonical	  1.000	  1.000	10	  1.215	3	22	22q13.2	43547937	43559216	+			P30536	14	2				TSPOA_HUMAN Translocator protein OS=Homo sapiens GN=TSPO PE=1 SV=3 CONCAT=4	Homo sapiens
Q7L3B6	C	canonical	  1.000	  1.000	3	  0.134	3	9	9p24.1	4679566	4708398	+			Q7L3B6	15	2				CD37L_HUMAN Hsp90 co-chaperone Cdc37-like 1 OS=Homo sapiens GN=CDC37L1 PE=1 SV=1 CONCAT=2	Homo sapiens
