UniProt-AC	UniProt-AC_reviewed	UniProt-ID	GeneID	RefSeq	GI	PDB	GO	PIR	MIM	UniGene	Ensembl_Gene	Ensembl_Transcript	Ensembl_Protein	BioGrid	STRING	KEGG	Gene_Name
P35213	P35213	1433B_RAT	56011	NP_062250.1	1911805; 265428; 49904289; 9507243; 1345591; 149042981; 402524		GO:0005737; GO:0005829; GO:0042470; GO:0005634; GO:0048471; GO:0032991; GO:0017053; GO:0019899; GO:0042826; GO:0042802; GO:0051219; GO:0050815; GO:0008022; GO:0019904; GO:0044877; GO:0051220; GO:0045744; GO:0035308; GO:0045892; GO:0043085; GO:0006605	A49023			ENSRNOG00000010945	ENSRNOT00000016981	ENSRNOP00000016981	248554	10116.ENSRNOP00000016981	rno:56011	Ywhab
P62260	P62260	1433E_RAT	29753	NP_113791.1	487918; 149053422; 38648857; 13928824; 1469948; 61216932; 294504		GO:0030424; GO:0005623; GO:0090724; GO:0005737; GO:0005829; GO:0098978; GO:0005871; GO:0042470; GO:0005634; GO:0005886; GO:0045202; GO:0005246; GO:0019899; GO:0042826; GO:0042802; GO:0044325; GO:0051219; GO:0050815; GO:0015459; GO:0019904; GO:0046982; GO:0008426; GO:0019903; GO:0044877; GO:0097110; GO:0031625; GO:0034605; GO:0021987; GO:0021766; GO:0000165; GO:1905913; GO:1901020; GO:1902309; GO:0035308; GO:0001764; GO:0046827; GO:0034504; GO:0006605; GO:0051480; GO:0060306; GO:0099072; GO:1901016; GO:0007165	JX0341			ENSRNOG00000005290	ENSRNOT00000007100	ENSRNOP00000007100	248364	10116.ENSRNOP00000007100	rno:29753	Ywhae
P68511	P68511	1433F_RAT	25576	NP_037184.1	51858611; 398155; 6981710; 55976637; 149047466		GO:0005737; GO:0098978; GO:0005886; GO:0098793; GO:0045202; GO:0003779; GO:0019899; GO:0035259; GO:0042802; GO:0044325; GO:0019904; GO:0046982; GO:0017080; GO:0006713; GO:0042921; GO:0006886; GO:0086010; GO:0050774; GO:0045893; GO:2000649; GO:0002028	A60031			ENSRNOG00000055471	ENSRNOT00000085735	ENSRNOP00000075701	247607	10116.ENSRNOP00000024388	rno:25576	Ywhah
P61983	P61983	1433G_RAT	56010	NP_062249.1; XP_006249246.2	149063017; 402526; 48428718; 117558830; 265430; 1046854730; 9507245		GO:0005737; GO:0098793; GO:0045202; GO:0031982; GO:0003779; GO:0030234; GO:0042802; GO:0005159; GO:0019904; GO:0005080; GO:0030971; GO:0032869; GO:0006605; GO:0045664; GO:0048167; GO:0007165	B49023			ENSRNOG00000001436	ENSRNOT00000001954; ENSRNOT00000084730	ENSRNOP00000001954; ENSRNOP00000069671	248553	10116.ENSRNOP00000001954	rno:56010	Ywhag
P68255	P68255	1433T_RAT	25577	NP_037185.1	402509; 149051000; 61216933; 6981712; 38383130		GO:0005737; GO:0032991; GO:0045202; GO:0071889; GO:0042802; GO:0044325; GO:0008022; GO:0019904; GO:0047485; GO:0034766; GO:0045892; GO:0006605; GO:0007264	I52647			ENSRNOG00000051650	ENSRNOT00000077786	ENSRNOP00000072011	247608	10116.ENSRNOP00000011501	rno:25577	Ywhaq
P63102	P63102	1433Z_RAT	25578	NP_037143.2; XP_006241591.1	62871703; 294506; 564359766; 62990183; 402511; 52000883; 68085421; 487920; 149066515; 1051270		GO:0005623; GO:0031252; GO:0098978; GO:0098686; GO:0042629; GO:0042470; GO:0005739; GO:0005634; GO:0048471; GO:0014069; GO:0032991; GO:0042802; GO:0044325; GO:0019904; GO:0019901; GO:0044877; GO:0008134; GO:0031625; GO:0051683; GO:0090168; GO:0002553; GO:0006468; GO:0006605; GO:0006626; GO:0010941; GO:0070372; GO:0090128; GO:0042493; GO:0007165; GO:0008039	JC2502; JC5232; S59915			ENSRNOG00000008195	ENSRNOT00000035628	ENSRNOP00000030885	247609	10116.ENSRNOP00000030885	rno:25578	Ywhaz
P22282	P22282	22P1_RAT	25030	NP_036850.1	112720; 205903; 7549742; 299360; 260883; 530167		GO:0005829; GO:0005576; GO:0005615; GO:0005634; GO:0004869; GO:0030521; GO:0071549; GO:0071394; GO:0033574	A49304							10116.ENSRNOP00000040184	rno:25030	Andpro
P22283	P22283	22P2_RAT	296229	NP_954887.1	41152508; 112721; 205905; 149041137; 56013; 72679563		GO:0004869	JT0616							10116.ENSRNOP00000043921	rno:296229	Crp2
Q80W83	Q80W83	2A5B_RAT	309179	NP_852044.1; XP_008758365.1	31077118; 672039381; 81873316; 149062165; 60422755; 30575399		GO:0005829; GO:0005634; GO:0000159; GO:0072542; GO:0071363; GO:0070317; GO:0071158; GO:0051091; GO:0010976; GO:0051388; GO:0031334; GO:0045944; GO:0006470; GO:0050730; GO:0031952; GO:0001932; GO:0010469; GO:0007165				ENSRNOG00000021025	ENSRNOT00000028542	ENSRNOP00000028542		10116.ENSRNOP00000065720	rno:309179	Ppp2r5b
Q4QQT4	Q4QQT4	2AAB_RAT	315648	NP_001020589.1	81918149; 70794752; 67678118		GO:0005737; GO:0098978; GO:0045121; GO:0000159; GO:0045202; GO:0019888; GO:0060561; GO:2001241; GO:0006470				ENSRNOG00000010922	ENSRNOT00000064290	ENSRNOP00000059428	261094	10116.ENSRNOP00000059428	rno:315648	Ppp2r1b
