biosequence_name	is_covering	presence_level	probability	confidence	n_observations	norm_PSMs_per_100K	n_distinct_peptides	chromosome	genetic_locus	start_in_chromosome	end_in_chromosome	strand	relationship_phrase	reference_biosequence	represented_by_biosequence_id	group_number	seq_unique_prots_in_group	protein_group_seq_align_link	is_keratin	is_immunoglobulin	biosequence_description	organism_full_name
A2VDF0	C	canonical	  1.000	  1.000	2	  0.449	2	10	10q26.3	135168658	135171529	-			A2VDF0	1	4				FUCM_HUMAN Fucose mutarotase OS=Homo sapiens GN=FUOM PE=1 SV=2 CONCAT=1	Homo sapiens
A5D8V6	C	canonical	  1.000	  1.000	3	  0.471	2	11	11q12.2	60897728	60929089	-			A5D8V6	2	3				VP37C_HUMAN Vacuolar protein sorting-associated protein 37C OS=Homo sapiens GN=VPS37C PE=1 SV=2 CONCAT=4	Homo sapiens
Q9Y3D3	C	canonical	  1.000	  1.000	3	  0.471	2	10	10q22.2	75008601	75012451	-			Q9Y3D3	3	3				RT16_HUMAN 28S ribosomal protein S16, mitochondrial OS=Homo sapiens GN=MRPS16 PE=1 SV=1 CONCAT=6	Homo sapiens
A6NDU8	C	canonical	  1.000	  1.000	2	  0.185	2	5	5p13.1	41904451	41921738	+			A6NDU8	4	1				CE051_HUMAN UPF0600 protein C5orf51 OS=Homo sapiens GN=C5orf51 PE=1 SV=1 CONCAT=4	Homo sapiens
A6NGB9	C	canonical	  1.000	  1.000	5	  0.314	4	7	7p14.3	29874341	29956682	+			A6NGB9	5	2				WIPF3_HUMAN WAS/WASL-interacting protein family member 3 OS=Homo sapiens GN=WIPF3 PE=2 SV=4 CONCAT=2	Homo sapiens
O60831	C	canonical	  1.000	  1.000	6	  1.571	2	X	Xp11.23	48928813	48931730	-			O60831	6	2				PRAF2_HUMAN PRA1 family protein 2 OS=Homo sapiens GN=PRAF2 PE=1 SV=1 CONCAT=2	Homo sapiens
Q9UJC3	C	canonical	  1.000	  1.000	3	  0.112	3	1	1p32.1	60280533	60342050	+			Q9UJC3	7	2				HOOK1_HUMAN Protein Hook homolog 1 OS=Homo sapiens GN=HOOK1 PE=1 SV=2 CONCAT=2	Homo sapiens
A8MXV4	C	canonical	  1.000	  1.000	11	  1.016	9	19	19q13.11	33182867	33204702	+			A8MXV4	8	1				NUD19_HUMAN Nucleoside diphosphate-linked moiety X motif 19, mitochondrial OS=Homo sapiens GN=NUDT19 PE=1 SV=1 CONCAT=5	Homo sapiens
B2RUZ4	C	canonical	  1.000	  1.000	8	  4.188	3	1	1p36.32	3689352	3692546	+			B2RUZ4	9	2				SMIM1_HUMAN Small integral membrane protein 1 OS=Homo sapiens GN=SMIM1 PE=1 SV=1 CONCAT=3	Homo sapiens
Q15628	C	canonical	  1.000	  1.000	3	  0.337	2	16	16q22.1	67188083	67194201	-			Q15628	10	2				TRADD_HUMAN Tumor necrosis factor receptor type 1-associated DEATH domain protein OS=Homo sapiens GN=TRADD PE=1 SV=2 CONCAT=1	Homo sapiens
P41732	C	canonical	  1.000	  1.000	17	  2.670	2	X	Xp11.4	38420623	38548167	+			P41732	11	5				TSN7_HUMAN Tetraspanin-7 OS=Homo sapiens GN=TSPAN7 PE=1 SV=2 CONCAT=4	Homo sapiens
Q8TB61	C	canonical	  1.000	  1.000	2	  0.150	2	6	6p11.2-p12.1	0	0	 			Q8TB61	12	7				S35B2_HUMAN Adenosine 3'-phospho 5'-phosphosulfate transporter 1 OS=Homo sapiens GN=SLC35B2 PE=1 SV=1 CONCAT=2	Homo sapiens
Q13325	C	canonical	  1.000	  1.000	3	  0.205	3	10	10q23.31	91174343	91180758	+			Q13325	13	2				IFIT5_HUMAN Interferon-induced protein with tetratricopeptide repeats 5 OS=Homo sapiens GN=IFIT5 PE=1 SV=1 CONCAT=1	Homo sapiens
P48651	C	canonical	  1.000	  1.000	3	  0.205	3	8	8q22.1	97273943	97349223	+			P48651	14	3				PTSS1_HUMAN Phosphatidylserine synthase 1 OS=Homo sapiens GN=PTDSS1 PE=1 SV=1 CONCAT=2	Homo sapiens
Q9BYM8	C	canonical	  1.000	  1.000	2	  0.092	2	20	20p13	388815	411610	+			Q9BYM8	15	8				HOIL1_HUMAN RanBP-type and C3HC4-type zinc finger-containing protein 1 OS=Homo sapiens GN=RBCK1 PE=1 SV=2 CONCAT=1	Homo sapiens
Q13595	C	canonical	  1.000	  1.000	8	  0.897	2	7	7p15.3	23544399	23571660	-			Q13595	16	4				TRA2A_HUMAN Transformer-2 protein homolog alpha OS=Homo sapiens GN=TRA2A PE=1 SV=1 CONCAT=2	Homo sapiens
P18031	C	canonical	  1.000	  1.000	6	  0.337	3	20	20q13.13	49126891	49201299	+			P18031	17	2				PTN1_HUMAN Tyrosine-protein phosphatase non-receptor type 1 OS=Homo sapiens GN=PTPN1 PE=1 SV=1 CONCAT=3	Homo sapiens
P20073	C	canonical	  1.000	  1.000	157	 12.329	29	10	10q22.2	75135203	75173825	-			P20073	18	4				ANXA7_HUMAN Annexin A7 OS=Homo sapiens GN=ANXA7 PE=1 SV=3 CONCAT=2	Homo sapiens
P22732	C	canonical	  1.000	  1.000	17	  1.669	4	1	1p36.23	9100139	9129663	-			P22732	19	5				GTR5_HUMAN Solute carrier family 2, facilitated glucose transporter member 5 OS=Homo sapiens GN=SLC2A5 PE=1 SV=1 CONCAT=1	Homo sapiens
Q15629	C	canonical	  1.000	  1.000	5	  0.524	2	8	8q13.3	71485677	71520604	-			Q15629	20	3				TRAM1_HUMAN Translocating chain-associated membrane protein 1 OS=Homo sapiens GN=TRAM1 PE=1 SV=3 CONCAT=2	Homo sapiens
Q96AQ6	C	canonical	  1.000	  1.000	6	  0.277	4	1	1q21.3	154916556	154928580	-			Q96AQ6	21	6				PBIP1_HUMAN Pre-B-cell leukemia transcription factor-interacting protein 1 OS=Homo sapiens GN=PBXIP1 PE=1 SV=1 CONCAT=3	Homo sapiens
P84103	C	canonical	  1.000	  1.000	77	 17.276	11	6	6p21.31	36562145	36573377	+			P84103	22	2				SRSF3_HUMAN Serine/arginine-rich splicing factor 3 OS=Homo sapiens GN=SRSF3 PE=1 SV=1 CONCAT=1	Homo sapiens
Q9P287	C	canonical	  1.000	  1.000	2	  0.165	2	10	10q26.2	127512115	127525122	+			Q9P287	23	5				BCCIP_HUMAN BRCA2 and CDKN1A-interacting protein OS=Homo sapiens GN=BCCIP PE=1 SV=1 CONCAT=2	Homo sapiens
O75954	C	canonical	  1.000	  1.000	13	  2.042	2	12	12p13.32	3186543	3395724	+			O75954	24	2				TSN9_HUMAN Tetraspanin-9 OS=Homo sapiens GN=TSPAN9 PE=1 SV=1 CONCAT=1	Homo sapiens
Q02153	C	canonical	  1.000	  1.000	6	  0.242	3	4	4q32.1	156680211	156728743	+			Q02153	25	6				GCYB1_HUMAN Guanylate cyclase soluble subunit beta-1 OS=Homo sapiens GN=GUCY1B3 PE=1 SV=1 CONCAT=1	Homo sapiens
Q96F85	C	canonical	  1.000	  1.000	8	  1.571	3	2	2p14	68520142	68547138	-			Q96F85	26	3				CNRP1_HUMAN CB1 cannabinoid receptor-interacting protein 1 OS=Homo sapiens GN=CNRIP1 PE=1 SV=1 CONCAT=1	Homo sapiens
