NX_A0A087WTH1	MGI:5613213
NX_A0A087WTH5	MGI:96673
NX_A0A087WXM9	MGI:1922097
NX_A0A096LP49	MGI:3045295
NX_A0A096LP55	MGI:1913826
NX_A0A0C5B5G6	MGI:102493
NX_A0A0J9YWL9	MGI:2685208
NX_A0A183	MGI:1925632
NX_A0AUZ9	MGI:1915941
NX_A0AV02	MGI:2443672
NX_A0AV96	MGI:2384294
NX_A0AVF1	MGI:2444853
NX_A0AVI2	MGI:3616091
NX_A0AVI4	MGI:1915616
NX_A0AVK6	MGI:1922038
NX_A0AVT1	MGI:1913894
NX_A0FGR8	MGI:1261845
NX_A0FGR9	MGI:1098699
NX_A0JLT2	MGI:1914234
NX_A0JNW5	MGI:2442888
NX_A0M8Q6	MGI:99886
NX_A0MZ66	MGI:1918903
NX_A0PG75	MGI:3779462
NX_A0PJK1	MGI:1926089
NX_A0PJW6	MGI:1914086
NX_A0PJW8	MGI:1923997
NX_A0PJX0	MGI:1920509
NX_A0PJX2	MGI:2686178
NX_A0PJX4	MGI:3041225
NX_A0PJX8	MGI:2384869
NX_A0PJY2	MGI:1920441
NX_A0PJZ3	MGI:2682940
NX_A0PK00	MGI:3603158
NX_A0PK05	MGI:2442707
NX_A0PK11	MGI:3646230
NX_A0ZSE6	MGI:1918277
NX_A1A4G5	MGI:5011982
NX_A1A4S6	MGI:1925764
NX_A1A4V9	MGI:2685012
NX_A1A4Y4	MGI:1926262
NX_A1A519	MGI:2684939
NX_A1A5B4	MGI:1918595
NX_A1A5C7	MGI:1920352
NX_A1A5D9	MGI:2388267
NX_A1E959	MGI:1916842
NX_A1IGU5	MGI:3045339
NX_A1KXE4	MGI:2448487
NX_A1L020	MGI:1919890
NX_A1L0T0	MGI:1351911
NX_A1L157	MGI:1915748
NX_A1L162	MGI:1913998
NX_A1L167	MGI:1924230
NX_A1L168	MGI:3039588
NX_A1L170	MGI:3649135
NX_A1L188	MGI:1913676
NX_A1L190	MGI:1922709
NX_A1L1A6	MGI:1917330
NX_A1L390	MGI:2388284
NX_A1L3X0	MGI:1921809
NX_A1L443	MGI:2685652
NX_A1L453	MGI:2685095
NX_A1L4H1	MGI:3606211
NX_A1L4K1	MGI:2444310
NX_A1L4L8	MGI:1916651
NX_A1X283	MGI:2442062
