NX_A0A075B6J9	ENST00000390310
NX_A0A075B6K0	ENST00000390311
NX_A0A075B6K2	ENST00000390313
NX_A0A075B6K4	ENST00000390315
NX_A0A075B6S2	ENST00000612356
NX_A0A087WTH5	ENST00000617668
NX_A0A087WUL8	ENST00000369227
NX_A0A087WUL8	ENST00000426482
NX_A0A087WUL8	ENST00000578189
NX_A0A087WUL8	ENST00000611931
NX_A0A087WUL8	ENST00000612881
NX_A0A087WW87	ENST00000620613
NX_A0A087WW87	ENST00000621595
NX_A0A087WXM9	ENST00000439905
NX_A0A087WXM9	ENST00000616644
NX_A0A087WXS9	ENST00000616671
NX_A0A087WXS9	ENST00000618620
NX_A0A087X1C5	ENST00000358097
NX_A0A087X1C5	ENST00000433992
NX_A0A087X1C5	ENST00000435101
NX_A0A087X1C5	ENST00000614967
NX_A0A096LP49	ENST00000563590
NX_A0A0B4J1Y9	ENST00000621503
NX_A0A0B4J2F0	ENST00000565225
NX_A0A5B9	ENST00000610416
NX_A0A5B9	ENST00000636844
NX_A0A5B9	ENST00000637077
NX_A0AUZ9	ENST00000415553
NX_A0AUZ9	ENST00000428655
NX_A0AUZ9	ENST00000438563
NX_A0AUZ9	ENST00000634716
NX_A0AV02	ENST00000462437
NX_A0AV02	ENST00000479826
NX_A0AV96	ENST00000505220
NX_A0AV96	ENST00000505414
NX_A0AV96	ENST00000507180
NX_A0AV96	ENST00000510871
NX_A0AV96	ENST00000511598
NX_A0AV96	ENST00000511902
NX_A0AV96	ENST00000513473
NX_A0AV96	ENST00000514014
NX_A0AV96	ENST00000514782
NX_A0AV96	ENST00000515053
NX_A0AVF1	ENST00000474035
NX_A0AVF1	ENST00000476296
NX_A0AVF1	ENST00000478836
NX_A0AVF1	ENST00000495038
NX_A0AVI2	ENST00000622983
NX_A0AVI4	ENST00000460722
NX_A0AVI4	ENST00000480360
NX_A0AVK6	ENST00000532666
NX_A0AVT1	ENST00000505673
NX_A0AVT1	ENST00000514261
NX_A0FGR8	ENST00000275418
NX_A0FGR9	ENST00000289135
NX_A0JNW5	ENST00000545232
NX_A0JNW5	ENST00000547428
NX_A0JNW5	ENST00000548045
NX_A0JNW5	ENST00000548712
NX_A0JNW5	ENST00000550544
NX_A0JNW5	ENST00000551973
NX_A0JNW5	ENST00000551980
NX_A0JP26	ENST00000612601
NX_A0JP26	ENST00000624267
NX_A0M8Q6	ENST00000390331
NX_A0PJE2	ENST00000461948
NX_A0PJW6	ENST00000525631
NX_A0PJW6	ENST00000528367
NX_A0PJW8	ENST00000343761
NX_A0PJW8	ENST00000409042
NX_A0PJW8	ENST00000619477
NX_A0PJW8	ENST00000621326
NX_A0PJX2	ENST00000436941
NX_A0PJY2	ENST00000418046
NX_A0PJZ3	ENST00000491839
NX_A0PJZ3	ENST00000498315
NX_A0PK00	ENST00000540377
NX_A0PK00	ENST00000541467
NX_A1A4F0	ENST00000461040
NX_A1A4F0	ENST00000468043
NX_A1A4G5	ENST00000466996
NX_A1A4G5	ENST00000489752
NX_A1A4S6	ENST00000507661
NX_A1A4V9	ENST00000535476
NX_A1A4V9	ENST00000544613
NX_A1A4V9	ENST00000545809
NX_A1A4Y4	ENST00000520549
NX_A1A519	ENST00000504819
NX_A1A519	ENST00000509264
NX_A1A5C7	ENST00000436008
NX_A1A5C7	ENST00000467177
NX_A1A5C7	ENST00000485307
NX_A1E959	ENST00000510709
NX_A1E959	ENST00000510847
NX_A1E959	ENST00000514097
NX_A1IGU5	ENST00000505810
NX_A1KZ92	ENST00000522933
NX_A1L0T0	ENST00000527093
NX_A1L0T0	ENST00000533148
NX_A1L0T0	ENST00000533747
NX_A1L0T0	ENST00000534378
NX_A1L0T0	ENST00000598709
NX_A1L0T0	ENST00000600984
NX_A1L157	ENST00000535215
NX_A1L157	ENST00000545802
NX_A1L170	ENST00000420220
NX_A1L188	ENST00000576002
NX_A1L1A6	ENST00000428245
NX_A1L1A6	ENST00000441389
