biosequence_name	is_covering	presence_level	probability	confidence	n_observations	norm_PSMs_per_100K	n_distinct_peptides	chromosome	genetic_locus	start_in_chromosome	end_in_chromosome	strand	relationship_phrase	reference_biosequence	represented_by_biosequence_id	group_number	seq_unique_prots_in_group	protein_group_seq_align_link	is_keratin	is_immunoglobulin	biosequence_description	organism_full_name
P08311	C	canonical	  1.000	  0.000	18	  0.000	5								P08311	6	2				Cathepsin G OS=Homo sapiens GN=CTSG PE=1 SV=2 CONCAT=3061 OFFSET=228995658	Homo sapiens
Q9BZF2	C	canonical	  1.000	  0.000	3	  0.000	3								Q9BZF2	11	6				Oxysterol-binding protein-related protein 7 OS=Homo sapiens GN=OSBPL7 PE=2 SV=1 CONCAT=369 OFFSET=1692814617	Homo sapiens
O75594	C	canonical	  1.000	  0.000	7	  0.000	4								O75594	12	2				Peptidoglycan recognition protein 1 OS=Homo sapiens GN=PGLYRP1 PE=1 SV=1 CONCAT=152 OFFSET=1339953008	Homo sapiens
P30260	C	canonical	  1.000	  0.000	2	  0.000	2								P30260	13	6				Cell division cycle protein 27 homolog OS=Homo sapiens GN=CDC27 PE=1 SV=2 CONCAT=4003 OFFSET=613621329	Homo sapiens
Q92917	C	canonical	  1.000	  0.000	3	  0.000	3								Q92917	14	2				G patch domain and KOW motifs-containing protein OS=Homo sapiens GN=GPKOW PE=1 SV=2 CONCAT=213 OFFSET=214111001	Homo sapiens
Q9NYQ7	C	canonical	  1.000	  0.000	5	  0.000	5								Q9NYQ7	15	4				Cadherin EGF LAG seven-pass G-type receptor 3 OS=Homo sapiens GN=CELSR3 PE=1 SV=2 CONCAT=7815 OFFSET=1152206989	Homo sapiens
Q76G19	C	canonical	  1.000	  0.000	5	  0.000	5								Q76G19	16	7				PDZ domain-containing protein 4 OS=Homo sapiens GN=PDZD4 PE=1 SV=1 CONCAT=93 OFFSET=1006087212	Homo sapiens
Q6P1M3	C	canonical	  1.000	  0.000	3	  0.000	2								Q6P1M3	17	6				Lethal(2) giant larvae protein homolog 2 OS=Homo sapiens GN=LLGL2 PE=1 SV=2 CONCAT=9897 OFFSET=897346368	Homo sapiens
Q9H000	C	canonical	  1.000	  0.000	7	  0.000	3								Q9H000	18	4				Probable E3 ubiquitin-protein ligase makorin-2 OS=Homo sapiens GN=MKRN2 PE=1 SV=2 CONCAT=106 OFFSET=1630576191	Homo sapiens
O95631	C	canonical	  1.000	  0.000	2	  0.000	2								O95631	19	2				Netrin-1 OS=Homo sapiens GN=NTN1 PE=1 SV=2 CONCAT=102 OFFSET=1339824896	Homo sapiens
Q9NQ88	C	canonical	  1.000	  0.000	57	  0.000	12								Q9NQ88	20	2				Fructose-2,6-bisphosphatase TIGAR OS=Homo sapiens GN=TIGAR PE=1 SV=1 CONCAT=50 OFFSET=1656156778	Homo sapiens
Q6BDS2	C	canonical	  1.000	  0.000	3	  0.000	2								Q6BDS2	21	4				UHRF1-binding protein 1 OS=Homo sapiens GN=UHRF1BP1 PE=1 SV=1 CONCAT=719 OFFSET=1704109838	Homo sapiens
P98172	C	canonical	  1.000	  0.000	21	  0.000	10								P98172	22	2				Ephrin-B1 OS=Homo sapiens GN=EFNB1 PE=1 SV=1 CONCAT=3961 OFFSET=728141589	Homo sapiens
Q99946	C	canonical	  1.000	  0.000	8	  0.000	2								Q99946	23	2				Proline-rich transmembrane protein 1 OS=Homo sapiens GN=PRRT1 PE=2 SV=2 CONCAT=12 OFFSET=1996424486	Homo sapiens
P35858	C	canonical	  1.000	  0.000	16	  0.000	13								P35858	24	5				Insulin-like growth factor-binding protein complex acid labile subunit OS=Homo sapiens GN=IGFALS PE=1 SV=1 CONCAT=141 OFFSET=917795427	Homo sapiens
Q6ICH7	C	canonical	  1.000	  0.000	11	  0.000	7								Q6ICH7	25	3				Aspartate beta-hydroxylase domain-containing protein 2 OS=Homo sapiens GN=ASPHD2 PE=2 SV=1 CONCAT=4210 OFFSET=1593330126	Homo sapiens
P55769	C	canonical	  1.000	  0.000	31	  0.000	8								P55769	26	3				NHP2-like protein 1 OS=Homo sapiens GN=NHP2L1 PE=1 SV=3 CONCAT=22 OFFSET=1511601277	Homo sapiens
Q9BU23	C	canonical	  1.000	  0.000	4	  0.000	4								Q9BU23	27	4				Lipase maturation factor 2 OS=Homo sapiens GN=LMF2 PE=1 SV=2 CONCAT=1129 OFFSET=1313181931	Homo sapiens
P62877	C	canonical	  1.000	  0.000	20	  0.000	6								P62877	28	2				E3 ubiquitin-protein ligase RBX1 OS=Homo sapiens GN=RBX1 PE=1 SV=1 CONCAT=8 OFFSET=517376561	Homo sapiens
